t_s,gap_mm,hall_mV,adc16
0.004,127,2479,32199
0.037,132,2479,32199
0.066,133,2480,32203
0.098,129,2479,32201
0.127,122,2479,32202
0.160,116,2479,32199
0.188,104,2479,32201
0.221,91,2479,32200
0.250,85,2479,32193
0.282,81,2479,32199
0.311,84,2479,32193
0.344,85,2479,32196
0.373,90,2479,32201
0.405,99,2480,32203
0.434,111,2480,32203
0.467,123,2480,32204
0.495,134,2479,32198
0.529,139,2479,32196
0.558,148,2479,32196
0.590,155,2479,32200
0.618,166,2479,32200
0.652,175,2479,32197
0.680,181,2479,32201
0.713,180,2479,32200
0.742,177,2479,32202
0.774,167,2479,32201
0.806,156,2480,32206
0.835,143,2479,32195
0.868,133,2479,32198
0.897,115,2517,32693
0.929,101,2486,32283
0.959,88,2480,32211
0.991,85,2479,32200
1.020,81,2480,32209
1.052,81,2480,32204
1.081,80,2479,32195
1.113,80,2479,32197
1.143,80,2479,32194
1.171,83,2479,32200
1.204,112,2479,32201
6.046,185,2480,32204
6.075,89,2480,32206
6.108,87,2479,32202
6.136,92,2480,32203
6.168,101,2480,32205
6.197,101,2479,32202
6.230,90,2479,32200
6.258,86,2479,32196
6.291,86,2480,32203
6.320,84,2479,32202
6.353,80,2479,32200
6.381,75,2480,32203
6.414,74,2479,32196
6.443,70,2480,32203
6.476,72,2479,32201
6.505,71,2479,32199
6.537,75,2479,32201
6.566,80,2480,32206
6.599,82,2480,32205
6.628,86,2479,32199
6.660,93,2479,32197
6.689,102,2479,32202
6.721,114,2480,32206
6.750,120,2479,32201
6.782,122,2479,32199
6.811,136,2480,32203
6.844,154,2479,32200
6.873,176,2479,32202
7.090,185,2479,32196
7.122,165,2479,32198
7.152,155,2479,32200
7.184,151,2479,32201
7.213,146,2479,32201
7.245,135,2480,32203
7.274,134,2479,32198
7.307,127,2479,32200
7.336,122,2480,32205
7.369,121,2479,32198
7.397,119,2479,32200
7.430,114,2480,32204
7.458,110,2480,32206
7.491,106,2480,32206
7.520,103,2479,32201
7.552,102,2479,32202
7.582,103,2480,32204
7.614,107,2480,32205
7.643,116,2478,32187
7.676,124,2479,32197
7.705,136,2479,32200
7.737,149,2479,32202
7.766,161,2480,32205
7.799,177,2480,32203
7.828,195,2479,32199
8.290,188,2480,32204
8.322,163,2479,32202
8.351,142,2479,32195
8.384,128,2479,32202
8.413,121,2479,32198
8.445,116,2479,32201
8.474,119,2479,32199
8.507,119,2479,32201
8.535,113,2479,32202
8.568,113,2479,32200
8.597,105,2479,32197
8.630,104,2479,32200
8.658,103,2480,32207
8.691,97,2479,32202
8.720,99,2479,32195
8.752,98,2479,32194
8.781,96,2480,32204
8.814,93,2479,32200
8.843,94,2480,32203
8.875,93,2480,32204
8.904,96,2480,32206
8.937,98,2480,32206
8.965,100,2479,32197
8.998,103,2480,32203
9.027,102,2480,32206
9.060,104,2479,32200
9.088,104,2479,32199
9.121,99,2479,32194
9.150,100,2480,32208
9.182,100,2480,32207
9.211,99,2479,32196
9.244,105,2480,32205
9.273,102,2480,32205
9.305,102,2479,32200
9.334,101,2479,32191
9.367,100,2479,32194
9.396,99,2479,32202
9.428,101,2480,32206
9.457,98,2479,32196
9.490,101,2479,32200
9.518,100,2479,32195
9.551,96,2479,32200
9.580,94,2480,32205
9.612,98,2480,32204
9.641,97,2480,32203
9.674,96,2479,32198
9.703,99,2480,32205
9.735,100,2479,32200
9.764,104,2479,32201
9.797,107,2479,32200
9.826,110,2479,32202
9.858,108,2479,32200
9.887,110,2479,32201
9.920,111,2480,32206
9.949,112,2479,32200
9.981,110,2479,32198
10.010,111,2480,32206
10.042,109,2479,32202
10.072,106,2479,32201
10.100,110,2479,32202
10.133,108,2479,32199
