t_s,gap_mm,hall_mV,adc16
8.207,378,2448,31793
8.239,381,2451,31839
8.272,374,2454,31868
8.301,370,2456,31901
8.333,373,2455,31886
8.363,369,2451,31834
8.395,371,2447,31779
8.424,370,2445,31757
8.456,368,2439,31681
8.485,379,2433,31605
8.518,379,2427,31519
8.547,374,2423,31469
8.580,382,2425,31500
8.609,374,2429,31553
8.641,380,2444,31747
8.673,369,2451,31839
8.702,369,2460,31948
8.734,368,2462,31976
8.763,371,2467,32039
8.796,372,2468,32054
8.825,362,2470,32074
8.858,360,2471,32092
8.887,359,2469,32062
8.919,364,2466,32026
8.948,369,2465,32019
8.981,365,2465,32010
9.010,358,2466,32025
9.043,373,2465,32008
9.075,369,2466,32028
9.104,375,2457,31915
9.136,374,2456,31902
9.165,371,2454,31865
9.198,372,2451,31834
9.226,378,2447,31784
9.259,366,2446,31767
9.288,379,2441,31705
9.321,377,2438,31661
9.350,376,2437,31647
9.383,374,2436,31641
9.411,375,2436,31642
9.444,369,2434,31617
9.473,376,2434,31615
9.506,375,2435,31620
9.538,379,2433,31602
9.567,375,2432,31579
9.599,369,2430,31564
9.628,374,2430,31563
9.661,377,2427,31522
9.690,376,2424,31482
9.722,373,2420,31433
9.751,371,2405,31235
9.784,382,2400,31174
9.813,385,2385,30970
9.846,378,2371,30795
9.875,381,2362,30680
9.907,374,2353,30558
9.939,392,2348,30494
9.968,379,2341,30409
10.000,378,2328,30240
10.029,381,2328,30233
10.062,389,2330,30266
10.090,379,2349,30510
10.123,376,2367,30746
10.152,387,2373,30823
10.185,382,2382,30934
10.214,383,2386,30983
10.246,381,2392,31071
10.275,380,2393,31083
10.308,374,2391,31048
10.340,374,2388,31014
10.370,390,2383,30949
10.402,369,2380,30915
10.431,375,2369,30769
10.463,387,2366,30729
10.492,381,2361,30660
10.525,385,2356,30598
10.554,385,2350,30522
10.586,383,2348,30494
10.615,392,2348,30494
10.648,386,2348,30493
10.676,380,2348,30490
10.709,384,2344,30446
10.738,384,2343,30434
10.771,387,2346,30472
10.803,380,2348,30490
10.832,383,2350,30523
10.864,382,2349,30511
10.894,380,2348,30494
10.927,387,2344,30448
10.956,384,2335,30323
10.988,387,2328,30238
11.017,384,2328,30232
11.049,383,2328,30237
11.079,379,2328,30237
11.111,386,2328,30237
11.140,383,2327,30223
11.173,391,2320,30133
11.204,382,2318,30110
11.234,388,2316,30075
11.266,385,2314,30047
11.295,385,2318,30107
11.327,389,2320,30129
11.357,384,2317,30097
11.389,388,2315,30060
11.418,392,2317,30087
11.451,382,2313,30039
11.479,383,2307,29957
11.512,382,2303,29910
11.541,391,2303,29910
11.573,386,2308,29976
11.606,384,2318,30105
11.635,391,2319,30122
11.667,396,2321,30141
11.696,390,2325,30195
11.729,373,2328,30236
11.758,383,2323,30170
11.790,385,2317,30098
11.820,391,2309,29991
11.852,391,2303,29916
11.881,387,2311,30008
11.914,389,2328,30231
11.942,391,2330,30259
11.976,391,2332,30290
12.007,390,2338,30364
12.037,387,2342,30420
12.069,387,2345,30453
12.098,387,2360,30650
12.131,386,2372,30804
12.160,383,2382,30938
12.192,388,2390,31035
12.220,380,2400,31171
12.253,383,2402,31191
12.282,379,2402,31195
12.314,378,2402,31198
12.343,378,2402,31202
12.376,386,2410,31299
12.405,379,2421,31438
12.438,374,2425,31501
12.470,383,2427,31516
12.499,387,2427,31521
12.532,376,2427,31518
12.561,383,2427,31523
12.594,370,2429,31552
12.622,375,2433,31602
12.655,377,2435,31622
12.684,378,2436,31633
12.716,367,2436,31639
12.745,379,2436,31635
12.778,371,2436,31643
12.806,376,2437,31645
12.839,373,2437,31648
12.872,373,2437,31651
12.901,379,2437,31652
12.933,375,2438,31664
12.962,373,2439,31672
12.995,369,2438,31668
13.024,374,2438,31660
13.056,373,2436,31644
13.085,375,2437,31650
13.118,371,2436,31643
13.146,371,2436,31639
13.179,374,2434,31606
13.208,382,2429,31541
13.240,377,2427,31519
13.273,376,2424,31477
13.302,377,2416,31374
13.335,389,2410,31306
13.364,379,2402,31200
13.396,380,2402,31196
13.425,378,2399,31158
13.458,376,2397,31134
13.486,376,2395,31104
13.519,373,2391,31051
13.548,386,2388,31010
13.581,383,2388,31009
13.610,381,2389,31022
13.642,381,2389,31031
13.671,382,2388,31010
13.703,391,2384,30965
13.736,391,2382,30941
13.765,381,2380,30908
13.797,381,2377,30876
13.826,381,2378,30884
13.859,383,2377,30865
13.888,382,2374,30838
13.920,380,2373,30821
13.949,386,2372,30808
13.982,384,2368,30754
14.011,381,2368,30748
14.043,393,2366,30733
14.072,389,2360,30657
14.105,385,2355,30580
14.137,384,2348,30494
14.166,377,2343,30436
14.199,389,2337,30356
14.228,392,2337,30358
14.260,391,2339,30383
14.289,383,2342,30420
14.322,387,2344,30439
14.350,380,2343,30431
14.383,387,2336,30342
14.412,390,2333,30299
14.445,389,2332,30291
14.473,384,2333,30295
14.506,379,2332,30292
14.538,384,2329,30253
14.567,389,2328,30240
14.600,382,2330,30265
14.629,389,2334,30318
14.661,382,2342,30418
14.691,388,2333,30300
14.723,387,2328,30232
14.752,384,2320,30136
14.785,392,2310,29997
14.813,393,2304,29929
14.846,391,2303,29917
14.874,389,2298,29844
14.907,381,2288,29720
14.940,387,2284,29657
14.969,398,2279,29599
15.001,397,1427,18530
15.030,385,1268,16463
15.063,392,1053,13672
15.092,390,946,12286
15.124,382,730,9487
15.153,396,656,8514
15.186,378,439,5705
15.215,391,395,5131
15.247,382,216,2808
15.276,385,159,2069
15.309,375,34,439
15.338,392,2,31
15.371,389,0,4
15.399,385,0,0
15.432,384,4,57
15.464,393,0,1
15.494,393,18,228
15.526,384,0,2
15.555,395,12,157
15.588,385,0,2
15.616,394,7,86
15.649,388,1,13
15.678,390,1,8
15.711,391,1,10
15.739,386,0,0
15.772,390,7,90
15.800,393,0,0
15.833,387,18,239
15.862,389,0,1
15.895,391,18,240
15.927,384,0,0
15.956,388,6,79
15.989,389,0,3
16.018,385,1,17
16.050,392,1,15
16.079,384,0,0
16.112,392,0,5
16.141,387,0,0
16.174,393,23,300
16.202,392,0,0
16.235,395,21,271
16.263,388,0,4
16.296,389,9,121
16.328,388,1,7
16.358,394,2,22
16.390,391,0,5
16.419,393,0,0
16.452,384,1,7
16.480,385,0,1
16.513,385,14,176
16.542,385,0,0
16.574,381,16,203
16.603,380,0,2
16.636,394,10,135
16.664,382,0,2
16.697,391,4,58
