t_s,gap_mm,hall_mV,adc16
0.029,320,2510,32160
0.059,327,2510,32162
0.091,325,2509,32152
0.121,322,2510,32159
0.153,327,2510,32161
0.182,331,2510,32161
0.214,330,2510,32164
0.243,333,2510,32163
0.276,336,2510,32157
0.305,342,2510,32154
0.337,329,2509,32148
0.369,332,2510,32158
0.399,346,2510,32154
0.431,336,2510,32153
0.460,346,2510,32158
0.493,345,2509,32150
0.522,339,2510,32153
0.554,339,2509,32145
0.583,345,2509,32141
0.616,347,2509,32140
0.645,345,2508,32130
0.677,349,2507,32125
0.706,344,2507,32120
0.739,352,2508,32127
0.771,349,2507,32121
0.801,349,2507,32120
0.832,350,2506,32111
0.862,349,2506,32107
0.894,352,2506,32104
0.923,354,2505,32099
0.956,352,2505,32091
0.985,348,2505,32090
1.017,353,2504,32086
1.046,352,2503,32075
1.079,353,2504,32086
1.108,358,2503,32075
1.141,358,2503,32069
1.173,352,2503,32072
1.201,359,2503,32068
1.234,353,2503,32067
1.263,360,2503,32064
1.295,361,2502,32057
1.324,356,2503,32069
1.357,357,2502,32060
1.386,354,2502,32052
1.419,353,2503,32064
1.447,347,2502,32059
1.481,364,2502,32058
1.509,356,2502,32055
1.542,355,2502,32055
1.574,366,2502,32050
1.603,357,2502,32050
1.635,355,2502,32056
1.665,361,2502,32053
1.697,358,2501,32044
1.726,354,2501,32040
1.759,361,2500,32036
1.787,358,2501,32041
1.820,359,2501,32037
1.849,354,2500,32032
1.881,362,2500,32030
1.914,360,2500,32034
1.943,363,2500,32034
1.975,361,2500,32030
2.005,364,2500,32025
2.037,364,2499,32018
2.066,362,2499,32016
2.098,364,2498,32005
2.127,360,2498,32002
2.160,362,2497,31996
2.188,367,2496,31986
2.221,370,2496,31975
2.250,364,2496,31973
2.282,374,2496,31975
2.315,359,2496,31973
2.344,366,2495,31971
2.377,364,2495,31973
2.406,362,2495,31971
2.438,363,2495,31970
2.467,362,2495,31966
2.500,374,2495,31967
2.529,364,2495,31964
2.561,366,2495,31965
2.590,363,2495,31965
2.623,374,2495,31961
2.652,364,2495,31966
2.684,368,2495,31963
2.717,374,2495,31962
2.747,371,2494,31959
2.779,371,2494,31957
2.808,372,2494,31955
2.839,371,2494,31951
2.868,376,2493,31938
2.901,375,2492,31928
2.930,376,2491,31909
2.963,369,2489,31892
2.991,376,2489,31886
3.024,376,2487,31870
3.053,367,2486,31853
3.085,369,2486,31846
3.118,372,2485,31838
3.147,373,2485,31838
3.179,377,2485,31833
3.208,376,2484,31821
3.241,377,2482,31805
3.270,376,2482,31801
3.303,385,2481,31783
3.332,378,2480,31781
3.365,377,2480,31780
3.393,376,2480,31781
3.426,376,2480,31775
3.458,373,2480,31771
3.487,376,2480,31774
3.519,380,2479,31762
3.549,374,2479,31762
3.581,391,2478,31749
3.610,381,2477,31734
3.643,373,2475,31708
3.672,380,2475,31707
3.705,388,2474,31701
3.733,375,2473,31683
3.766,373,2470,31652
3.794,379,2470,31648
3.827,382,2470,31640
3.859,385,2470,31643
3.889,384,2470,31645
3.921,381,2470,31644
3.950,378,2469,31634
3.983,380,2468,31619
4.012,387,2467,31607
4.044,386,2466,31595
4.073,382,2464,31571
4.105,384,2462,31544
4.134,386,2461,31531
4.167,383,2460,31518
4.196,383,2460,31517
4.228,384,2459,31511
4.261,377,2459,31507
