t_s,gap_mm,hall_mV,adc16
6.699,194,2509,32147
6.731,191,2509,32143
6.760,180,2509,32145
6.793,176,2509,32144
6.821,172,2508,32138
6.854,169,2508,32139
6.883,164,2509,32142
6.916,162,2508,32138
6.944,158,2509,32141
6.977,160,2508,32128
7.006,163,2508,32131
7.039,156,2508,32130
7.071,157,2508,32138
7.100,158,2508,32136
7.132,158,2508,32129
7.161,157,2508,32136
7.194,153,2508,32127
7.223,146,2508,32139
7.255,149,2508,32131
7.284,140,2508,32132
7.317,136,2508,32127
7.346,136,2508,32131
7.379,136,2508,32131
7.407,133,2508,32130
7.440,129,2508,32131
7.468,127,2508,32130
7.501,126,2507,32124
7.530,131,2507,32120
7.563,133,2507,32119
7.592,131,2507,32119
7.625,129,2506,32107
7.653,129,2506,32110
7.686,128,2506,32110
7.714,126,2506,32106
7.747,127,2506,32102
7.776,126,2506,32103
7.809,125,2506,32103
7.841,125,2505,32099
7.870,120,2505,32091
7.902,121,2504,32088
7.932,117,2504,32079
7.963,118,2504,32084
7.993,111,2503,32072
8.025,110,2503,32069
8.054,112,2503,32069
8.087,107,2502,32053
8.115,106,2501,32049
8.148,105,2502,32051
8.177,103,2502,32052
8.209,104,2501,32045
8.238,103,2501,32040
8.267,99,2501,32044
8.300,96,2501,32045
8.328,94,2501,32041
8.362,97,2501,32041
8.390,99,2501,32041
8.423,98,2500,32036
8.451,95,2500,32036
8.484,96,2500,32028
8.513,96,2499,32020
8.546,98,2499,32023
8.574,97,2499,32022
8.608,100,2500,32025
8.636,103,2499,32021
8.669,99,2499,32021
8.701,101,2499,32017
8.730,101,2499,32016
8.762,102,2499,32012
8.792,98,2498,32003
8.821,99,2497,31995
8.853,98,2497,31991
8.881,98,2497,31993
8.914,95,2497,31998
8.946,100,2497,31989
8.976,95,2497,31987
9.005,95,2497,31991
9.037,94,2497,31987
9.066,93,2496,31980
9.099,94,2496,31982
9.127,91,2496,31978
9.160,92,2496,31978
9.189,90,2496,31975
9.222,91,2496,31976
9.250,92,2496,31974
9.283,89,2496,31978
9.311,92,2496,31977
9.344,91,2496,31974
9.373,93,2495,31972
9.406,91,2495,31968
9.434,90,2495,31971
9.467,89,2496,31974
9.499,88,2496,31974
9.529,91,2495,31973
9.561,89,2496,31973
9.590,90,2495,31973
9.619,88,2495,31966
9.652,89,2495,31971
9.680,87,2495,31969
9.713,85,2495,31965
9.742,85,2495,31967
9.774,85,2495,31963
9.803,81,2494,31950
9.835,78,2493,31940
9.864,79,2492,31927
9.897,78,2491,31909
9.926,75,2490,31902
9.959,76,2488,31883
9.987,74,2488,31879
10.020,74,2486,31855
10.048,76,2486,31847
10.082,74,2485,31833
10.110,73,2482,31805
10.143,75,2481,31791
10.172,76,2481,31786
10.204,74,2480,31779
10.233,72,2480,31778
10.266,72,2480,31773
10.295,72,2477,31737
10.327,71,2476,31722
10.356,68,2473,31688
10.388,63,2471,31663
10.417,63,2471,31654
10.450,61,2471,31657
10.479,58,2471,31658
10.511,61,2471,31658
10.540,58,2471,31660
10.573,59,2471,31662
10.602,61,2470,31648
10.634,59,2471,31657
10.663,58,2470,31642
10.696,59,2469,31631
10.724,57,2468,31625
10.757,55,2466,31595
10.786,57,2465,31579
10.819,54,2461,31527
10.848,54,2460,31513
10.880,55,2456,31467
10.909,55,2453,31426
10.941,56,2452,31415
10.971,56,2450,31384
11.003,55,2445,31328
11.032,57,2444,31313
11.064,55,2443,31296
11.094,55,2438,31241
11.126,52,2436,31205
11.155,48,2435,31193
11.187,53,2433,31169
11.216,52,2433,31166
11.249,49,2434,31184
11.278,51,2435,31194
11.310,51,2433,31172
11.339,53,2430,31139
11.371,50,2426,31078
11.401,52,2417,30973
11.433,49,2415,30948
11.462,49,2415,30937
11.491,51,2413,30913
11.524,49,2413,30911
11.552,50,2407,30845
11.585,52,2411,30889
11.614,50,2414,30929
11.646,50,2414,30934
11.675,54,2408,30853
11.707,54,2405,30820
11.737,54,2403,30793
11.769,56,2401,30764
11.798,55,2401,30762
11.831,55,2402,30771
11.859,58,2405,30815
11.892,59,2404,30798
11.921,57,2402,30772
11.954,57,2401,30762
11.982,59,2402,30772
12.015,61,2403,30789
12.044,59,2404,30801
12.077,59,2401,30758
12.106,58,2395,30692
12.138,60,2380,30491
12.167,53,2363,30282
12.199,52,2361,30254
12.228,54,2375,30425
12.261,55,2381,30504
12.290,56,2385,30562
12.323,55,2387,30586
12.351,52,2390,30627
12.384,54,2392,30642
12.412,54,2390,30625
12.445,55,2382,30517
12.474,56,2375,30433
12.506,55,2369,30349
12.535,57,2362,30257
12.568,59,2351,30121
12.596,57,2336,29923
12.629,57,2320,29727
12.658,56,2310,29599
12.690,55,2301,29480
12.719,56,2294,29390
12.752,54,2274,29132
12.781,53,2251,28845
12.813,57,2209,28307
12.842,54,2167,27765
12.875,53,2164,27727
12.904,55,2175,27866
12.936,53,2188,28028
12.965,54,2205,28253
12.998,56,2232,28601
13.027,56,2246,28772
13.059,57,2260,28952
13.088,56,2273,29128
13.121,57,2275,29148
13.149,57,2275,29149
13.182,58,2275,29147
13.211,56,2275,29153
13.243,58,2284,29269
13.272,56,2296,29413
13.305,56,2306,29544
13.334,58,2315,29662
13.366,58,2319,29713
13.395,59,2324,29777
13.428,59,2324,29782
13.457,57,2321,29743
13.489,57,2320,29730
13.518,57,2323,29762
13.550,58,2325,29792
13.579,58,2328,29833
13.612,59,2335,29918
13.641,57,2337,29944
13.674,57,2347,30073
13.703,57,2358,30216
13.735,57,2361,30252
13.764,56,2365,30297
13.796,55,2361,30253
13.826,57,2360,30238
13.858,53,2355,30168
13.887,58,2344,30028
13.919,54,2335,29917
13.949,56,2325,29795
13.981,56,2314,29654
14.010,55,2301,29480
14.042,55,2293,29383
14.071,56,2275,29149
14.104,56,2256,28907
14.133,58,2253,28863
14.165,55,2253,28861
14.194,58,2246,28771
14.226,52,2240,28702
14.255,53,2239,28686
14.285,55,2240,28700
14.317,52,2244,28753
14.349,50,2254,28881
14.378,53,2256,28904
14.410,52,2257,28911
14.440,53,2255,28888
14.472,55,2249,28814
14.501,54,2244,28747
14.533,54,2242,28720
14.563,54,2242,28730
14.592,51,2246,28772
14.624,55,2249,28818
14.653,54,2251,28835
14.686,52,2252,28855
14.714,53,2252,28855
14.747,51,2256,28911
14.776,51,2267,29046
14.808,57,2275,29145
14.837,55,2276,29161
14.870,52,2278,29190
14.898,54,2284,29267
14.931,55,2296,29411
14.959,54,2301,29477
14.992,52,2311,29603
15.021,56,2315,29662
15.054,53,2319,29709
15.086,53,2323,29761
15.115,53,2325,29794
15.148,55,2328,29833
15.177,56,2334,29898
15.205,54,2335,29922
15.238,58,2341,29992
15.267,59,2350,30110
15.300,57,2360,30232
15.328,56,2370,30368
15.361,57,2383,30533
15.391,56,2400,30753
15.424,55,2413,30919
15.451,56,2422,31028
15.484,57,2433,31173
15.513,55,2436,31210
15.546,59,2445,31323
15.574,56,2452,31409
15.607,55,2456,31467
15.636,58,2460,31517
15.669,62,2461,31535
15.697,60,2466,31595
15.730,62,2469,31639
15.759,62,2471,31658
15.791,63,2472,31678
15.820,65,2474,31703
15.852,64,2476,31719
15.881,65,2475,31709
15.914,62,2475,31711
15.943,65,2475,31708
15.975,64,2474,31698
16.005,60,2474,31692
16.037,59,2473,31681
16.066,60,2472,31674
16.098,59,2472,31674
16.127,61,2472,31666
16.159,64,2471,31664
16.188,62,2471,31665
16.221,61,2471,31664
16.250,60,2472,31669
16.283,62,2472,31667
16.312,60,2472,31670
16.344,61,2472,31678
16.373,60,2473,31686
16.405,61,2474,31696
16.434,59,2474,31697
16.467,60,2474,31698
16.496,61,2473,31685
16.528,62,2473,31680
16.557,61,2472,31677
16.590,63,2472,31675
16.619,62,2471,31659
16.651,62,2471,31660
16.680,63,2472,31672
16.712,64,2474,31702
16.742,64,2475,31715
16.774,64,2475,31715
16.803,62,2476,31726
16.835,62,2477,31739
16.865,63,2478,31751
16.893,62,2479,31759
16.926,65,2479,31762
16.955,64,2479,31759
16.987,63,2479,31757
17.016,62,2478,31745
17.049,58,2476,31723
17.077,62,2475,31714
17.110,60,2473,31685
17.139,60,2471,31664
17.171,59,2471,31655
17.200,57,2470,31645
17.233,59,2470,31649
17.261,57,2469,31637
17.294,60,2470,31641
17.323,58,2470,31642
17.356,60,2469,31635
17.385,62,2469,31633
17.417,62,2467,31614
17.446,61,2465,31579
17.479,59,2462,31549
17.507,60,2461,31530
17.540,57,2460,31522
17.569,60,2461,31525
17.602,58,2460,31523
17.630,57,2461,31526
17.663,58,2461,31528
17.692,59,2462,31539
17.724,56,2462,31550
17.754,57,2464,31566
17.786,57,2464,31572
17.815,57,2465,31580
17.847,57,2466,31594
17.876,57,2466,31594
17.909,56,2464,31568
17.938,59,2462,31542
17.970,58,2461,31526
17.999,58,2460,31519
18.032,58,2460,31514
18.060,57,2459,31505
18.093,58,2459,31504
18.122,58,2458,31486
18.155,59,2456,31463
18.183,58,2455,31454
18.216,56,2453,31423
18.245,62,2450,31387
18.277,60,2447,31349
18.307,59,2446,31338
18.338,58,2444,31311
18.368,59,2438,31235
18.400,58,2435,31197
18.429,59,2433,31177
18.461,59,2429,31116
18.491,53,2417,30972
18.523,55,2412,30899
18.552,54,2403,30789
18.584,52,2398,30722
18.613,51,2391,30631
18.645,48,2390,30616
18.675,53,2386,30572
18.703,50,2381,30504
18.737,51,2380,30498
18.765,50,2381,30502
18.798,50,2381,30508
18.827,53,2381,30502
18.859,50,2380,30500
18.888,50,2380,30499
18.921,50,2382,30515
18.949,54,2386,30568
18.982,49,2390,30624
19.010,54,2395,30680
19.043,54,2398,30722
19.072,53,2400,30748
19.104,55,2400,30752
19.133,57,2400,30751
19.166,55,2399,30734
19.195,55,2395,30689
19.227,53,2391,30637
19.256,53,2390,30617
19.289,55,2385,30560
19.317,54,2385,30554
19.350,57,2384,30542
19.379,57,2385,30559
19.412,56,2386,30568
19.440,53,2387,30587
19.473,56,2393,30658
19.502,55,2400,30747
19.534,58,2402,30770
19.563,59,2406,30822
19.596,58,2405,30820
19.625,57,2402,30771
19.657,56,2400,30744
19.686,57,2395,30681
19.719,54,2386,30576
19.747,52,2380,30490
19.780,54,2376,30436
19.809,51,2375,30434
19.841,53,2376,30437
19.870,52,2376,30444
19.903,52,2378,30464
19.932,53,2380,30497
19.964,54,2381,30504
19.993,55,2380,30497
20.022,52,2379,30479
20.055,52,2371,30375
20.083,52,2365,30300
20.116,55,2361,30252
20.145,56,2363,30271
20.178,55,2363,30279
20.206,54,2363,30280
20.239,54,2363,30281
20.268,55,2361,30246
20.301,56,2360,30240
20.329,54,2358,30211
20.362,58,2352,30135
20.391,56,2351,30119
20.423,56,2351,30119
20.452,56,2351,30119
20.485,55,2352,30134
20.514,55,2355,30176
20.546,52,2352,30137
20.575,54,2349,30093
20.608,52,2342,30002
20.636,52,2340,29982
20.669,50,2342,30010
20.698,52,2349,30102
20.731,52,2350,30113
20.759,53,2342,30009
20.792,51,2336,29925
20.821,54,2334,29904
20.853,46,2327,29814
20.882,64,2329,29834
20.915,63,2338,29956
20.944,57,2346,30063
20.976,61,2356,30191
21.005,49,2361,30244
21.038,38,2366,30309
21.067,40,2374,30414
21.100,46,2380,30499
21.128,49,2391,30633
21.161,57,2396,30696
21.189,57,2397,30715
21.222,56,2395,30690
21.251,58,2391,30635
21.283,57,2388,30600
21.312,57,2382,30518
21.345,59,2376,30446
21.374,56,2368,30342
21.406,55,2376,30437
21.435,54,2378,30471
21.468,52,2380,30497
21.496,51,2385,30553
21.529,50,2391,30630
21.558,53,2395,30688
21.591,49,2406,30821
21.619,53,2415,30937
21.652,52,2416,30952
21.681,49,2417,30963
21.713,55,2418,30986
21.742,56,2418,30985
21.775,55,2420,31012
21.804,57,2426,31081
21.837,55,2423,31040
21.865,56,2417,30967
21.898,53,2415,30944
21.927,55,2415,30939
21.959,54,2405,30818
21.989,56,2400,30751
22.021,55,2396,30700
22.050,59,2396,30693
22.082,59,2390,30624
22.111,56,2386,30566
22.140,57,2384,30543
22.173,57,2382,30521
22.202,58,2385,30560
22.234,60,2385,30563
22.263,57,2385,30553
22.296,59,2382,30519
22.325,70,2380,30499
22.357,84,2380,30490
22.386,97,2376,30442
22.418,90,2374,30417
22.447,91,2364,30288
22.480,89,2361,30249
22.509,94,2360,30238
22.542,103,2359,30228
22.570,119,2353,30152
22.604,121,2345,30042
22.632,139,2335,29916
22.665,148,2325,29788
22.696,144,2317,29682
22.726,156,2315,29661
22.758,150,2311,29615
22.788,155,2306,29550
22.820,164,2301,29483
22.849,162,2295,29403
22.881,157,2277,29176
22.910,163,2272,29110
22.943,164,2255,28894
22.972,163,2241,28714
23.005,169,2235,28637
23.033,169,2230,28573
23.066,162,2235,28635
23.094,150,2249,28809
23.127,125,2264,29005
23.156,104,2275,29147
23.189,78,2278,29180
23.218,71,2292,29363
23.251,73,2300,29464
23.279,72,2300,29469
23.311,66,2300,29467
23.341,69,2297,29427
23.373,72,2287,29297
23.402,76,2276,29161
23.435,71,2275,29145
23.463,60,2276,29155
23.496,60,2297,29434
23.524,54,2315,29657
23.557,46,2325,29789
23.586,47,2326,29798
23.619,49,2315,29657
23.647,53,2310,29591
23.680,53,2310,29600
23.709,50,2309,29588
23.742,49,2299,29455
23.770,48,2291,29355
23.803,52,2278,29183
23.831,54,2275,29150
23.864,54,2288,29309
23.893,52,2300,29472
23.925,50,2301,29485
23.954,49,2299,29456
23.987,47,2287,29300
24.016,44,2283,29251
24.048,47,2286,29283
24.077,43,2294,29397
24.110,48,2296,29419
24.139,49,2298,29439
24.172,47,2303,29511
24.200,46,2315,29656
24.233,49,2331,29859
24.262,53,2351,30117
24.295,55,2364,30294
24.324,57,2379,30483
24.356,61,2383,30526
24.385,59,2387,30586
24.417,61,2390,30623
24.446,65,2395,30689
24.479,63,2400,30749
24.507,62,2404,30797
24.540,62,2411,30890
24.569,62,2415,30938
24.602,61,2418,30979
24.631,64,2429,31117
24.663,57,2435,31193
24.692,62,2436,31208
24.724,59,2441,31281
24.754,56,2445,31324
24.786,53,2447,31346
24.815,52,2452,31413
24.847,56,2456,31465
24.877,60,2460,31516
24.908,53,2461,31527
24.937,52,2461,31527
24.970,54,2460,31521
24.999,54,2460,31519
25.031,58,2457,31483
25.061,53,2455,31454
25.089,58,2450,31388
25.122,56,2447,31351
25.151,55,2446,31343
25.184,55,2447,31352
25.212,59,2447,31351
25.245,57,2448,31360
25.273,63,2449,31383
25.306,63,2452,31420
25.335,60,2453,31435
25.368,61,2454,31448
25.397,63,2455,31454
25.429,63,2455,31455
25.457,62,2455,31458
25.490,63,2455,31459
25.519,62,2454,31444
25.552,64,2452,31411
25.581,64,2450,31389
25.614,64,2449,31373
25.642,64,2449,31374
25.675,63,2448,31362
25.703,65,2448,31364
25.736,61,2448,31370
25.765,61,2449,31373
25.797,64,2451,31403
25.826,64,2455,31451
25.859,63,2456,31467
25.888,61,2457,31479
25.920,62,2457,31478
25.950,61,2459,31504
25.982,66,2460,31516
26.011,68,2460,31521
26.043,65,2460,31522
26.072,66,2460,31523
26.104,66,2461,31525
26.133,66,2461,31525
26.166,69,2465,31586
26.195,64,2470,31645
26.227,63,2470,31650
26.256,63,2471,31657
26.289,64,2471,31665
26.318,63,2473,31679
26.346,59,2474,31696
26.380,60,2474,31692
26.408,60,2475,31707
26.441,58,2475,31714
26.469,49,2476,31724
26.502,56,2476,31721
26.531,61,2478,31744
26.564,60,2477,31732
26.593,64,2476,31719
26.625,70,2475,31711
26.654,67,2471,31658
26.687,63,2470,31652
26.715,65,2471,31655
26.748,69,2472,31675
26.777,68,2474,31693
26.809,65,2473,31691
26.838,65,2471,31660
26.871,70,2470,31649
26.900,64,2471,31660
26.932,66,2475,31707
26.961,70,2479,31762
26.994,70,2480,31777
27.022,72,2481,31782
27.055,70,2480,31778
27.084,68,2480,31777
27.117,70,2480,31777
27.145,74,2480,31774
27.178,70,2480,31774
27.206,71,2480,31770
27.239,66,2480,31775
27.268,56,2480,31776
27.301,63,2479,31765
27.329,63,2478,31746
27.362,70,2478,31751
27.391,66,2479,31764
27.420,55,2480,31772
27.452,54,2479,31768
27.481,59,2479,31767
27.514,59,2480,31769
27.542,52,2478,31752
27.575,58,2477,31737
27.604,56,2476,31728
27.637,65,2476,31726
27.665,57,2476,31722
27.698,59,2475,31714
27.727,57,2475,31708
27.759,56,2474,31696
27.789,63,2472,31668
27.821,65,2471,31662
27.850,64,2471,31656
27.882,64,2471,31661
27.911,57,2472,31667
27.944,57,2471,31661
27.973,55,2471,31658
28.006,56,2470,31646
28.034,52,2470,31644
28.067,59,2468,31624
28.095,51,2466,31595
28.128,46,2465,31578
28.157,49,2463,31555
28.190,49,2461,31526
28.219,54,2460,31518
28.251,54,2460,31516
28.280,50,2460,31521
28.312,50,2461,31526
28.341,52,2465,31579
28.373,46,2468,31626
28.402,41,2470,31651
28.435,39,2471,31655
28.464,37,2472,31667
28.496,28,2472,31668
28.525,32,2471,31659
28.558,42,2470,31644
28.587,48,2470,31645
28.620,49,2469,31636
28.648,40,2470,31648
28.681,41,2470,31651
28.710,35,2471,31665
28.742,31,2474,31693
28.772,32,2475,31708
28.804,32,2476,31717
28.833,29,2475,31713
28.865,31,2475,31712
28.894,30,2475,31704
28.927,28,2475,31714
28.956,28,2476,31719
28.988,32,2475,31715
29.017,39,2476,31717
29.050,35,2476,31717
29.079,32,2476,31719
29.111,36,2475,31712
29.140,38,2475,31705
29.172,40,2474,31702
29.202,46,2474,31699
29.235,43,2474,31699
29.263,41,2473,31689
29.295,41,2475,31705
29.324,46,2475,31710
29.357,46,2473,31680
29.386,64,2471,31663
29.418,67,2472,31669
29.447,65,2473,31683
29.479,66,2473,31683
29.508,71,2473,31690
29.537,63,2474,31692
29.570,65,2469,31633
29.599,62,2454,31447
29.632,62,2435,31195
29.660,60,2419,30987
29.693,59,2405,30819
29.722,63,2396,30695
29.755,63,2391,30634
29.783,66,2397,30717
29.816,64,2400,30751
29.844,62,2401,30758
29.877,63,2402,30769
29.907,63,2411,30892
29.939,63,2416,30957
29.968,64,2419,30992
30.000,64,2423,31043
30.029,66,2433,31166
30.062,62,2435,31197
30.090,62,2435,31194
30.123,60,2434,31182
30.152,63,2434,31183
30.185,65,2435,31196
30.213,63,2435,31195
30.246,64,2434,31182
30.274,66,2431,31144
30.307,62,2431,31147
30.336,63,2431,31153
30.369,63,2431,31146
30.397,63,2431,31141
30.430,64,2431,31143
30.459,64,2431,31149
30.491,63,2433,31171
30.520,65,2435,31194
30.553,65,2435,31196
30.581,65,2435,31198
30.614,66,2435,31194
30.643,68,2435,31193
30.675,65,2435,31194
30.704,62,2436,31208
30.737,64,2443,31305
30.766,66,2445,31329
30.798,63,2444,31312
30.827,62,2441,31279
30.860,65,2443,31303
30.889,62,2445,31321
30.921,69,2443,31298
30.950,62,2439,31243
30.983,63,2439,31255
31.012,62,2441,31272
31.044,62,2443,31296
31.073,65,2442,31293
31.106,67,2441,31275
31.135,63,2441,31279
31.167,64,2446,31341
31.196,61,2451,31407
31.229,65,2447,31352
31.257,62,2446,31339
31.290,61,2445,31330
31.319,61,2444,31314
31.351,64,2441,31274
31.380,63,2440,31266
31.413,66,2439,31256
31.442,65,2441,31277
31.474,62,2444,31310
31.503,63,2444,31319
31.536,62,2445,31324
31.565,64,2443,31301
31.597,66,2442,31284
31.626,66,2439,31249
31.659,62,2436,31215
31.688,65,2437,31223
31.720,67,2437,31219
31.749,64,2437,31220
31.781,67,2437,31222
31.810,67,2436,31211
31.843,67,2436,31206
31.871,66,2435,31203
31.904,65,2435,31198
31.933,65,2435,31197
31.966,65,2435,31195
31.995,64,2435,31198
32.027,65,2435,31198
32.056,66,2435,31204
32.088,64,2437,31222
32.117,65,2440,31260
32.150,65,2440,31265
32.179,60,2439,31253
32.212,62,2439,31246
32.241,62,2437,31223
32.273,65,2437,31229
32.302,62,2439,31251
32.334,64,2439,31244
32.364,66,2439,31245
32.396,67,2436,31215
32.425,65,2436,31205
32.457,65,2435,31197
32.486,68,2430,31139
32.519,68,2423,31039
32.548,66,2416,30951
32.580,66,2411,30889
32.609,63,2404,30797
32.641,65,2399,30741
32.671,62,2393,30660
32.703,63,2384,30543
32.733,61,2381,30500
32.764,61,2380,30492
32.793,61,2377,30452
32.825,60,2369,30348
32.854,60,2360,30242
32.887,60,2359,30223
32.916,58,2358,30215
32.948,60,2357,30203
32.977,57,2353,30149
33.010,58,2350,30113
33.039,59,2354,30162
33.071,57,2355,30169
33.101,56,2356,30190
33.133,56,2357,30202
33.162,60,2359,30226
33.194,59,2359,30218
33.224,57,2360,30233
33.252,59,2372,30393
33.285,59,2379,30486
33.313,60,2379,30475
