t_s,gap_mm,hall_mV,adc16
0.017,385,2491,32215
0.045,394,2491,32215
0.078,389,2491,32212
0.110,389,2492,32220
0.140,382,2492,32218
0.172,394,2491,32215
0.202,393,2492,32218
0.234,385,2492,32218
0.263,396,2491,32213
0.295,381,2491,32209
0.324,389,2492,32220
0.357,400,2491,32216
0.386,376,2491,32210
0.418,386,2491,32214
0.450,379,2491,32211
0.480,363,2491,32212
0.512,374,2491,32217
0.541,370,2491,32216
0.573,391,2491,32210
0.602,384,2491,32207
0.635,370,2491,32215
0.664,390,2491,32210
0.696,362,2491,32214
0.725,370,2490,32203
0.759,350,2491,32213
0.790,368,2491,32211
0.820,392,2491,32209
0.852,387,2491,32207
0.882,353,2491,32207
0.914,385,2491,32211
0.943,355,2491,32208
0.975,348,2490,32198
1.004,339,2490,32201
1.037,325,2490,32202
1.066,327,2489,32191
1.099,326,2489,32191
1.127,346,2489,32190
1.160,352,2490,32193
1.192,385,2490,32201
1.221,366,2490,32198
1.253,387,2490,32199
1.282,397,2490,32203
1.315,383,2490,32197
1.344,374,2489,32190
1.376,372,2488,32178
1.405,363,2488,32172
1.438,366,2487,32156
1.467,356,2487,32161
1.500,361,2487,32156
1.528,356,2486,32150
1.561,353,2486,32147
1.593,355,2486,32146
1.622,358,2486,32146
1.655,356,2486,32153
1.684,352,2487,32158
1.716,348,2487,32156
1.745,347,2487,32159
1.778,352,2487,32158
1.807,353,2486,32150
1.839,358,2485,32130
1.868,354,2484,32119
1.901,356,2482,32097
1.929,361,2481,32086
1.962,352,2482,32098
1.994,362,2482,32095
2.024,355,2483,32106
2.056,354,2483,32113
2.085,352,2485,32137
2.117,349,2484,32123
2.146,344,2483,32113
2.179,345,2482,32094
2.208,343,2479,32054
2.240,350,2479,32057
2.269,350,2479,32060
2.302,346,2480,32068
2.331,358,2479,32053
2.363,352,2479,32053
2.392,347,2480,32064
2.425,349,2481,32080
2.457,350,2482,32101
2.487,351,2482,32095
2.519,352,2480,32067
2.548,353,2478,32047
2.580,352,2479,32052
2.609,356,2477,32034
2.642,352,2476,32021
2.671,351,2474,31993
2.704,356,2473,31976
2.732,351,2472,31970
2.765,355,2472,31964
