t_s,gap_mm,hall_mV,adc16
2.450,197,2498,32308
2.478,173,2492,32221
2.511,176,2491,32214
2.540,185,2491,32211
2.573,189,2491,32210
4.944,192,2490,32202
4.976,185,2491,32208
5.006,174,2491,32208
5.038,164,2490,32204
5.067,155,2490,32204
5.100,149,2491,32215
5.129,143,2491,32207
5.161,137,2491,32208
5.190,133,2490,32201
5.223,132,2491,32207
5.251,126,2491,32211
5.284,126,2491,32209
5.313,123,2491,32212
5.346,121,2491,32210
5.374,119,2491,32211
5.407,120,2490,32205
5.436,116,2491,32206
5.469,115,2490,32200
5.498,118,2491,32210
5.531,115,2491,32209
5.559,116,2491,32215
5.591,114,2491,32212
5.620,115,2491,32209
5.653,115,2491,32205
5.682,111,2490,32198
5.714,111,2490,32199
5.743,111,2491,32208
5.776,110,2491,32208
5.805,111,2491,32210
5.838,112,2491,32207
5.866,110,2491,32208
5.898,110,2491,32207
5.927,110,2491,32212
5.960,109,2491,32205
5.989,111,2491,32211
6.021,110,2490,32204
6.050,108,2491,32209
6.083,110,2491,32207
6.111,108,2491,32205
6.144,104,2491,32211
6.173,103,2491,32207
6.205,106,2491,32211
6.234,103,2491,32209
6.267,105,2491,32208
6.296,105,2490,32200
6.328,106,2491,32209
6.357,104,2491,32208
6.390,106,2491,32209
6.419,104,2491,32209
6.451,105,2491,32209
6.480,107,2491,32208
6.512,103,2491,32207
6.541,104,2491,32208
6.574,106,2491,32206
6.602,103,2491,32207
6.635,105,2491,32206
6.664,106,2490,32204
6.697,105,2491,32206
6.726,106,2490,32202
6.759,103,2491,32211
6.787,106,2490,32203
6.820,106,2491,32208
6.849,106,2491,32207
6.881,103,2490,32203
6.910,104,2491,32206
6.943,106,2491,32206
6.972,104,2491,32209
7.004,106,2491,32211
7.034,101,2491,32209
7.065,104,2491,32208
7.095,100,2490,32202
7.127,103,2490,32198
7.156,104,2491,32210
7.188,102,2491,32211
7.217,104,2490,32200
7.250,102,2490,32203
7.279,101,2491,32212
7.311,103,2491,32207
7.340,107,2491,32212
7.373,107,2491,32211
7.402,113,2491,32211
7.434,114,2491,32207
7.463,116,2491,32208
7.495,117,2490,32203
7.525,121,2491,32213
7.557,121,2491,32208
7.586,123,2490,32204
7.618,126,2491,32205
7.647,129,2490,32202
7.680,134,2491,32212
7.709,133,2491,32209
7.741,138,2490,32197
7.770,141,2491,32209
7.804,145,2491,32207
7.832,148,2491,32210
7.864,150,2491,32207
7.893,149,2491,32213
7.926,151,2491,32206
7.955,150,2490,32203
7.987,146,2491,32208
8.016,145,2490,32204
8.049,144,2490,32201
8.077,141,2491,32208
8.110,140,2491,32210
8.139,139,2490,32198
8.172,135,2491,32207
8.200,138,2491,32211
8.233,134,2491,32207
8.262,133,2491,32207
8.295,134,2491,32205
8.323,133,2490,32203
8.356,137,2491,32208
8.385,135,2491,32205
8.417,136,2491,32210
8.450,136,2491,32208
8.479,134,2491,32205
8.511,136,2491,32208
8.540,135,2490,32204
8.572,134,2491,32207
8.602,134,2491,32210
8.634,131,2490,32205
8.663,130,2491,32209
8.696,129,2490,32205
8.724,127,2491,32211
8.757,131,2490,32204
8.786,133,2491,32207
8.818,136,2491,32209
8.847,135,2491,32209
8.880,138,2491,32207
8.909,138,2490,32205
8.941,138,2491,32212
8.971,140,2491,32211
9.003,143,2491,32214
9.032,146,2491,32206
9.064,152,2491,32211
9.093,161,2491,32209
9.126,169,2491,32205
9.155,176,2491,32209
9.187,178,2491,32211
9.216,174,2491,32212
9.249,179,2491,32208
9.277,191,2491,32208
21.828,195,2491,32208
21.861,167,2490,32204
21.892,150,2491,32211
21.921,134,2491,32210
21.954,122,2490,32196
21.983,116,2491,32208
22.015,111,2491,32207
22.045,106,2491,32210
22.077,108,2490,32205
22.106,107,2491,32208
22.138,105,2491,32209
22.167,107,2491,32209
22.200,108,2491,32208
22.228,108,2491,32210
22.261,110,2491,32208
22.290,107,2491,32209
22.322,107,2491,32210
22.352,107,2491,32209
22.384,107,2491,32208
22.413,105,2491,32208
22.445,114,2491,32205
22.474,125,2491,32210
22.507,143,2491,32209
22.536,153,2490,32198
22.569,165,2491,32211
22.598,188,2490,32202
25.989,179,2491,32212
26.021,150,2490,32204
26.051,137,2491,32206
26.083,120,2491,32209
26.112,111,2491,32207
26.145,109,2491,32214
26.174,104,2491,32211
26.206,105,2491,32212
26.235,103,2491,32211
26.268,104,2491,32206
26.296,103,2490,32199
26.329,101,2491,32209
26.358,101,2491,32206
26.390,95,2491,32210
26.419,93,2491,32210
26.452,89,2490,32204
26.481,90,2491,32211
26.513,92,2490,32203
26.542,91,2490,32203
26.574,92,2490,32205
26.603,97,2491,32212
26.636,99,2491,32205
26.664,103,2491,32206
26.697,105,2491,32209
26.726,107,2491,32207
26.758,110,2491,32210
26.787,112,2490,32203
26.820,117,2490,32200
26.849,120,2491,32208
26.881,121,2491,32206
26.910,122,2491,32205
26.943,122,2491,32206
26.972,121,2491,32205
27.004,122,2491,32212
27.033,119,2491,32209
27.066,117,2491,32211
27.094,112,2491,32207
27.127,105,2491,32208
27.156,99,2491,32205
27.189,95,2491,32206
27.217,93,2490,32199
27.250,92,2491,32207
27.279,89,2491,32209
27.311,88,2490,32203
27.340,90,2490,32201
27.373,90,2491,32207
27.402,94,2491,32212
27.434,95,2490,32205
27.463,106,2491,32209
27.496,110,2490,32203
27.524,114,2491,32208
27.557,124,2491,32209
27.586,131,2491,32206
27.619,137,2491,32206
27.647,143,2491,32207
27.680,152,2491,32208
27.709,159,2490,32205
27.741,166,2491,32209
27.770,171,2490,32203
27.803,171,2490,32200
27.832,173,2490,32204
27.864,176,2491,32209
27.893,173,2491,32206
27.926,176,2491,32207
27.955,174,2490,32199
27.987,173,2491,32206
28.016,170,2491,32207
28.049,171,2491,32211
28.077,170,2491,32211
28.110,170,2490,32202
28.143,172,2490,32201
28.172,171,2491,32207
28.204,173,2491,32207
28.233,175,2490,32205
28.266,176,2491,32206
28.295,177,2491,32208
28.327,177,2491,32209
28.356,175,2491,32208
28.389,178,2491,32206
28.417,179,2490,32203
28.450,182,2491,32210
28.479,182,2490,32204
28.511,183,2491,32207
28.540,189,2491,32208
28.573,187,2490,32200
28.602,185,2491,32208
28.634,186,2491,32210
28.663,186,2490,32202
28.696,188,2491,32210
28.725,188,2491,32205
28.757,188,2491,32209
28.786,186,2491,32208
28.819,190,2490,32204
28.847,191,2491,32211
28.880,189,2491,32205
28.913,191,2490,32201
28.942,190,2491,32206
28.974,195,2490,32203
29.003,190,2490,32205
29.036,190,2491,32205
29.064,190,2491,32210
29.097,188,2491,32209
29.126,189,2490,32202
29.158,193,2490,32201
29.187,191,2490,32205
29.220,192,2491,32208
29.249,190,2491,32211
29.282,193,2491,32206
29.310,193,2491,32206
29.343,192,2491,32208
29.372,192,2491,32210
29.405,191,2490,32202
29.433,196,2491,32208
29.466,197,2491,32207
29.495,197,2491,32211
29.528,196,2490,32201
29.557,194,2491,32208
29.589,191,2491,32210
29.618,198,2490,32204
29.651,198,2490,32205
31.469,199,2491,32211
31.498,187,2490,32205
31.531,177,2491,32209
31.559,170,2491,32212
31.592,169,2493,32233
31.621,168,2493,32243
31.654,164,2492,32229
31.683,168,2492,32219
31.715,168,2491,32216
31.744,166,2492,32219
31.776,166,2492,32223
31.809,165,2491,32217
31.838,165,2491,32216
31.870,165,2492,32226
31.899,165,2492,32223
31.932,162,2492,32220
31.961,159,2491,32212
31.993,158,2492,32222
32.022,156,2492,32224
32.055,153,2492,32219
32.084,149,2491,32213
32.116,149,2491,32217
32.145,146,2491,32209
32.178,145,2491,32214
32.207,146,2490,32204
32.239,142,2491,32210
32.268,142,2491,32213
