t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.7,30.0,115
-4.072,pre,27.2,30.0,101
-4.051,pre,27.4,30.0,105
-4.030,pre,27.7,30.0,117
-4.009,pre,27.1,30.0,96
-3.989,pre,27.7,30.0,113
-3.969,pre,27.2,30.0,101
-3.948,pre,27.6,30.0,114
-3.927,pre,27.3,30.0,106
-3.907,pre,27.4,30.0,103
-3.887,pre,27.6,30.0,113
-3.866,pre,27.2,30.0,100
-3.846,pre,27.6,30.0,112
-3.826,pre,27.6,30.0,112
-3.805,pre,27.3,30.0,103
-3.784,pre,27.4,30.0,107
-3.764,pre,27.6,30.0,115
-3.743,pre,27.4,30.0,108
-3.723,pre,27.2,30.0,98
-3.703,pre,28.1,30.0,128
-3.682,pre,26.9,30.0,91
-3.661,pre,28.1,30.0,129
-3.641,pre,27.1,30.0,99
-3.621,pre,27.7,30.0,111
-3.597,pre,27.7,30.0,116
-3.576,pre,27.4,30.0,104
-3.556,pre,27.3,30.0,104
-3.535,pre,27.4,30.0,108
-3.515,pre,27.2,30.0,104
-3.494,pre,27.4,30.0,108
-3.474,pre,27.5,30.0,112
-3.453,pre,27.4,30.0,105
-3.433,pre,27.4,30.0,104
-3.412,pre,28.3,30.0,134
-3.392,pre,27.2,30.0,100
-3.371,pre,27.8,30.0,113
-3.351,pre,27.4,30.0,109
-3.330,pre,27.4,30.0,108
-3.310,pre,27.5,30.0,109
-3.289,pre,27.3,30.0,104
-3.269,pre,27.5,30.0,108
-3.248,pre,27.9,30.0,125
-3.228,pre,27.3,30.0,101
-3.208,pre,27.8,30.0,118
-3.187,pre,27.6,30.0,112
-3.166,pre,27.7,30.0,113
-3.146,pre,27.8,30.0,118
-3.125,pre,28.0,30.0,124
-3.105,pre,27.3,30.0,101
-3.084,pre,27.5,30.0,104
-3.064,pre,27.7,30.0,117
-3.043,pre,27.0,30.0,93
-3.023,pre,27.2,30.0,102
-3.002,pre,27.1,30.0,100
-2.982,pre,27.2,30.0,102
-2.961,pre,27.4,30.0,109
-2.940,pre,27.5,30.0,110
-2.920,pre,27.6,30.0,110
-2.900,pre,27.7,30.0,116
-2.879,pre,27.7,30.0,117
-2.858,pre,27.1,30.0,95
-2.838,pre,28.1,30.0,127
-2.818,pre,27.4,30.0,107
-2.797,pre,27.6,30.0,110
-2.776,pre,27.4,30.0,107
-2.756,pre,27.3,30.0,105
-2.736,pre,27.2,30.0,100
-2.715,pre,27.5,30.0,112
-2.695,pre,27.3,30.0,102
-2.675,pre,28.0,30.0,123
-2.654,pre,27.5,30.0,110
-2.634,pre,27.7,30.0,113
-2.614,pre,27.6,30.0,110
-2.593,pre,27.2,30.0,99
-2.573,pre,27.6,30.0,113
-2.552,pre,27.3,30.0,105
-2.532,pre,27.4,30.0,108
-2.511,pre,27.3,30.0,105
-2.491,pre,27.8,30.0,119
-2.470,pre,27.5,30.0,108
-2.450,pre,27.7,30.0,114
-2.429,pre,27.8,30.0,116
-2.408,pre,27.1,30.0,95
-2.388,pre,27.8,30.0,117
-2.367,pre,27.1,30.0,99
-2.347,pre,27.4,30.0,108
-2.326,pre,27.4,30.0,109
-2.306,pre,27.5,30.0,110
-2.286,pre,27.6,30.0,111
-2.265,pre,27.6,30.0,111
-2.245,pre,27.6,30.0,112
-2.224,pre,27.6,30.0,112
-2.204,pre,27.6,30.0,109
-2.183,pre,27.6,30.0,110
-2.159,pre,27.4,30.0,106
-2.139,pre,27.5,30.0,108
-2.118,pre,27.4,30.0,109
-2.098,pre,27.6,30.0,115
-2.077,pre,27.6,30.0,111
