t_s,gap_mm,hall_mV,adc16
0.014,341,0,0
0.047,346,59,767
0.076,344,0,0
0.109,346,78,1012
0.138,337,0,4
0.171,334,62,799
0.203,340,1,8
0.231,335,36,468
0.264,342,5,68
0.293,341,14,184
0.326,338,18,232
0.354,344,1,7
0.387,345,33,431
0.416,347,0,0
0.448,348,68,876
0.477,352,0,4
0.510,352,69,899
0.539,351,1,15
0.571,350,36,469
0.604,352,3,38
0.633,354,16,205
0.665,350,14,177
0.694,348,3,42
0.727,348,13,163
0.755,344,0,0
0.788,357,62,804
0.817,349,0,1
0.850,349,111,1433
0.878,351,1,18
0.911,355,74,959
0.940,348,1,9
0.973,350,24,311
1.005,359,9,118
1.034,347,7,90
1.067,354,14,175
1.095,344,0,1
1.128,352,60,775
1.157,342,0,0
1.190,349,80,1034
1.218,347,1,10
1.251,352,58,745
1.280,355,0,6
1.313,341,40,512
1.341,352,7,94
1.374,346,33,430
1.407,350,59,761
1.435,344,31,405
1.468,353,56,718
1.497,356,0,0
1.530,348,27,349
1.558,350,0,1
1.591,346,29,377
1.620,350,1,15
1.652,344,52,671
1.681,347,3,37
1.714,346,103,1329
1.743,348,116,1494
1.776,356,197,2553
1.808,347,325,4203
1.837,349,207,2677
1.870,348,190,2458
1.898,354,0,1
1.931,352,99,1286
1.960,349,2,25
1.992,347,138,1780
2.021,361,4,50
2.054,354,71,919
2.083,346,11,148
2.115,356,9,121
2.144,345,12,157
2.177,354,0,0
2.206,345,36,461
2.238,356,0,0
2.271,353,53,683
2.300,347,0,4
2.332,351,50,647
2.361,353,0,6
2.394,345,44,566
2.423,348,5,68
2.455,354,9,113
2.484,340,11,141
2.517,343,0,0
2.545,337,28,366
2.578,356,0,1
2.607,351,141,1821
2.640,346,2,26
2.672,349,167,2156
2.701,347,2,23
2.734,339,70,905
2.763,352,3,34
2.795,341,27,346
2.824,350,14,181
2.857,345,4,50
2.885,340,6,81
2.918,346,0,0
2.947,343,30,382
2.980,349,0,1
3.008,347,47,612
3.041,355,2,22
3.070,358,87,1124
3.102,351,2,28
3.135,350,105,1361
3.164,356,12,158
3.197,347,30,394
3.225,353,34,439
3.258,349,0,3
3.287,352,58,746
3.319,343,0,1
3.348,362,43,550
3.381,356,0,2
3.410,346,40,519
3.442,345,1,14
3.471,344,21,276
3.504,345,4,51
3.533,345,7,94
3.565,343,19,242
3.598,347,1,16
3.627,350,70,910
3.660,354,1,18
3.689,348,136,1760
3.721,349,0,3
3.750,353,117,1518
3.783,355,0,5
3.811,356,32,409
3.844,354,2,31
3.873,354,26,337
3.906,338,14,179
3.934,352,5,61
3.967,355,13,167
3.995,354,0,0
4.028,349,56,726
4.061,350,0,3
4.090,356,111,1439
4.123,347,1,13
4.151,354,49,640
4.184,348,1,14
4.213,350,7,88
4.245,345,8,109
4.274,352,1,19
4.307,343,20,253
4.336,355,0,5
4.368,350,70,904
4.398,352,0,0
4.430,360,131,1700
4.462,349,1,15
4.492,348,152,1966
4.524,356,3,34
4.554,353,54,699
4.586,351,7,86
4.615,352,4,50
4.647,341,16,206
4.676,345,0,0
4.709,348,28,358
4.737,342,0,0
4.770,351,30,382
4.799,345,0,3
4.831,355,48,616
4.864,348,1,10
4.893,350,25,325
4.925,352,4,46
4.954,347,21,266
4.987,353,17,217
5.015,350,4,48
5.048,360,16,209
5.077,353,0,0
5.110,350,51,658
5.138,356,0,1
5.171,348,34,437
5.200,347,1,16
5.233,347,53,680
5.261,358,1,16
5.295,345,16,209
5.327,343,10,130
5.356,349,6,81
5.388,348,26,335
5.417,353,0,0
5.450,345,58,754
5.479,351,0,1
5.511,347,68,883
5.540,347,0,6
5.573,347,47,607
5.601,352,1,12
5.634,358,26,342
5.662,344,7,92
5.695,350,8,103
5.728,349,20,261
5.757,350,0,0
5.790,349,38,494
5.818,347,0,2
5.851,352,72,937
5.880,351,0,4
5.913,353,63,812
5.941,354,1,8
5.974,354,36,463
6.003,348,4,57
6.036,347,11,145
6.064,355,16,211
6.097,354,2,20
6.129,343,33,429
6.159,350,0,0
6.191,352,88,1144
6.220,349,0,3
6.253,354,111,1429
6.282,353,2,21
6.314,342,56,727
6.343,358,3,33
6.375,359,22,279
6.404,350,14,181
6.437,363,6,73
6.466,359,28,358
6.498,356,0,0
6.531,353,67,861
6.560,346,0,1
6.592,351,93,1202
6.621,350,2,21
6.654,362,52,671
6.683,347,1,7
6.716,353,17,225
6.744,354,9,118
6.777,355,1,10
6.805,348,7,86
6.838,354,0,0
6.868,356,67,869
6.900,354,0,0
6.932,350,213,2758
6.961,354,3,43
6.994,351,90,1166
7.023,351,1,11
7.055,352,37,477
7.084,351,5,66
7.117,350,18,227
7.145,354,8,98
7.178,357,0,0
7.207,353,34,439
7.240,354,5,61
7.268,350,153,1976
7.301,350,1,12
7.329,356,58,744
7.362,353,0,6
7.391,341,30,394
7.424,348,4,46
7.456,350,11,142
7.486,346,14,182
7.518,344,4,47
7.547,355,34,439
7.579,343,0,0
7.608,346,32,416
7.641,357,0,0
7.670,353,66,849
7.703,352,1,19
7.731,342,186,2405
7.764,340,72,930
7.793,341,43,555
7.825,342,10,129
7.858,335,8,101
7.887,340,9,116
7.919,327,0,0
7.948,324,68,884
7.981,319,0,1
8.010,305,134,1732
8.042,297,1,17
8.071,349,108,1399
8.104,378,1,11
8.132,386,44,569
8.165,354,9,113
8.194,362,15,195
8.227,358,18,237
8.259,382,0,6
8.288,375,68,875
8.321,390,0,1
8.350,376,73,942
8.383,372,0,6
8.412,346,78,1003
8.444,336,0,2
8.473,318,44,565
8.505,319,7,86
8.534,317,22,285
8.567,333,28,361
8.595,355,6,76
8.629,368,92,1193
8.661,380,0,1
8.690,380,116,1497
8.722,377,0,2
8.751,387,38,488
8.784,376,3,33
8.813,358,74,957
8.845,380,6,82
8.874,394,7,86
8.907,377,0,4
8.935,389,0,0
8.968,368,1,14
9.000,394,4,49
9.030,374,249,3223
9.062,367,155,2007
9.092,384,358,4631
9.124,376,194,2504
9.153,379,186,2408
9.185,387,4,49
9.214,365,0,0
9.247,373,6,74
9.275,378,0,0
9.308,399,0,2
9.337,378,0,0
9.370,391,3,44
9.402,397,0,2
9.431,379,12,155
9.464,384,7,93
9.492,390,311,4022
9.525,396,224,2897
9.554,391,276,3571
9.586,376,244,3159
9.615,393,183,2366
9.648,377,193,2492
9.680,382,17,214
9.710,361,118,1529
9.742,378,0,4
9.771,384,97,1260
9.804,390,2,20
9.832,386,58,750
9.865,424,4,50
9.894,372,24,311
9.927,397,19,244
9.955,388,5,65
9.988,372,68,878
10.017,373,0,1
10.050,388,119,1540
10.082,391,0,4
10.111,387,97,1253
10.143,371,2,23
10.172,368,50,644
10.205,407,4,48
10.234,388,23,302
10.266,371,18,227
10.295,378,6,72
10.328,386,38,493
10.357,369,0,0
10.390,369,117,1512
10.418,377,0,4
10.451,385,136,1764
10.483,386,2,24
10.512,418,114,1469
10.545,418,61,784
10.574,413,146,1892
10.607,421,170,2195
10.635,406,170,2193
10.668,414,249,3225
10.700,413,185,2389
10.730,411,584,7550
10.762,407,479,6188
10.791,412,636,8229
10.823,403,663,8568
10.852,410,909,11751
10.885,399,986,12748
10.914,387,1219,15769
10.947,388,1189,15381
10.975,394,1308,16908
11.008,407,2242,28994
11.037,419,3489,45120
11.069,427,4172,53954
11.102,424,4272,55239
