t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,28.0,30.0,120
-4.067,pre,28.0,30.0,121
-4.046,pre,28.1,30.0,124
-4.026,pre,27.5,30.0,94
-4.005,pre,27.5,30.0,105
-3.984,pre,27.1,30.0,99
-3.964,pre,27.1,30.0,101
-3.943,pre,27.5,30.0,114
-3.923,pre,28.4,30.0,136
-3.903,pre,28.2,30.0,127
-3.883,pre,28.7,30.0,129
-3.862,pre,28.0,30.0,114
-3.842,pre,29.7,30.0,160
-3.821,pre,26.9,30.0,82
-3.800,pre,27.8,30.0,116
-3.780,pre,26.8,30.0,91
-3.760,pre,26.7,30.0,91
-3.739,pre,26.2,30.0,84
-3.718,pre,26.8,30.0,103
-3.698,pre,26.9,30.0,100
-3.678,pre,28.0,30.0,134
-3.657,pre,28.1,30.0,111
-3.636,pre,33.6,30.0,255
-3.616,pre,26.6,30.0,41
-3.595,pre,33.1,30.0,255
-3.575,pre,25.9,30.0,37
-3.554,pre,25.8,30.0,68
-3.534,pre,25.7,30.0,75
-3.513,pre,26.0,30.0,87
-3.493,pre,27.0,30.0,114
-3.473,pre,28.4,30.0,145
-3.451,pre,30.9,30.0,195
-3.432,pre,27.9,30.0,100
-3.410,pre,29.8,30.0,122
-3.391,pre,27.2,30.0,85
-3.370,pre,27.1,30.0,86
-3.349,pre,26.6,30.0,89
-3.329,pre,26.7,30.0,95
-3.309,pre,27.9,30.0,127
-3.288,pre,28.1,30.0,126
-3.268,pre,28.7,30.0,136
-3.247,pre,30.2,30.0,173
-3.227,pre,27.0,30.0,79
-3.206,pre,30.6,30.0,193
-3.186,pre,26.4,30.0,62
-3.165,pre,26.9,30.0,90
-3.145,pre,26.6,30.0,92
-3.124,pre,27.5,30.0,119
-3.103,pre,27.6,30.0,112
-3.080,pre,28.1,30.0,128
-3.060,pre,28.1,30.0,109
-3.039,pre,28.2,30.0,120
-3.019,pre,26.9,30.0,83
-2.998,pre,27.6,30.0,115
-2.978,pre,26.6,30.0,82
-2.957,pre,26.9,30.0,99
-2.937,pre,27.8,30.0,126
-2.916,pre,28.1,30.0,129
-2.896,pre,27.9,30.0,112
-2.875,pre,29.2,30.0,142
-2.855,pre,28.4,30.0,124
-2.835,pre,27.6,30.0,84
-2.814,pre,28.1,30.0,125
-2.794,pre,27.2,30.0,90
-2.773,pre,27.5,30.0,111
-2.753,pre,27.8,30.0,121
-2.732,pre,27.7,30.0,113
-2.711,pre,27.9,30.0,117
-2.691,pre,27.3,30.0,104
-2.670,pre,28.0,30.0,122
-2.650,pre,27.0,30.0,95
-2.629,pre,27.4,30.0,108
-2.608,pre,27.7,30.0,117
-2.588,pre,28.0,30.0,119
-2.568,pre,28.7,30.0,136
-2.548,pre,29.0,30.0,139
-2.527,pre,28.8,30.0,132
-2.507,pre,28.2,30.0,112
-2.486,pre,28.0,30.0,111
-2.465,pre,27.8,30.0,110
-2.445,pre,27.4,30.0,102
-2.424,pre,27.6,30.0,113
-2.404,pre,27.0,30.0,97
-2.383,pre,27.2,30.0,104
-2.363,pre,27.4,30.0,113
-2.342,pre,27.2,30.0,102
-2.322,pre,27.4,30.0,110
-2.301,pre,27.2,30.0,102
-2.281,pre,27.5,30.0,107
-2.260,pre,28.1,30.0,125
-2.239,pre,27.5,30.0,108
-2.219,pre,28.6,30.0,135
-2.199,pre,27.4,30.0,102
-2.178,pre,28.3,30.0,129
-2.158,pre,28.4,30.0,131
-2.137,pre,27.6,30.0,101
-2.117,pre,29.1,30.0,153
-2.097,pre,27.5,30.0,100
-2.076,pre,27.5,30.0,92
-2.055,pre,27.6,30.0,114
-2.035,pre,27.5,30.0,106
-2.015,pre,27.6,30.0,113
-1.994,pre,27.1,30.0,99
-1.973,pre,27.7,30.0,119
-1.953,pre,27.0,30.0,91
-1.933,pre,27.1,30.0,99
-1.912,pre,27.3,30.0,109
-1.892,pre,27.4,30.0,108
-1.871,pre,27.7,30.0,116
-1.851,pre,28.0,30.0,122
-1.830,pre,28.3,30.0,123
-1.809,pre,27.8,30.0,112
-1.789,pre,28.4,30.0,128
-1.768,pre,28.7,30.0,138
-1.748,pre,27.0,30.0,65
-1.728,pre,27.8,30.0,116
-1.707,pre,27.0,30.0,94
-1.687,pre,27.1,30.0,97
-1.666,pre,27.2,30.0,103
-1.646,pre,27.8,30.0,121
-1.625,pre,27.3,30.0,103
-1.605,pre,27.9,30.0,119
-1.584,pre,27.6,30.0,111
-1.564,pre,27.7,30.0,110
-1.543,pre,27.5,30.0,107
-1.522,pre,27.5,30.0,108
-1.502,pre,27.5,30.0,108
-1.482,pre,27.4,30.0,103
-1.462,pre,28.1,30.0,125
-1.441,pre,27.7,30.0,114
-1.421,pre,27.6,30.0,105
-1.400,pre,28.2,30.0,126
-1.380,pre,27.6,30.0,108
-1.360,pre,28.4,30.0,127
-1.339,pre,27.5,30.0,107
-1.319,pre,27.7,30.0,107
-1.298,pre,27.9,30.0,120
-1.278,pre,27.3,30.0,98
-1.257,pre,27.7,30.0,112
-1.237,pre,27.5,30.0,111
-1.216,pre,27.3,30.0,100
-1.196,pre,27.6,30.0,114
-1.175,pre,27.5,30.0,111
