t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.6,30.0,111
-4.071,pre,27.6,30.0,114
-4.050,pre,27.3,30.0,96
-4.030,pre,28.0,30.0,128
-4.009,pre,27.1,30.0,97
-3.989,pre,27.8,30.0,121
-3.968,pre,27.8,30.0,116
-3.948,pre,27.3,30.0,96
-3.927,pre,28.0,30.0,124
-3.907,pre,27.4,30.0,106
-3.886,pre,27.5,30.0,110
-3.866,pre,27.5,30.0,111
-3.845,pre,27.6,30.0,114
-3.825,pre,27.6,30.0,108
-3.804,pre,27.7,30.0,115
-3.783,pre,27.5,30.0,108
-3.763,pre,27.4,30.0,101
-3.743,pre,27.3,30.0,106
-3.723,pre,27.4,30.0,106
-3.702,pre,27.3,30.0,105
-3.682,pre,27.7,30.0,117
-3.661,pre,27.9,30.0,121
-3.641,pre,27.2,30.0,95
-3.620,pre,27.9,30.0,119
-3.600,pre,27.4,30.0,107
-3.579,pre,27.3,30.0,100
-3.558,pre,27.7,30.0,115
-3.538,pre,27.6,30.0,113
-3.518,pre,27.6,30.0,111
-3.498,pre,27.5,30.0,110
-3.477,pre,27.4,30.0,108
-3.457,pre,27.6,30.0,110
-3.436,pre,27.9,30.0,123
-3.416,pre,27.3,30.0,105
-3.396,pre,27.5,30.0,105
-3.375,pre,27.4,30.0,107
-3.354,pre,27.5,30.0,109
-3.334,pre,27.7,30.0,116
-3.313,pre,27.1,30.0,98
-3.293,pre,27.7,30.0,114
-3.272,pre,27.5,30.0,109
-3.252,pre,27.7,30.0,116
-3.231,pre,27.2,30.0,100
-3.211,pre,27.8,30.0,118
-3.190,pre,27.4,30.0,106
-3.170,pre,27.9,30.0,120
-3.149,pre,27.5,30.0,110
-3.129,pre,27.1,30.0,96
-3.108,pre,27.3,30.0,103
-3.084,pre,27.7,30.0,116
-3.064,pre,27.6,30.0,114
-3.043,pre,27.5,30.0,111
-3.023,pre,27.8,30.0,120
-3.002,pre,27.2,30.0,97
-2.982,pre,28.1,30.0,124
-2.961,pre,27.1,30.0,95
-2.941,pre,27.9,30.0,119
-2.920,pre,26.8,30.0,87
-2.900,pre,27.4,30.0,108
-2.879,pre,27.4,30.0,111
-2.859,pre,27.1,30.0,96
-2.838,pre,27.4,30.0,107
-2.818,pre,27.7,30.0,119
-2.797,pre,27.5,30.0,108
-2.776,pre,27.9,30.0,121
-2.756,pre,27.7,30.0,113
-2.736,pre,27.4,30.0,100
-2.715,pre,27.6,30.0,109
-2.694,pre,27.5,30.0,110
-2.675,pre,27.3,30.0,103
-2.654,pre,27.5,30.0,111
-2.634,pre,27.5,30.0,112
-2.613,pre,27.0,30.0,93
-2.593,pre,27.5,30.0,107
-2.572,pre,27.4,30.0,106
-2.552,pre,28.1,30.0,127
-2.531,pre,27.2,30.0,98
-2.510,pre,27.8,30.0,116
-2.490,pre,27.5,30.0,109
-2.470,pre,27.4,30.0,105
-2.449,pre,27.6,30.0,113
-2.428,pre,27.5,30.0,109
-2.408,pre,27.6,30.0,111
-2.387,pre,27.3,30.0,102
-2.367,pre,27.2,30.0,96
-2.347,pre,27.7,30.0,117
-2.325,pre,27.3,30.0,104
-2.305,pre,27.9,30.0,121
-2.284,pre,27.5,30.0,109
-2.265,pre,27.6,30.0,111
-2.243,pre,27.6,30.0,113
-2.223,pre,27.4,30.0,103
-2.203,pre,27.4,30.0,102
-2.181,pre,27.8,30.0,123
-2.162,pre,26.9,30.0,84
-2.142,pre,27.2,30.0,99
-2.121,pre,27.2,30.0,105
-2.101,pre,27.1,30.0,101
-2.080,pre,27.3,30.0,105
-2.060,pre,27.2,30.0,101
-2.039,pre,27.8,30.0,120
-2.019,pre,27.5,30.0,111
-1.998,pre,27.3,30.0,100
-1.977,pre,27.5,30.0,110
-1.957,pre,27.8,30.0,118
-1.937,pre,27.6,30.0,111
-1.916,pre,27.6,30.0,108
-1.896,pre,27.9,30.0,120
-1.875,pre,27.4,30.0,103
-1.855,pre,27.8,30.0,118
-1.834,pre,27.7,30.0,117
-1.814,pre,27.0,30.0,88
-1.793,pre,27.6,30.0,117
-1.773,pre,26.9,30.0,93
-1.752,pre,27.2,30.0,105
-1.732,pre,27.1,30.0,101
-1.711,pre,27.0,30.0,99
-1.691,pre,27.4,30.0,109
-1.670,pre,27.5,30.0,107
-1.650,pre,27.9,30.0,120
-1.630,pre,27.9,30.0,119
-1.609,pre,27.7,30.0,110
-1.589,pre,27.7,30.0,111
-1.568,pre,27.4,30.0,101
-1.548,pre,27.5,30.0,106
-1.527,pre,27.3,30.0,104
-1.507,pre,27.2,30.0,102
-1.483,pre,27.3,30.0,106
-1.462,pre,27.3,30.0,108
-1.442,pre,27.1,30.0,102
-1.421,pre,27.6,30.0,116
-1.401,pre,27.6,30.0,114
-1.380,pre,27.6,30.0,111
-1.359,pre,27.5,30.0,108
-1.339,pre,27.0,30.0,93
-1.319,pre,27.2,30.0,100
-1.298,pre,27.4,30.0,106
-1.278,pre,27.2,30.0,102
-1.258,pre,27.5,30.0,109
-1.237,pre,27.5,30.0,110
-1.217,pre,27.2,30.0,100
-1.196,pre,27.7,30.0,114
-1.176,pre,27.5,30.0,106
-1.155,pre,28.0,30.0,121
-1.135,pre,27.6,30.0,110
-1.114,pre,27.2,30.0,98
-1.094,pre,27.4,30.0,105
-1.073,pre,27.5,30.0,110
-1.052,pre,27.5,30.0,111
-1.032,pre,27.6,30.0,111
-1.011,pre,27.4,30.0,106
-0.991,pre,27.6,30.0,112
-0.970,pre,27.7,30.0,117
-0.950,pre,27.6,30.0,110
-0.929,pre,27.4,30.0,103
-0.908,pre,27.3,30.0,106
-0.888,pre,27.2,30.0,101
-0.868,pre,27.1,30.0,100
-0.847,pre,27.5,30.0,112
-0.826,pre,27.8,30.0,122
-0.806,pre,27.8,30.0,117
-0.786,pre,27.9,30.0,119
-0.765,pre,27.2,30.0,96
-0.745,pre,27.8,30.0,116
-0.724,pre,27.6,30.0,109
-0.704,pre,27.8,30.0,114
-0.683,pre,27.3,30.0,103
-0.663,pre,27.6,30.0,109
-0.642,pre,27.5,30.0,111
-0.622,pre,27.2,30.0,97
-0.602,pre,27.4,30.0,107
-0.581,pre,27.5,30.0,110
-0.560,pre,27.5,30.0,112
-0.540,pre,27.5,30.0,112
-0.520,pre,27.3,30.0,101
-0.499,pre,27.4,30.0,105
-0.478,pre,27.6,30.0,110
-0.458,pre,27.4,30.0,105
-0.438,pre,27.4,30.0,104
-0.417,pre,27.6,30.0,113
-0.396,pre,27.4,30.0,108
-0.376,pre,27.5,30.0,110
-0.355,pre,27.5,30.0,111
-0.335,pre,27.7,30.0,115
-0.314,pre,27.8,30.0,119
-0.294,pre,27.8,30.0,118
-0.274,pre,27.6,30.0,111
-0.253,pre,27.8,30.0,117
-0.233,pre,27.1,30.0,94
-0.212,pre,27.3,30.0,103
-0.192,pre,27.5,30.0,110
-0.172,pre,27.2,30.0,103
-0.151,pre,27.2,30.0,102
-0.131,pre,28.0,30.0,127
-0.110,pre,27.2,30.0,103
-0.090,pre,27.8,30.0,116
-0.066,pre,27.8,30.0,119
-0.045,pre,27.6,30.0,108
-0.025,pre,27.3,30.0,100
-0.004,pre,27.6,30.0,112
0.016,post,27.3,30.3,97
0.037,post,27.8,30.3,110
0.057,post,27.6,30.3,104
0.078,post,28.4,30.3,127
0.098,post,27.7,30.3,103
0.119,post,29.2,30.3,148
0.139,post,27.3,30.3,87
0.160,post,29.1,30.3,136
0.180,post,27.5,30.3,98
0.201,post,28.3,30.3,121
0.221,post,27.3,30.3,94
0.241,post,29.1,30.3,147
0.262,post,27.3,30.3,91
0.283,post,29.1,30.3,146
0.303,post,27.1,30.3,79
0.323,post,30.5,30.3,186
0.344,post,26.7,30.3,68
0.364,post,28.6,30.3,134
0.385,post,26.9,30.3,82
0.405,post,28.6,30.3,132
0.426,post,27.4,30.3,98
0.446,post,30.1,30.3,180
0.467,post,27.2,30.3,85
0.487,post,32.4,30.3,233
0.508,post,26.3,30.3,50
0.528,post,27.3,30.3,96
0.549,post,26.6,30.3,82
0.569,post,27.2,30.3,105
0.590,post,28.4,30.3,136
0.610,post,27.8,30.3,99
0.631,post,30.9,30.3,199
0.651,post,26.9,30.3,41
0.672,post,28.1,30.3,116
0.692,post,26.8,30.3,81
0.712,post,28.0,30.3,127
0.733,post,27.4,30.3,98
0.754,post,28.6,30.3,126
0.774,post,28.2,30.3,117
0.795,post,29.8,30.3,150
0.815,post,27.4,30.3,92
0.835,post,27.8,30.3,98
0.856,post,27.6,30.3,109
0.876,post,27.8,30.3,106
0.897,post,27.9,30.3,112
0.917,post,29.1,30.3,137
0.938,post,28.0,30.3,115
0.958,post,28.6,30.3,109
0.979,post,27.4,30.3,97
0.999,post,26.8,30.3,72
1.020,post,27.5,30.3,108
1.040,post,27.6,30.3,106
1.061,post,28.0,30.3,117
1.081,post,28.2,30.3,117
1.102,post,29.2,30.3,140
1.122,post,28.1,30.3,109
1.143,post,29.3,30.3,136
1.163,post,27.6,30.3,99
1.184,post,28.0,30.3,101
1.204,post,27.7,30.3,112
1.225,post,27.8,30.3,102
1.245,post,28.1,30.3,120
1.266,post,27.7,30.3,99
1.286,post,29.2,30.3,152
1.307,post,27.1,30.3,67
1.327,post,30.7,30.3,200
1.348,post,26.3,30.3,45
1.368,post,28.0,30.3,120
1.388,post,26.8,30.3,86
1.409,post,27.5,30.3,108
1.430,post,28.4,30.3,131
1.450,post,27.4,30.3,86
1.470,post,30.9,30.3,202
1.491,post,26.7,30.3,59
1.511,post,30.1,30.3,172
1.532,post,26.4,30.3,62
1.552,post,27.9,30.3,116
1.573,post,27.6,30.3,110
1.593,post,28.0,30.3,120
1.614,post,28.4,30.3,117
1.634,post,28.7,30.3,129
1.655,post,28.2,30.3,112
1.675,post,29.0,30.3,124
1.696,post,27.8,30.3,107
1.716,post,27.9,30.3,99
1.737,post,27.9,30.3,116
1.757,post,28.0,30.3,112
1.778,post,27.9,30.3,113
1.798,post,30.8,30.3,192
1.819,post,26.5,30.3,58
1.839,post,28.4,30.3,123
1.860,post,26.9,30.3,87
1.880,post,27.6,30.3,104
1.901,post,27.9,30.3,114
1.921,post,28.1,30.3,118
1.941,post,29.1,30.3,137
1.962,post,27.8,30.3,98
1.982,post,28.9,30.3,138
2.003,post,27.7,30.3,90
2.024,post,29.3,30.3,152
2.044,post,27.0,30.3,78
2.064,post,29.3,30.3,151
2.085,post,26.8,30.3,76
2.105,post,28.7,30.3,138
2.126,post,27.3,30.3,95
2.146,post,28.9,30.3,137
2.167,post,27.3,30.3,92
2.187,post,29.4,30.3,151
2.208,post,27.3,30.3,92
2.229,post,28.3,30.3,115
2.249,post,28.4,30.3,130
2.269,post,27.6,30.3,84
2.290,post,28.4,30.3,132
2.310,post,27.5,30.3,87
2.331,post,29.7,30.3,168
2.351,post,27.1,30.3,77
2.372,post,30.0,30.3,175
2.392,post,27.0,30.3,78
2.413,post,29.6,30.3,159
2.433,post,27.1,30.3,86
2.454,post,29.3,30.3,146
2.474,post,26.9,30.3,81
2.495,post,27.7,30.3,110
2.515,post,27.6,30.3,103
2.536,post,28.3,30.3,126
2.556,post,28.6,30.3,129
2.577,post,28.7,30.3,127
2.597,post,28.7,30.3,121
2.618,post,28.0,30.3,111
2.639,post,28.8,30.3,129
2.659,post,27.5,30.3,94
2.680,post,28.1,30.3,110
2.700,post,28.6,30.3,130
2.721,post,27.7,30.3,99
2.741,post,28.2,30.3,121
2.761,post,27.6,30.3,92
2.782,post,28.7,30.3,138
2.802,post,27.0,30.3,74
2.823,post,29.6,30.3,168
2.843,post,26.7,30.3,63
2.864,post,28.5,30.3,132
2.885,post,27.3,30.3,98
2.905,post,28.9,30.3,139
2.925,post,27.0,30.3,83
2.946,post,29.9,30.3,164
2.966,post,27.5,30.3,95
2.987,post,28.5,30.3,111
3.007,post,27.3,30.3,97
3.028,post,27.8,30.3,106
