t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.5,30.0,105
-4.067,pre,27.5,30.0,105
-4.047,pre,27.9,30.0,121
-4.026,pre,27.1,30.0,94
-4.006,pre,27.6,30.0,112
-3.985,pre,27.5,30.0,110
-3.964,pre,27.3,30.0,103
-3.944,pre,27.2,30.0,100
-3.924,pre,27.6,30.0,114
-3.903,pre,27.2,30.0,101
-3.883,pre,27.6,30.0,108
-3.862,pre,27.6,30.0,108
-3.842,pre,27.9,30.0,117
-3.821,pre,27.1,30.0,97
-3.801,pre,27.8,30.0,115
-3.780,pre,27.6,30.0,112
-3.760,pre,27.6,30.0,111
-3.739,pre,27.6,30.0,109
-3.719,pre,27.5,30.0,105
-3.698,pre,27.4,30.0,105
-3.678,pre,27.6,30.0,110
-3.657,pre,27.4,30.0,108
-3.636,pre,27.3,30.0,99
-3.616,pre,27.7,30.0,117
-3.596,pre,27.9,30.0,119
-3.576,pre,27.7,30.0,113
-3.555,pre,27.4,30.0,101
-3.534,pre,27.6,30.0,112
-3.514,pre,27.3,30.0,103
-3.494,pre,27.6,30.0,112
-3.473,pre,27.9,30.0,118
-3.453,pre,27.2,30.0,94
-3.432,pre,27.6,30.0,110
-3.412,pre,27.5,30.0,108
-3.391,pre,27.6,30.0,110
-3.371,pre,27.5,30.0,110
-3.350,pre,27.8,30.0,117
-3.330,pre,27.2,30.0,101
-3.309,pre,27.4,30.0,105
-3.289,pre,27.5,30.0,111
-3.268,pre,27.2,30.0,95
-3.247,pre,27.9,30.0,119
-3.228,pre,27.7,30.0,116
-3.207,pre,27.4,30.0,101
-3.187,pre,27.9,30.0,119
-3.166,pre,27.5,30.0,110
-3.146,pre,27.5,30.0,109
-3.122,pre,27.8,30.0,119
-3.101,pre,27.7,30.0,115
-3.081,pre,27.7,30.0,115
-3.060,pre,27.6,30.0,111
-3.040,pre,27.7,30.0,114
-3.019,pre,27.2,30.0,97
-2.998,pre,27.7,30.0,116
-2.978,pre,27.4,30.0,107
-2.958,pre,27.8,30.0,117
-2.937,pre,27.6,30.0,112
-2.917,pre,28.1,30.0,127
-2.896,pre,27.5,30.0,107
-2.876,pre,27.7,30.0,110
-2.855,pre,27.7,30.0,115
-2.835,pre,27.4,30.0,103
-2.814,pre,27.6,30.0,113
-2.794,pre,27.7,30.0,113
-2.773,pre,27.4,30.0,105
-2.753,pre,27.8,30.0,118
-2.732,pre,27.2,30.0,96
-2.712,pre,27.9,30.0,121
-2.691,pre,27.4,30.0,105
-2.671,pre,27.4,30.0,101
-2.650,pre,27.8,30.0,117
-2.629,pre,27.6,30.0,111
-2.609,pre,27.6,30.0,110
-2.589,pre,27.4,30.0,106
-2.568,pre,27.4,30.0,104
-2.548,pre,27.6,30.0,112
-2.528,pre,27.8,30.0,116
-2.507,pre,27.9,30.0,121
-2.487,pre,27.2,30.0,100
-2.466,pre,27.3,30.0,103
-2.446,pre,27.5,30.0,111
-2.425,pre,27.2,30.0,99
-2.405,pre,27.7,30.0,116
-2.384,pre,27.6,30.0,111
-2.364,pre,28.0,30.0,125
-2.343,pre,27.6,30.0,109
-2.323,pre,27.5,30.0,104
-2.302,pre,27.5,30.0,106
-2.281,pre,28.0,30.0,122
-2.261,pre,27.5,30.0,108
-2.240,pre,27.1,30.0,97
-2.220,pre,27.5,30.0,109
-2.199,pre,27.7,30.0,118
-2.178,pre,27.8,30.0,117
-2.158,pre,27.6,30.0,109
-2.138,pre,28.0,30.0,121
-2.117,pre,27.9,30.0,118
-2.097,pre,27.2,30.0,93
-2.077,pre,28.0,30.0,123
-2.056,pre,27.0,30.0,94
-2.035,pre,27.4,30.0,107
-2.015,pre,27.3,30.0,103
-1.994,pre,27.5,30.0,106
-1.974,pre,27.9,30.0,122
-1.954,pre,27.5,30.0,108
-1.932,pre,27.7,30.0,110
-1.912,pre,27.7,30.0,113
-1.892,pre,27.7,30.0,110
-1.872,pre,28.0,30.0,121
-1.851,pre,27.5,30.0,108
-1.830,pre,27.2,30.0,96
-1.810,pre,27.4,30.0,106
-1.790,pre,27.3,30.0,106
-1.769,pre,27.6,30.0,113
-1.749,pre,27.6,30.0,113
-1.728,pre,27.3,30.0,100
-1.708,pre,28.2,30.0,127
-1.687,pre,27.2,30.0,95
-1.666,pre,28.1,30.0,127
-1.646,pre,27.5,30.0,111
-1.626,pre,27.6,30.0,112
-1.605,pre,27.5,30.0,109
-1.585,pre,27.9,30.0,120
-1.564,pre,27.4,30.0,105
-1.544,pre,28.1,30.0,124
-1.520,pre,27.5,30.0,107
-1.500,pre,27.5,30.0,105
-1.479,pre,28.0,30.0,121
-1.459,pre,27.0,30.0,87
-1.438,pre,27.5,30.0,108
-1.418,pre,27.4,30.0,109
-1.397,pre,27.2,30.0,102
-1.377,pre,27.6,30.0,113
-1.356,pre,27.6,30.0,115
-1.336,pre,27.6,30.0,110
-1.315,pre,27.7,30.0,113
-1.295,pre,27.3,30.0,96
-1.274,pre,27.8,30.0,116
-1.253,pre,27.5,30.0,112
-1.233,pre,27.2,30.0,100
-1.213,pre,27.9,30.0,121
-1.192,pre,27.5,30.0,109
-1.172,pre,27.6,30.0,113
-1.151,pre,27.9,30.0,116
-1.131,pre,27.7,30.0,110
-1.110,pre,27.7,30.0,110
-1.090,pre,27.6,30.0,107
-1.069,pre,28.1,30.0,125
-1.049,pre,27.5,30.0,105
-1.029,pre,27.6,30.0,109
-1.008,pre,27.4,30.0,107
-0.987,pre,27.3,30.0,105
-0.967,pre,27.3,30.0,104
-0.946,pre,27.5,30.0,109
-0.926,pre,27.9,30.0,122
-0.905,pre,28.0,30.0,122
-0.885,pre,27.1,30.0,89
-0.864,pre,28.0,30.0,123
-0.844,pre,27.5,30.0,108
-0.823,pre,27.2,30.0,98
-0.803,pre,27.7,30.0,110
-0.782,pre,27.4,30.0,107
-0.762,pre,27.4,30.0,105
-0.741,pre,27.6,30.0,115
-0.721,pre,27.6,30.0,112
-0.700,pre,27.6,30.0,114
-0.680,pre,27.9,30.0,116
-0.659,pre,27.9,30.0,119
-0.639,pre,27.7,30.0,108
-0.618,pre,27.9,30.0,118
-0.597,pre,27.1,30.0,94
-0.578,pre,27.3,30.0,103
-0.557,pre,27.4,30.0,108
-0.536,pre,27.2,30.0,104
-0.516,pre,27.6,30.0,116
-0.495,pre,27.6,30.0,113
-0.475,pre,27.9,30.0,121
-0.455,pre,27.6,30.0,110
-0.434,pre,28.1,30.0,124
-0.414,pre,27.4,30.0,104
