t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.4,30.0,104
-4.068,pre,27.4,30.0,102
-4.047,pre,27.7,30.0,113
-4.027,pre,27.4,30.0,109
-4.006,pre,27.5,30.0,108
-3.986,pre,27.9,30.0,120
-3.965,pre,27.8,30.0,119
-3.945,pre,27.8,30.0,106
-3.924,pre,28.0,30.0,119
-3.904,pre,27.6,30.0,108
-3.883,pre,27.9,30.0,117
-3.863,pre,26.9,30.0,89
-3.842,pre,27.7,30.0,117
-3.822,pre,27.4,30.0,107
-3.801,pre,27.6,30.0,112
-3.781,pre,28.0,30.0,122
-3.760,pre,27.4,30.0,103
-3.740,pre,28.3,30.0,131
-3.719,pre,28.0,30.0,121
-3.699,pre,27.8,30.0,113
-3.678,pre,27.4,30.0,101
-3.658,pre,27.7,30.0,113
-3.637,pre,27.6,30.0,112
-3.617,pre,27.3,30.0,106
-3.596,pre,27.4,30.0,107
-3.576,pre,27.6,30.0,111
-3.555,pre,28.4,30.0,135
-3.535,pre,27.5,30.0,99
-3.514,pre,29.7,30.0,165
-3.494,pre,26.8,30.0,75
-3.473,pre,27.6,30.0,107
-3.453,pre,27.5,30.0,111
-3.432,pre,27.8,30.0,116
-3.412,pre,27.7,30.0,117
-3.391,pre,27.6,30.0,113
-3.371,pre,27.8,30.0,118
-3.350,pre,27.4,30.0,102
-3.330,pre,27.6,30.0,109
-3.309,pre,27.8,30.0,118
-3.289,pre,27.4,30.0,106
-3.268,pre,27.3,30.0,102
-3.248,pre,27.9,30.0,122
-3.227,pre,27.3,30.0,103
-3.207,pre,26.8,30.0,87
-3.186,pre,27.7,30.0,121
-3.165,pre,27.3,30.0,107
-3.145,pre,27.6,30.0,113
-3.124,pre,28.3,30.0,132
-3.104,pre,27.5,30.0,100
-3.084,pre,29.0,30.0,151
-3.063,pre,27.9,30.0,112
-3.043,pre,29.2,30.0,147
-3.023,pre,27.1,30.0,88
-3.002,pre,27.9,30.0,115
-2.982,pre,27.0,30.0,95
-2.961,pre,27.1,30.0,100
-2.941,pre,27.2,30.0,104
-2.920,pre,27.2,30.0,105
-2.900,pre,27.1,30.0,98
-2.880,pre,27.2,30.0,104
-2.859,pre,27.5,30.0,113
-2.838,pre,27.5,30.0,112
-2.817,pre,27.7,30.0,116
-2.797,pre,27.3,30.0,103
-2.776,pre,27.4,30.0,103
-2.756,pre,27.6,30.0,111
-2.735,pre,27.7,30.0,112
-2.715,pre,27.4,30.0,103
-2.695,pre,27.7,30.0,112
