t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.6,30.0,105
-4.067,pre,27.8,30.0,119
-4.046,pre,27.6,30.0,110
-4.026,pre,27.8,30.0,118
-4.005,pre,27.3,30.0,104
-3.985,pre,27.1,30.0,100
-3.964,pre,27.3,30.0,104
-3.943,pre,27.6,30.0,114
-3.923,pre,27.6,30.0,107
-3.903,pre,27.9,30.0,123
-3.882,pre,27.4,30.0,102
-3.862,pre,28.1,30.0,129
-3.841,pre,26.9,30.0,87
-3.821,pre,27.8,30.0,116
-3.801,pre,27.5,30.0,110
-3.780,pre,27.4,30.0,104
-3.759,pre,27.5,30.0,109
-3.738,pre,27.5,30.0,112
-3.718,pre,27.6,30.0,114
-3.698,pre,28.0,30.0,125
-3.677,pre,27.6,30.0,110
-3.657,pre,27.8,30.0,111
-3.636,pre,27.5,30.0,107
-3.615,pre,27.3,30.0,98
-3.596,pre,27.7,30.0,111
-3.575,pre,27.5,30.0,107
-3.554,pre,27.1,30.0,99
-3.534,pre,27.6,30.0,113
-3.514,pre,27.3,30.0,106
-3.493,pre,27.7,30.0,113
-3.473,pre,27.6,30.0,113
-3.452,pre,28.0,30.0,121
-3.432,pre,27.3,30.0,103
-3.411,pre,27.8,30.0,118
-3.391,pre,27.6,30.0,111
-3.370,pre,27.3,30.0,103
-3.349,pre,27.6,30.0,111
-3.329,pre,27.6,30.0,114
-3.309,pre,27.6,30.0,111
-3.288,pre,27.5,30.0,106
-3.268,pre,27.7,30.0,113
-3.247,pre,27.6,30.0,113
-3.226,pre,27.7,30.0,114
-3.206,pre,27.4,30.0,103
-3.185,pre,28.2,30.0,131
-3.165,pre,27.5,30.0,107
-3.145,pre,27.7,30.0,110
-3.124,pre,27.6,30.0,114
-3.104,pre,27.3,30.0,100
-3.080,pre,27.4,30.0,107
-3.060,pre,27.2,30.0,100
-3.039,pre,27.7,30.0,119
-3.018,pre,27.9,30.0,124
-2.998,pre,27.2,30.0,96
-2.978,pre,27.8,30.0,115
-2.957,pre,27.7,30.0,113
-2.937,pre,27.3,30.0,103
-2.916,pre,27.5,30.0,109
-2.896,pre,27.4,30.0,105
-2.875,pre,27.8,30.0,120
-2.855,pre,27.7,30.0,115
-2.834,pre,27.9,30.0,118
-2.814,pre,27.4,30.0,101
-2.793,pre,27.9,30.0,115
-2.773,pre,27.6,30.0,111
-2.752,pre,27.2,30.0,100
-2.732,pre,27.4,30.0,108
-2.711,pre,27.6,30.0,115
-2.691,pre,27.7,30.0,114
-2.670,pre,28.0,30.0,124
-2.650,pre,27.6,30.0,111
-2.629,pre,27.8,30.0,116
-2.609,pre,27.3,30.0,97
-2.588,pre,28.1,30.0,124
-2.568,pre,27.6,30.0,110
-2.547,pre,27.5,30.0,103
-2.527,pre,27.9,30.0,120
-2.506,pre,27.2,30.0,99
-2.485,pre,27.5,30.0,108
-2.465,pre,27.3,30.0,104
-2.445,pre,27.5,30.0,107
-2.424,pre,27.6,30.0,108
-2.403,pre,27.8,30.0,115
-2.383,pre,27.6,30.0,107
-2.362,pre,27.6,30.0,111
-2.342,pre,27.7,30.0,114
-2.322,pre,27.7,30.0,114
-2.301,pre,27.8,30.0,116
-2.281,pre,27.0,30.0,93
-2.261,pre,27.4,30.0,105
-2.240,pre,27.7,30.0,116
-2.220,pre,27.2,30.0,101
-2.199,pre,27.4,30.0,106
-2.179,pre,27.9,30.0,120
-2.158,pre,27.2,30.0,94
-2.138,pre,27.9,30.0,119
-2.117,pre,27.5,30.0,107
-2.097,pre,27.6,30.0,110
-2.076,pre,27.7,30.0,115
-2.055,pre,27.0,30.0,87
-2.035,pre,27.8,30.0,118
-2.014,pre,27.0,30.0,94
-1.993,pre,27.4,30.0,109
-1.973,pre,27.7,30.0,115
-1.953,pre,27.5,30.0,108
-1.932,pre,27.9,30.0,121
-1.912,pre,27.8,30.0,116
-1.892,pre,27.5,30.0,108
-1.870,pre,27.8,30.0,118
-1.851,pre,27.4,30.0,101
-1.830,pre,27.8,30.0,116
-1.810,pre,27.6,30.0,114
-1.789,pre,27.6,30.0,112
-1.769,pre,27.7,30.0,116
-1.748,pre,27.5,30.0,108
-1.728,pre,27.5,30.0,105
-1.707,pre,28.0,30.0,124
-1.687,pre,27.2,30.0,99
-1.666,pre,27.7,30.0,111
-1.646,pre,27.8,30.0,122
-1.625,pre,27.3,30.0,102
-1.604,pre,27.4,30.0,106
-1.584,pre,28.1,30.0,129
-1.564,pre,27.3,30.0,101
-1.543,pre,28.1,30.0,125
-1.523,pre,27.3,30.0,103
-1.502,pre,27.5,30.0,106
-1.481,pre,27.8,30.0,118
-1.461,pre,27.3,30.0,103
-1.441,pre,27.4,30.0,105
-1.420,pre,27.7,30.0,114
-1.400,pre,27.8,30.0,117
-1.379,pre,27.5,30.0,107
-1.359,pre,27.8,30.0,116
-1.339,pre,27.6,30.0,110
-1.318,pre,27.5,30.0,108
-1.294,pre,27.4,30.0,108
-1.274,pre,27.5,30.0,105
-1.253,pre,27.6,30.0,110
-1.233,pre,27.2,30.0,102
-1.212,pre,27.4,30.0,107
-1.192,pre,27.6,30.0,113
-1.171,pre,27.7,30.0,114
-1.150,pre,27.7,30.0,113
-1.130,pre,27.5,30.0,102
-1.110,pre,28.3,30.0,133
