t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.2,30.0,114
-4.067,pre,27.0,30.0,105
-4.046,pre,27.0,30.0,103
-4.026,pre,27.5,30.0,120
-4.006,pre,27.6,30.0,123
-3.985,pre,27.4,30.0,112
-3.965,pre,27.6,30.0,117
-3.944,pre,27.5,30.0,115
-3.924,pre,27.1,30.0,101
-3.903,pre,27.2,30.0,108
-3.882,pre,27.2,30.0,108
-3.862,pre,27.5,30.0,114
-3.841,pre,27.1,30.0,103
-3.821,pre,27.1,30.0,103
-3.800,pre,27.0,30.0,101
-3.780,pre,27.4,30.0,115
-3.760,pre,27.2,30.0,108
-3.738,pre,27.1,30.0,107
-3.718,pre,27.0,30.0,104
-3.697,pre,27.2,30.0,109
-3.677,pre,27.2,30.0,109
-3.657,pre,27.5,30.0,115
-3.636,pre,27.1,30.0,101
-3.616,pre,27.3,30.0,109
-3.595,pre,27.2,30.0,109
-3.575,pre,27.2,30.0,109
-3.554,pre,27.1,30.0,104
-3.534,pre,27.4,30.0,111
-3.513,pre,27.7,30.0,122
-3.493,pre,27.4,30.0,115
-3.472,pre,27.3,30.0,109
-3.452,pre,27.4,30.0,114
-3.431,pre,27.4,30.0,114
-3.411,pre,27.5,30.0,116
-3.390,pre,27.3,30.0,111
-3.370,pre,27.5,30.0,115
-3.350,pre,27.3,30.0,110
-3.330,pre,27.6,30.0,119
-3.309,pre,27.0,30.0,101
-3.288,pre,27.4,30.0,110
-3.268,pre,27.1,30.0,105
-3.248,pre,27.3,30.0,114
-3.227,pre,27.2,30.0,110
-3.206,pre,27.2,30.0,109
-3.186,pre,27.1,30.0,102
-3.166,pre,28.0,30.0,132
-3.145,pre,27.3,30.0,107
-3.125,pre,27.2,30.0,103
-3.105,pre,27.4,30.0,115
-3.084,pre,27.1,30.0,101
-3.064,pre,26.8,30.0,98
-3.039,pre,27.0,30.0,105
-3.019,pre,27.1,30.0,108
-2.998,pre,27.1,30.0,109
-2.978,pre,27.3,30.0,114
-2.957,pre,27.3,30.0,111
-2.937,pre,27.5,30.0,114
-2.915,pre,27.5,30.0,118
-2.896,pre,27.1,30.0,102
-2.875,pre,27.1,30.0,101
-2.855,pre,27.1,30.0,104
-2.834,pre,26.9,30.0,94
-2.814,pre,27.2,30.0,112
-2.794,pre,27.0,30.0,106
-2.773,pre,27.2,30.0,110
-2.752,pre,27.0,30.0,103
-2.732,pre,27.1,30.0,107
-2.711,pre,27.1,30.0,108
-2.690,pre,27.1,30.0,103
-2.670,pre,27.4,30.0,114
-2.650,pre,27.5,30.0,118
-2.629,pre,27.3,30.0,108
-2.609,pre,27.3,30.0,111
-2.588,pre,27.6,30.0,122
-2.568,pre,27.3,30.0,107
-2.547,pre,27.2,30.0,105
-2.527,pre,27.4,30.0,115
-2.506,pre,27.2,30.0,106
-2.485,pre,27.6,30.0,123
-2.465,pre,27.3,30.0,109
-2.445,pre,27.2,30.0,102
-2.424,pre,27.4,30.0,114
-2.403,pre,27.3,30.0,113
-2.383,pre,27.0,30.0,95
-2.363,pre,27.2,30.0,110
-2.343,pre,27.0,30.0,104
-2.322,pre,26.8,30.0,95
-2.301,pre,27.1,30.0,110
-2.281,pre,27.0,30.0,108
-2.260,pre,27.3,30.0,111
-2.240,pre,27.0,30.0,100
-2.219,pre,27.2,30.0,111
-2.198,pre,27.1,30.0,105
-2.179,pre,27.2,30.0,109
-2.158,pre,26.9,30.0,99
-2.137,pre,27.1,30.0,106
-2.117,pre,27.1,30.0,103
-2.097,pre,27.1,30.0,107
-2.076,pre,27.4,30.0,118
-2.056,pre,27.4,30.0,113
-2.035,pre,27.3,30.0,112
-2.015,pre,27.2,30.0,105
-1.994,pre,27.3,30.0,106
-1.973,pre,27.2,30.0,108
-1.953,pre,27.3,30.0,113
-1.933,pre,27.4,30.0,112
-1.912,pre,27.3,30.0,108
-1.892,pre,27.4,30.0,114
-1.871,pre,27.2,30.0,104
-1.851,pre,27.9,30.0,130
-1.830,pre,26.7,30.0,88
-1.809,pre,27.3,30.0,110
-1.789,pre,27.2,30.0,108
-1.769,pre,27.1,30.0,108
-1.748,pre,27.3,30.0,112
-1.727,pre,27.7,30.0,120
-1.707,pre,27.1,30.0,98
-1.687,pre,27.4,30.0,113
-1.666,pre,27.0,30.0,102
-1.646,pre,27.1,30.0,105
-1.625,pre,26.8,30.0,99
-1.604,pre,27.3,30.0,115
-1.584,pre,26.9,30.0,99
-1.564,pre,27.2,30.0,110
-1.543,pre,27.3,30.0,110
-1.523,pre,27.1,30.0,105
-1.502,pre,27.4,30.0,116
-1.481,pre,27.3,30.0,112
-1.462,pre,27.2,30.0,104
-1.441,pre,27.0,30.0,100
-1.420,pre,27.3,30.0,111
-1.400,pre,26.7,30.0,89
-1.380,pre,27.0,30.0,105
-1.359,pre,26.9,30.0,104
-1.338,pre,27.5,30.0,124
-1.318,pre,27.2,30.0,106
-1.298,pre,27.4,30.0,115
-1.277,pre,27.3,30.0,106
-1.256,pre,27.1,30.0,104
-1.236,pre,27.0,30.0,101
-1.216,pre,27.3,30.0,114
-1.192,pre,27.2,30.0,112
-1.172,pre,27.3,30.0,111
-1.151,pre,27.6,30.0,121
-1.131,pre,27.6,30.0,117
-1.110,pre,27.1,30.0,100
-1.089,pre,27.3,30.0,110
-1.069,pre,27.2,30.0,105
-1.049,pre,27.3,30.0,116
-1.028,pre,27.2,30.0,112
-1.008,pre,27.3,30.0,110
-0.987,pre,27.2,30.0,108
-0.966,pre,27.0,30.0,101
-0.946,pre,27.3,30.0,111
-0.926,pre,27.2,30.0,111
-0.905,pre,27.0,30.0,102
-0.885,pre,27.1,30.0,108
-0.864,pre,27.1,30.0,106
-0.844,pre,27.5,30.0,115
-0.823,pre,27.3,30.0,113
-0.803,pre,27.5,30.0,112
-0.782,pre,26.8,30.0,94
-0.762,pre,27.0,30.0,102
