t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,28.1,30.0,121
-4.071,pre,27.4,30.0,106
-4.051,pre,27.5,30.0,106
-4.030,pre,27.8,30.0,117
-4.010,pre,27.9,30.0,122
-3.989,pre,27.4,30.0,103
-3.969,pre,27.6,30.0,102
-3.948,pre,27.8,30.0,119
-3.928,pre,27.2,30.0,99
-3.907,pre,27.8,30.0,118
-3.887,pre,27.5,30.0,110
-3.866,pre,27.5,30.0,102
-3.846,pre,28.0,30.0,122
-3.825,pre,27.5,30.0,103
-3.805,pre,28.2,30.0,124
-3.785,pre,27.7,30.0,110
-3.764,pre,27.6,30.0,108
-3.743,pre,27.8,30.0,115
-3.723,pre,27.6,30.0,108
-3.703,pre,28.1,30.0,127
-3.682,pre,27.5,30.0,110
-3.662,pre,27.2,30.0,96
-3.641,pre,27.8,30.0,120
-3.617,pre,27.7,30.0,113
-3.596,pre,27.9,30.0,114
-3.576,pre,27.5,30.0,102
-3.556,pre,27.8,30.0,114
-3.535,pre,27.8,30.0,116
-3.515,pre,27.6,30.0,108
-3.494,pre,27.8,30.0,113
-3.474,pre,27.9,30.0,121
-3.453,pre,27.6,30.0,108
-3.433,pre,28.0,30.0,119
-3.412,pre,27.9,30.0,119
-3.392,pre,28.1,30.0,123
-3.371,pre,27.8,30.0,114
-3.351,pre,28.3,30.0,130
-3.330,pre,27.6,30.0,110
-3.310,pre,27.7,30.0,110
-3.289,pre,28.0,30.0,123
-3.269,pre,27.5,30.0,106
-3.248,pre,28.2,30.0,129
-3.228,pre,27.9,30.0,119
-3.207,pre,27.4,30.0,98
-3.187,pre,28.3,30.0,132
-3.166,pre,27.3,30.0,101
-3.146,pre,28.0,30.0,122
-3.125,pre,27.6,30.0,112
-3.104,pre,27.7,30.0,110
-3.084,pre,28.3,30.0,132
-3.064,pre,27.7,30.0,110
-3.043,pre,28.1,30.0,120
-3.022,pre,28.1,30.0,121
-3.002,pre,27.6,30.0,108
-2.982,pre,27.8,30.0,113
-2.961,pre,27.8,30.0,118
-2.940,pre,27.4,30.0,104
-2.920,pre,27.7,30.0,109
-2.899,pre,28.0,30.0,123
-2.879,pre,27.5,30.0,108
-2.858,pre,27.7,30.0,111
-2.837,pre,27.4,30.0,105
-2.818,pre,27.7,30.0,115
-2.797,pre,27.2,30.0,96
-2.777,pre,27.9,30.0,115
-2.756,pre,27.8,30.0,118
