t_s,phase,gap_mm,ref_mm,pwm
-4.087,pre,27.1,30.0,104
-4.066,pre,27.1,30.0,105
-4.046,pre,26.8,30.0,95
-4.025,pre,27.4,30.0,110
-4.005,pre,27.4,30.0,118
-3.984,pre,26.9,30.0,98
-3.961,pre,27.3,30.0,114
-3.940,pre,27.0,30.0,101
-3.920,pre,27.0,30.0,102
-3.899,pre,27.2,30.0,111
-3.879,pre,27.6,30.0,122
-3.858,pre,27.1,30.0,101
-3.838,pre,27.4,30.0,113
-3.817,pre,27.2,30.0,103
-3.797,pre,27.0,30.0,97
-3.776,pre,27.1,30.0,106
-3.756,pre,27.3,30.0,114
-3.735,pre,27.2,30.0,109
-3.715,pre,26.9,30.0,96
-3.694,pre,27.5,30.0,120
-3.674,pre,26.6,30.0,85
-3.653,pre,27.5,30.0,120
-3.633,pre,26.6,30.0,90
-3.612,pre,27.1,30.0,105
-3.592,pre,27.1,30.0,112
-3.571,pre,27.2,30.0,110
-3.551,pre,26.9,30.0,92
-3.530,pre,27.6,30.0,121
-3.510,pre,27.0,30.0,103
-3.489,pre,26.9,30.0,101
-3.469,pre,26.9,30.0,97
-3.448,pre,27.5,30.0,121
-3.428,pre,27.3,30.0,107
-3.407,pre,27.7,30.0,118
-3.387,pre,26.8,30.0,87
-3.367,pre,27.4,30.0,114
-3.346,pre,26.9,30.0,98
-3.326,pre,26.8,30.0,94
-3.305,pre,26.8,30.0,98
-3.285,pre,26.9,30.0,101
-3.264,pre,26.9,30.0,101
-3.244,pre,27.1,30.0,108
-3.223,pre,27.3,30.0,113
-3.203,pre,27.1,30.0,103
-3.182,pre,27.2,30.0,103
-3.161,pre,27.3,30.0,111
-3.141,pre,26.8,30.0,90
-3.121,pre,27.6,30.0,122
-3.101,pre,26.9,30.0,96
-3.080,pre,27.4,30.0,111
-3.060,pre,26.7,30.0,90
-3.039,pre,27.1,30.0,104
-3.018,pre,27.1,30.0,107
-2.998,pre,27.1,30.0,107
-2.977,pre,27.0,30.0,100
-2.957,pre,27.1,30.0,106
-2.936,pre,27.1,30.0,107
-2.916,pre,27.2,30.0,110
-2.895,pre,27.0,30.0,99
-2.875,pre,27.1,30.0,101
-2.854,pre,27.8,30.0,129
-2.834,pre,26.6,30.0,87
-2.813,pre,27.2,30.0,109
-2.793,pre,26.7,30.0,93
-2.772,pre,27.0,30.0,100
-2.752,pre,27.1,30.0,108
-2.731,pre,27.1,30.0,105
-2.711,pre,27.5,30.0,118
-2.690,pre,27.4,30.0,114
-2.670,pre,27.1,30.0,98
-2.650,pre,28.3,30.0,144
-2.629,pre,26.9,30.0,91
-2.609,pre,27.4,30.0,112
-2.588,pre,27.0,30.0,105
-2.568,pre,27.0,30.0,103
-2.547,pre,27.0,30.0,102
