t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.6,30.0,114
-4.071,pre,27.4,30.0,102
-4.050,pre,27.7,30.0,116
-4.029,pre,27.2,30.0,97
-4.009,pre,27.9,30.0,121
-3.989,pre,27.5,30.0,108
-3.968,pre,27.2,30.0,99
-3.948,pre,27.8,30.0,119
-3.927,pre,27.6,30.0,114
-3.907,pre,27.4,30.0,107
-3.887,pre,27.3,30.0,102
-3.866,pre,27.7,30.0,119
-3.845,pre,27.3,30.0,102
-3.825,pre,28.0,30.0,125
-3.804,pre,27.3,30.0,103
-3.784,pre,27.6,30.0,112
-3.761,pre,27.6,30.0,112
-3.740,pre,27.5,30.0,104
-3.720,pre,28.1,30.0,126
-3.699,pre,27.6,30.0,111
-3.679,pre,27.6,30.0,111
-3.658,pre,28.0,30.0,122
-3.638,pre,27.3,30.0,97
-3.617,pre,27.8,30.0,115
-3.597,pre,27.2,30.0,101
-3.576,pre,27.6,30.0,112
-3.556,pre,27.5,30.0,111
-3.535,pre,27.6,30.0,114
-3.514,pre,27.7,30.0,116
-3.494,pre,28.0,30.0,122
-3.474,pre,27.0,30.0,84
-3.453,pre,27.5,30.0,113
-3.433,pre,27.2,30.0,101
-3.412,pre,27.6,30.0,112
-3.392,pre,27.5,30.0,113
-3.371,pre,27.5,30.0,107
-3.350,pre,28.3,30.0,132
-3.330,pre,27.6,30.0,110
-3.309,pre,27.6,30.0,108
-3.289,pre,27.8,30.0,116
-3.268,pre,27.7,30.0,114
-3.248,pre,27.5,30.0,109
-3.227,pre,27.5,30.0,105
-3.207,pre,27.8,30.0,119
-3.186,pre,27.5,30.0,109
-3.166,pre,27.3,30.0,104
-3.145,pre,27.2,30.0,95
-3.125,pre,27.8,30.0,118
-3.104,pre,27.3,30.0,105
-3.084,pre,27.7,30.0,115
-3.064,pre,27.6,30.0,113
-3.043,pre,27.3,30.0,102
-3.022,pre,27.8,30.0,118
-3.002,pre,27.4,30.0,105
-2.981,pre,27.4,30.0,106
-2.960,pre,27.4,30.0,107
-2.940,pre,27.8,30.0,120
-2.920,pre,27.3,30.0,104
-2.898,pre,27.4,30.0,108
-2.879,pre,27.8,30.0,118
-2.858,pre,27.6,30.0,109
-2.838,pre,27.8,30.0,115
-2.818,pre,27.4,30.0,105
-2.797,pre,27.2,30.0,93
-2.777,pre,27.6,30.0,114
-2.756,pre,27.3,30.0,103
-2.736,pre,27.5,30.0,109
-2.715,pre,27.7,30.0,115
-2.694,pre,27.6,30.0,113
-2.674,pre,27.4,30.0,105
-2.654,pre,27.8,30.0,120
-2.633,pre,27.6,30.0,109
-2.613,pre,27.5,30.0,106
-2.592,pre,27.5,30.0,107
-2.572,pre,28.0,30.0,125
-2.551,pre,27.0,30.0,92
-2.531,pre,27.7,30.0,113
-2.510,pre,27.0,30.0,94
-2.490,pre,27.3,30.0,107
-2.469,pre,27.4,30.0,108
-2.449,pre,27.8,30.0,116
-2.429,pre,27.8,30.0,117
-2.408,pre,27.6,30.0,105
-2.387,pre,27.6,30.0,105
-2.367,pre,27.5,30.0,106
-2.347,pre,27.3,30.0,102
-2.323,pre,27.4,30.0,108
-2.302,pre,27.3,30.0,105
-2.282,pre,27.4,30.0,105
-2.261,pre,28.1,30.0,128
-2.241,pre,27.3,30.0,101
-2.220,pre,27.8,30.0,116
-2.200,pre,27.6,30.0,108
-2.179,pre,27.6,30.0,109
-2.159,pre,27.8,30.0,120
-2.138,pre,27.3,30.0,102
-2.118,pre,27.8,30.0,115
-2.097,pre,27.7,30.0,114
-2.077,pre,27.2,30.0,99
-2.056,pre,27.2,30.0,101
-2.035,pre,27.4,30.0,106
-2.015,pre,27.2,30.0,102
-1.994,pre,27.6,30.0,115
-1.974,pre,27.4,30.0,107
-1.954,pre,27.7,30.0,114
-1.933,pre,27.6,30.0,112
-1.912,pre,27.8,30.0,117
-1.892,pre,27.7,30.0,110
-1.872,pre,28.0,30.0,122
-1.851,pre,27.2,30.0,96
-1.831,pre,27.5,30.0,107
-1.810,pre,27.2,30.0,101
-1.790,pre,27.5,30.0,110
-1.769,pre,27.5,30.0,110
-1.749,pre,27.4,30.0,107
-1.728,pre,27.7,30.0,115
-1.708,pre,27.8,30.0,117
-1.687,pre,27.5,30.0,105
-1.667,pre,27.7,30.0,111
-1.646,pre,27.4,30.0,103
