t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.1,30.0,112
-4.068,pre,27.1,30.0,110
-4.047,pre,27.3,30.0,116
-4.027,pre,26.8,30.0,95
-4.006,pre,27.1,30.0,106
-3.986,pre,27.1,30.0,111
-3.965,pre,26.8,30.0,100
-3.945,pre,27.1,30.0,109
-3.924,pre,26.8,30.0,101
-3.904,pre,26.8,30.0,100
-3.883,pre,26.8,30.0,102
-3.863,pre,26.9,30.0,106
-3.842,pre,26.6,30.0,96
-3.822,pre,26.5,30.0,93
-3.801,pre,26.6,30.0,99
-3.780,pre,26.7,30.0,104
-3.759,pre,26.6,30.0,101
-3.739,pre,26.5,30.0,97
-3.719,pre,26.5,30.0,97
-3.698,pre,26.8,30.0,107
-3.678,pre,26.5,30.0,93
-3.657,pre,26.9,30.0,108
-3.636,pre,26.9,30.0,107
-3.616,pre,26.7,30.0,97
-3.596,pre,26.7,30.0,100
-3.575,pre,26.9,30.0,107
-3.555,pre,26.9,30.0,105
-3.534,pre,26.8,30.0,100
-3.514,pre,26.9,30.0,104
-3.493,pre,26.8,30.0,100
-3.473,pre,27.1,30.0,111
-3.452,pre,27.1,30.0,110
-3.432,pre,27.0,30.0,105
-3.411,pre,27.0,30.0,106
-3.391,pre,26.9,30.0,103
-3.370,pre,26.8,30.0,99
-3.350,pre,26.9,30.0,108
-3.330,pre,27.1,30.0,111
-3.309,pre,26.9,30.0,104
-3.289,pre,27.4,30.0,121
-3.268,pre,26.7,30.0,91
-3.247,pre,26.8,30.0,103
-3.227,pre,26.8,30.0,103
-3.207,pre,26.7,30.0,104
-3.186,pre,26.6,30.0,96
-3.165,pre,26.6,30.0,99
-3.145,pre,26.8,30.0,105
-3.125,pre,26.8,30.0,98
-3.104,pre,26.9,30.0,107
-3.084,pre,26.8,30.0,101
-3.064,pre,26.7,30.0,98
-3.043,pre,26.7,30.0,101
-3.022,pre,26.8,30.0,105
-3.001,pre,26.7,30.0,102
-2.981,pre,26.5,30.0,96
-2.961,pre,26.5,30.0,98
-2.940,pre,26.6,30.0,100
-2.917,pre,26.8,30.0,105
-2.896,pre,26.8,30.0,103
-2.876,pre,26.8,30.0,104
-2.855,pre,27.2,30.0,118
-2.834,pre,26.6,30.0,94
-2.814,pre,27.0,30.0,107
-2.793,pre,26.8,30.0,103
-2.773,pre,26.8,30.0,105
-2.753,pre,26.8,30.0,104
-2.732,pre,27.2,30.0,116
-2.712,pre,26.6,30.0,89
-2.691,pre,27.2,30.0,112
-2.671,pre,26.6,30.0,93
-2.651,pre,26.8,30.0,101
-2.630,pre,27.0,30.0,113
-2.609,pre,26.8,30.0,102
-2.589,pre,26.9,30.0,105
-2.568,pre,26.8,30.0,103
-2.548,pre,26.6,30.0,95
-2.527,pre,27.0,30.0,113
-2.507,pre,26.8,30.0,104
-2.486,pre,26.7,30.0,102
-2.466,pre,27.0,30.0,110
-2.445,pre,26.8,30.0,99
-2.425,pre,26.7,30.0,100
-2.404,pre,26.9,30.0,106
-2.383,pre,26.5,30.0,93
-2.363,pre,26.5,30.0,98
-2.343,pre,26.7,30.0,103
-2.322,pre,26.5,30.0,95
-2.302,pre,26.7,30.0,101
-2.282,pre,26.5,30.0,96
-2.261,pre,27.0,30.0,112
-2.240,pre,26.8,30.0,104
-2.220,pre,26.7,30.0,98
-2.199,pre,26.7,30.0,101
-2.179,pre,26.9,30.0,106
-2.158,pre,26.9,30.0,107
-2.137,pre,26.9,30.0,106
-2.117,pre,26.9,30.0,104
-2.097,pre,26.7,30.0,96
-2.077,pre,26.8,30.0,107
-2.056,pre,26.8,30.0,101
-2.035,pre,26.6,30.0,96
-2.015,pre,26.8,30.0,106
-1.995,pre,26.6,30.0,96
-1.974,pre,26.9,30.0,107
-1.954,pre,26.9,30.0,106
-1.934,pre,26.6,30.0,93
-1.913,pre,26.8,30.0,103
-1.893,pre,26.6,30.0,95
-1.872,pre,26.6,30.0,99
-1.852,pre,27.0,30.0,113
-1.831,pre,26.7,30.0,99
-1.810,pre,26.9,30.0,105
-1.790,pre,26.7,30.0,100
-1.769,pre,26.8,30.0,102
-1.749,pre,26.7,30.0,100
-1.728,pre,26.7,30.0,101
-1.708,pre,26.8,30.0,105
-1.687,pre,27.1,30.0,111
-1.667,pre,26.6,30.0,96
-1.646,pre,26.9,30.0,106
-1.626,pre,26.6,30.0,100
-1.604,pre,26.8,30.0,101
-1.584,pre,26.7,30.0,101
-1.564,pre,26.9,30.0,108
-1.543,pre,26.5,30.0,92
-1.523,pre,26.8,30.0,106
-1.502,pre,26.5,30.0,93
-1.482,pre,26.8,30.0,106
-1.462,pre,26.8,30.0,104
-1.441,pre,26.7,30.0,102
-1.420,pre,26.6,30.0,101
-1.400,pre,26.7,30.0,101
-1.380,pre,26.7,30.0,103
-1.359,pre,26.6,30.0,96
