t_s,phase,gap_mm,ref_mm,pwm
-4.091,pre,27.5,30.0,109
-4.071,pre,27.4,30.0,105
-4.050,pre,28.0,30.0,123
-4.029,pre,27.9,30.0,118
-4.009,pre,28.2,30.0,122
-3.989,pre,28.2,30.0,120
-3.968,pre,28.2,30.0,121
-3.947,pre,27.7,30.0,107
-3.927,pre,27.8,30.0,114
-3.907,pre,27.6,30.0,109
-3.886,pre,27.5,30.0,108
-3.866,pre,27.3,30.0,106
-3.845,pre,27.4,30.0,107
-3.825,pre,28.0,30.0,122
-3.804,pre,27.8,30.0,115
-3.784,pre,28.0,30.0,118
-3.764,pre,28.3,30.0,126
-3.743,pre,28.1,30.0,121
-3.722,pre,27.6,30.0,106
-3.702,pre,27.8,30.0,113
-3.681,pre,28.2,30.0,124
-3.661,pre,27.8,30.0,112
-3.641,pre,27.9,30.0,115
-3.620,pre,27.8,30.0,116
-3.600,pre,27.9,30.0,116
-3.579,pre,27.8,30.0,115
-3.555,pre,27.7,30.0,112
-3.535,pre,27.8,30.0,114
-3.514,pre,27.7,30.0,112
-3.494,pre,27.4,30.0,102
-3.473,pre,27.6,30.0,108
-3.452,pre,27.4,30.0,107
-3.432,pre,27.3,30.0,104
-3.411,pre,27.8,30.0,118
-3.391,pre,27.9,30.0,119
-3.371,pre,27.7,30.0,111
-3.350,pre,28.3,30.0,127
-3.330,pre,27.5,30.0,100
-3.309,pre,28.3,30.0,127
-3.288,pre,27.6,30.0,109
-3.268,pre,28.1,30.0,121
-3.247,pre,27.9,30.0,116
-3.227,pre,28.0,30.0,119
-3.207,pre,27.9,30.0,114
-3.186,pre,27.5,30.0,104
-3.165,pre,28.0,30.0,118
-3.145,pre,27.8,30.0,114
-3.125,pre,27.8,30.0,115
-3.104,pre,27.8,30.0,114
-3.084,pre,27.7,30.0,110
-3.063,pre,27.5,30.0,107
-3.042,pre,27.5,30.0,108
-3.022,pre,27.6,30.0,111
-3.001,pre,27.8,30.0,117
-2.981,pre,27.6,30.0,109
-2.961,pre,28.4,30.0,130
-2.940,pre,27.9,30.0,114
-2.920,pre,27.8,30.0,111
-2.899,pre,27.7,30.0,110
-2.878,pre,27.8,30.0,113
-2.858,pre,27.6,30.0,110
-2.837,pre,27.7,30.0,113
-2.817,pre,27.9,30.0,119
-2.797,pre,27.7,30.0,110
-2.776,pre,27.9,30.0,117
-2.756,pre,27.8,30.0,114
-2.736,pre,27.5,30.0,105
-2.714,pre,28.1,30.0,125
-2.694,pre,27.6,30.0,109
-2.674,pre,27.8,30.0,116
-2.653,pre,27.8,30.0,114
-2.633,pre,27.6,30.0,108
-2.613,pre,27.5,30.0,108
-2.592,pre,27.6,30.0,109
-2.572,pre,27.7,30.0,111
-2.551,pre,27.7,30.0,113
-2.531,pre,27.4,30.0,102
-2.510,pre,27.8,30.0,115
-2.490,pre,27.8,30.0,114
-2.470,pre,27.6,30.0,108
-2.449,pre,27.8,30.0,114
-2.428,pre,27.5,30.0,108
-2.408,pre,27.6,30.0,111
-2.387,pre,27.8,30.0,114
-2.367,pre,27.7,30.0,111
-2.346,pre,27.9,30.0,115
-2.326,pre,27.7,30.0,113
-2.305,pre,28.2,30.0,125
-2.285,pre,27.8,30.0,112
-2.264,pre,27.9,30.0,114
-2.244,pre,28.0,30.0,117
-2.223,pre,27.7,30.0,112
-2.203,pre,27.6,30.0,109
-2.179,pre,27.3,30.0,104
-2.159,pre,27.4,30.0,108
-2.138,pre,27.3,30.0,103
-2.118,pre,27.9,30.0,120
-2.097,pre,27.9,30.0,120
-2.076,pre,27.7,30.0,109
-2.056,pre,28.0,30.0,119
-2.035,pre,28.0,30.0,117
-2.015,pre,28.2,30.0,120
-1.994,pre,27.8,30.0,109
-1.974,pre,27.6,30.0,110
-1.953,pre,27.4,30.0,104
-1.933,pre,27.4,30.0,108
-1.912,pre,27.5,30.0,111
-1.892,pre,27.4,30.0,106
-1.872,pre,27.8,30.0,117
-1.851,pre,27.9,30.0,116
-1.831,pre,28.1,30.0,123
-1.810,pre,27.6,30.0,105
