t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.8,30.0,118
-4.068,pre,27.3,30.0,105
-4.047,pre,27.8,30.0,118
-4.026,pre,27.5,30.0,109
-4.006,pre,27.8,30.0,121
-3.986,pre,27.2,30.0,104
-3.965,pre,27.4,30.0,107
-3.945,pre,27.5,30.0,114
-3.924,pre,27.4,30.0,108
-3.904,pre,27.5,30.0,114
-3.883,pre,27.6,30.0,115
-3.863,pre,27.8,30.0,123
-3.842,pre,27.0,30.0,89
-3.822,pre,27.7,30.0,117
-3.801,pre,27.6,30.0,119
-3.781,pre,27.2,30.0,105
-3.760,pre,27.7,30.0,119
-3.740,pre,27.4,30.0,107
-3.719,pre,28.0,30.0,124
-3.698,pre,27.4,30.0,109
-3.678,pre,27.4,30.0,107
-3.658,pre,27.3,30.0,106
-3.637,pre,27.3,30.0,105
-3.617,pre,27.6,30.0,118
-3.596,pre,27.5,30.0,112
-3.575,pre,27.5,30.0,111
-3.555,pre,27.4,30.0,109
-3.535,pre,27.3,30.0,103
-3.514,pre,27.6,30.0,115
-3.494,pre,27.4,30.0,109
-3.473,pre,27.2,30.0,104
-3.453,pre,27.6,30.0,114
-3.433,pre,27.1,30.0,97
-3.412,pre,27.5,30.0,108
-3.392,pre,27.4,30.0,110
-3.371,pre,27.5,30.0,110
-3.351,pre,27.4,30.0,108
-3.330,pre,27.5,30.0,111
-3.310,pre,27.6,30.0,113
-3.289,pre,28.0,30.0,128
-3.269,pre,27.2,30.0,100
-3.248,pre,28.0,30.0,125
-3.227,pre,27.0,30.0,95
-3.206,pre,27.2,30.0,99
-3.186,pre,27.2,30.0,104
-3.166,pre,27.0,30.0,101
-3.145,pre,27.2,30.0,103
-3.125,pre,27.8,30.0,124
-3.104,pre,26.9,30.0,92
-3.084,pre,27.3,30.0,106
-3.063,pre,27.5,30.0,111
-3.042,pre,27.7,30.0,116
-3.022,pre,27.4,30.0,107
-3.002,pre,27.8,30.0,116
-2.981,pre,27.6,30.0,112
-2.961,pre,27.8,30.0,120
-2.941,pre,27.0,30.0,92
-2.920,pre,28.1,30.0,128
-2.899,pre,27.0,30.0,96
-2.879,pre,27.3,30.0,104
-2.858,pre,27.6,30.0,115
-2.838,pre,27.3,30.0,106
-2.818,pre,27.1,30.0,101
-2.797,pre,27.5,30.0,112
-2.777,pre,27.3,30.0,106
-2.756,pre,27.4,30.0,108
-2.736,pre,27.7,30.0,120
-2.715,pre,27.5,30.0,108
-2.694,pre,27.7,30.0,120
-2.674,pre,27.8,30.0,121
-2.654,pre,27.6,30.0,114
-2.633,pre,27.3,30.0,104
-2.612,pre,27.6,30.0,116
-2.592,pre,26.9,30.0,88
-2.572,pre,27.6,30.0,119
-2.551,pre,27.4,30.0,113
-2.530,pre,27.2,30.0,102
-2.510,pre,27.2,30.0,101
-2.490,pre,27.4,30.0,113
-2.469,pre,27.4,30.0,112
-2.449,pre,27.3,30.0,107
-2.428,pre,27.4,30.0,106
-2.407,pre,27.8,30.0,123
-2.387,pre,27.3,30.0,101
-2.367,pre,26.8,30.0,87
-2.346,pre,27.5,30.0,116
-2.325,pre,27.3,30.0,108
-2.306,pre,27.2,30.0,102
-2.285,pre,27.4,30.0,112
-2.264,pre,27.3,30.0,110
-2.241,pre,27.5,30.0,110
-2.221,pre,27.6,30.0,112
-2.200,pre,27.5,30.0,108
-2.179,pre,27.7,30.0,115
-2.159,pre,27.3,30.0,104
-2.138,pre,27.2,30.0,100
-2.118,pre,27.4,30.0,111
-2.097,pre,27.3,30.0,106
-2.076,pre,27.8,30.0,124
-2.056,pre,27.5,30.0,109
-2.035,pre,27.4,30.0,104
-2.015,pre,27.5,30.0,112
-1.994,pre,27.3,30.0,106
-1.974,pre,27.3,30.0,106
-1.954,pre,27.3,30.0,107
-1.933,pre,27.4,30.0,110
-1.912,pre,27.5,30.0,114
-1.892,pre,27.6,30.0,114
-1.872,pre,27.5,30.0,111
-1.851,pre,27.7,30.0,117
-1.831,pre,27.1,30.0,97
-1.810,pre,27.4,30.0,105
-1.790,pre,27.1,30.0,103
