t_s,phase,gap_mm,ref_mm,pwm
-4.091,pre,27.3,30.0,104
-4.071,pre,27.8,30.0,115
-4.050,pre,27.7,30.0,111
-4.030,pre,27.6,30.0,110
-4.009,pre,28.3,30.0,124
-3.989,pre,28.2,30.0,122
-3.967,pre,27.6,30.0,108
-3.947,pre,27.8,30.0,116
-3.927,pre,27.2,30.0,102
-3.907,pre,27.4,30.0,108
-3.886,pre,27.3,30.0,104
-3.866,pre,27.2,30.0,103
-3.845,pre,27.5,30.0,111
-3.825,pre,27.5,30.0,110
-3.804,pre,27.8,30.0,115
-3.781,pre,28.1,30.0,121
-3.760,pre,27.7,30.0,109
-3.740,pre,27.8,30.0,113
-3.719,pre,27.8,30.0,114
-3.699,pre,27.5,30.0,108
-3.678,pre,27.6,30.0,111
-3.657,pre,27.8,30.0,114
-3.637,pre,27.6,30.0,110
-3.616,pre,27.6,30.0,109
-3.596,pre,27.9,30.0,117
-3.576,pre,27.7,30.0,112
-3.555,pre,27.5,30.0,108
-3.535,pre,27.5,30.0,109
-3.515,pre,27.6,30.0,111
-3.494,pre,27.4,30.0,105
-3.474,pre,27.8,30.0,116
-3.453,pre,27.6,30.0,111
-3.432,pre,27.6,30.0,111
-3.412,pre,27.9,30.0,117
-3.391,pre,27.6,30.0,108
-3.371,pre,27.5,30.0,108
-3.350,pre,27.5,30.0,109
-3.330,pre,27.5,30.0,109
-3.309,pre,27.6,30.0,110
-3.288,pre,27.6,30.0,112
-3.268,pre,28.0,30.0,120
-3.248,pre,27.8,30.0,115
-3.227,pre,28.1,30.0,119
-3.207,pre,27.7,30.0,111
-3.186,pre,28.0,30.0,117
-3.166,pre,27.6,30.0,109
-3.145,pre,27.6,30.0,110
-3.125,pre,27.6,30.0,109
-3.104,pre,27.4,30.0,107
-3.084,pre,27.2,30.0,103
-3.063,pre,27.3,30.0,107
-3.042,pre,27.4,30.0,108
-3.022,pre,27.1,30.0,100
-3.002,pre,27.3,30.0,105
-2.981,pre,27.5,30.0,111
-2.960,pre,27.5,30.0,110
-2.940,pre,27.9,30.0,116
-2.920,pre,28.3,30.0,126
-2.899,pre,27.8,30.0,110
-2.879,pre,28.2,30.0,119
-2.858,pre,27.8,30.0,112
-2.838,pre,27.4,30.0,105
-2.816,pre,27.0,30.0,97
-2.797,pre,26.8,30.0,95
-2.775,pre,26.8,30.0,98
-2.756,pre,27.1,30.0,104
-2.735,pre,27.6,30.0,114
-2.715,pre,28.1,30.0,124
-2.694,pre,27.8,30.0,112
-2.674,pre,28.2,30.0,122
-2.653,pre,28.1,30.0,116
-2.633,pre,28.2,30.0,122
-2.612,pre,27.3,30.0,102
-2.592,pre,27.3,30.0,104
-2.571,pre,27.1,30.0,100
-2.551,pre,26.9,30.0,97
-2.530,pre,27.1,30.0,103
-2.509,pre,27.6,30.0,114
-2.490,pre,27.4,30.0,108
-2.469,pre,28.0,30.0,119
-2.448,pre,28.2,30.0,123
-2.425,pre,28.4,30.0,126
-2.404,pre,27.9,30.0,113
-2.384,pre,27.9,30.0,115
-2.363,pre,27.3,30.0,101
-2.342,pre,27.1,30.0,101
-2.322,pre,27.0,30.0,100
-2.302,pre,27.1,30.0,103
-2.281,pre,27.2,30.0,105
-2.261,pre,27.6,30.0,114
-2.240,pre,28.2,30.0,124
-2.220,pre,28.3,30.0,123
-2.199,pre,28.1,30.0,119
-2.179,pre,27.8,30.0,110
-2.158,pre,27.8,30.0,112
-2.138,pre,27.4,30.0,105
-2.117,pre,27.2,30.0,102
-2.097,pre,26.9,30.0,99
-2.076,pre,27.0,30.0,100
-2.056,pre,27.1,30.0,102
-2.036,pre,27.4,30.0,108
-2.015,pre,27.4,30.0,108
-1.994,pre,27.9,30.0,118
-1.974,pre,27.8,30.0,114
-1.953,pre,28.0,30.0,116
-1.933,pre,27.8,30.0,114
-1.912,pre,27.6,30.0,109
-1.892,pre,27.4,30.0,106
-1.871,pre,27.5,30.0,111
-1.851,pre,27.6,30.0,111
-1.830,pre,27.3,30.0,104
-1.810,pre,27.7,30.0,113
-1.790,pre,27.9,30.0,117
-1.769,pre,27.7,30.0,110
-1.748,pre,27.7,30.0,110
-1.728,pre,27.6,30.0,111
-1.707,pre,27.5,30.0,107
-1.687,pre,27.4,30.0,108
-1.666,pre,27.4,30.0,108
-1.646,pre,27.4,30.0,108
-1.625,pre,27.3,30.0,106
-1.605,pre,27.4,30.0,107
-1.584,pre,27.5,30.0,110
-1.564,pre,27.7,30.0,113
-1.543,pre,27.9,30.0,117
-1.522,pre,27.8,30.0,114
-1.502,pre,27.9,30.0,115
-1.482,pre,27.8,30.0,116
-1.461,pre,27.5,30.0,106
-1.441,pre,27.7,30.0,114
-1.419,pre,27.2,30.0,102
-1.399,pre,27.2,30.0,104
-1.380,pre,27.2,30.0,105
-1.359,pre,27.3,30.0,107
-1.339,pre,27.4,30.0,108
-1.319,pre,27.4,30.0,107
-1.298,pre,28.0,30.0,119
-1.278,pre,27.5,30.0,105
-1.257,pre,27.9,30.0,115
-1.237,pre,27.5,30.0,108
-1.216,pre,27.4,30.0,107
-1.196,pre,27.2,30.0,103
-1.175,pre,27.2,30.0,103
-1.155,pre,27.4,30.0,107
-1.134,pre,27.5,30.0,110
-1.114,pre,27.7,30.0,114
-1.090,pre,27.9,30.0,117
-1.069,pre,27.6,30.0,109
-1.049,pre,27.7,30.0,114
-1.028,pre,27.4,30.0,104
-1.008,pre,27.8,30.0,117
-0.987,pre,27.3,30.0,105
-0.966,pre,27.4,30.0,108
-0.946,pre,27.6,30.0,112
-0.926,pre,27.4,30.0,107
-0.905,pre,27.3,30.0,106
-0.884,pre,27.6,30.0,112
-0.864,pre,27.5,30.0,109
-0.843,pre,27.4,30.0,107
-0.823,pre,27.8,30.0,117
-0.802,pre,27.6,30.0,111
-0.782,pre,28.0,30.0,118
-0.761,pre,27.8,30.0,115
-0.741,pre,28.0,30.0,118
-0.721,pre,27.5,30.0,108
-0.700,pre,27.5,30.0,109
-0.679,pre,27.3,30.0,104
-0.659,pre,27.1,30.0,99
-0.639,pre,27.1,30.0,101
-0.618,pre,27.3,30.0,107
-0.598,pre,27.2,30.0,101
-0.577,pre,27.7,30.0,115
-0.557,pre,27.6,30.0,110
-0.536,pre,27.5,30.0,109
-0.516,pre,27.8,30.0,115
-0.495,pre,27.8,30.0,115
-0.474,pre,27.2,30.0,100
-0.454,pre,27.5,30.0,109
-0.433,pre,27.5,30.0,108
-0.413,pre,27.6,30.0,112
-0.392,pre,27.3,30.0,104
-0.372,pre,27.5,30.0,110
-0.351,pre,27.5,30.0,110
-0.331,pre,27.6,30.0,110
-0.310,pre,27.8,30.0,115
-0.289,pre,27.7,30.0,113
-0.269,pre,27.8,30.0,113
-0.249,pre,27.8,30.0,114
-0.229,pre,27.6,30.0,110
-0.208,pre,28.1,30.0,123
-0.188,pre,27.7,30.0,112
-0.168,pre,28.0,30.0,119
-0.147,pre,27.3,30.0,104
-0.126,pre,27.1,30.0,102
-0.106,pre,27.1,30.0,102
-0.085,pre,27.2,30.0,104
-0.065,pre,27.5,30.0,109
-0.044,pre,27.6,30.0,112
-0.024,pre,27.6,30.0,110
-0.003,pre,27.8,30.0,114
0.017,post,27.5,30.3,102
0.038,post,27.8,30.3,110
0.061,post,27.9,30.3,112
0.082,post,28.4,30.3,122
0.102,post,28.4,30.3,120
0.123,post,29.0,30.3,132
0.143,post,28.4,30.3,116
0.164,post,28.6,30.3,123
0.184,post,27.7,30.3,99
0.205,post,27.5,30.3,102
0.225,post,27.5,30.3,102
0.246,post,27.4,30.3,101
0.266,post,27.7,30.3,109
0.287,post,27.7,30.3,106
0.307,post,28.1,30.3,115
0.328,post,29.0,30.3,132
0.348,post,28.7,30.3,123
0.369,post,28.4,30.3,116
0.390,post,28.1,30.3,112
0.410,post,27.9,30.3,109
0.431,post,28.2,30.3,117
0.451,post,28.3,30.3,119
0.471,post,28.2,30.3,114
0.492,post,28.9,30.3,131
0.512,post,29.3,30.3,137
0.533,post,28.4,30.3,114
0.553,post,28.2,30.3,113
0.574,post,28.1,30.3,112
0.594,post,28.3,30.3,118
0.615,post,27.6,30.3,100
0.635,post,27.7,30.3,107
0.656,post,27.6,30.3,104
0.676,post,28.0,30.3,114
0.698,post,28.0,30.3,112
0.718,post,27.9,30.3,109
0.738,post,28.2,30.3,116
0.759,post,28.0,30.3,112
0.779,post,28.8,30.3,127
0.799,post,28.1,30.3,112
0.820,post,28.2,30.3,113
0.840,post,28.7,30.3,127
0.861,post,27.9,30.3,107
0.881,post,28.2,30.3,116
0.901,post,27.5,30.3,100
0.922,post,27.8,30.3,109
0.942,post,27.6,30.3,104
0.963,post,27.9,30.3,113
0.983,post,28.0,30.3,111
1.004,post,28.2,30.3,118
1.024,post,27.8,30.3,105
