t_s,phase,gap_mm,ref_mm,pwm
-4.084,pre,26.9,30.0,91
-4.063,pre,27.4,30.0,111
-4.042,pre,27.4,30.0,114
-4.022,pre,27.2,30.0,102
-4.001,pre,27.3,30.0,108
-3.981,pre,27.8,30.0,127
-3.961,pre,26.7,30.0,81
-3.940,pre,27.6,30.0,122
-3.920,pre,27.0,30.0,105
-3.898,pre,27.0,30.0,89
-3.878,pre,26.8,30.0,100
-3.858,pre,26.8,30.0,98
-3.838,pre,27.9,30.0,132
-3.817,pre,26.5,30.0,76
-3.796,pre,27.8,30.0,136
-3.776,pre,26.8,30.0,92
-3.756,pre,27.4,30.0,112
-3.734,pre,26.9,30.0,102
-3.714,pre,28.0,30.0,119
-3.694,pre,27.3,30.0,111
-3.674,pre,27.0,30.0,83
-3.653,pre,27.9,30.0,137
-3.633,pre,26.5,30.0,71
-3.612,pre,27.6,30.0,127
-3.592,pre,26.9,30.0,97
-3.571,pre,27.9,30.0,126
-3.551,pre,26.8,30.0,95
-3.530,pre,27.4,30.0,113
-3.510,pre,27.9,30.0,136
-3.489,pre,26.6,30.0,71
-3.469,pre,27.7,30.0,132
-3.448,pre,27.1,30.0,99
-3.428,pre,26.9,30.0,94
-3.408,pre,27.1,30.0,107
-3.387,pre,27.5,30.0,125
-3.366,pre,26.9,30.0,90
-3.346,pre,27.3,30.0,113
-3.326,pre,27.5,30.0,122
-3.305,pre,26.9,30.0,88
-3.284,pre,27.6,30.0,119
-3.264,pre,27.3,30.0,114
-3.244,pre,29.3,30.0,166
-3.223,pre,26.1,30.0,63
-3.203,pre,26.8,30.0,97
-3.182,pre,26.8,30.0,107
-3.162,pre,26.8,30.0,101
-3.141,pre,27.1,30.0,110
-3.121,pre,27.4,30.0,116
-3.100,pre,27.2,30.0,103
-3.080,pre,27.2,30.0,102
-3.059,pre,28.4,30.0,148
-3.039,pre,26.6,30.0,70
-3.018,pre,27.5,30.0,116
-2.998,pre,26.8,30.0,91
-2.977,pre,27.4,30.0,104
-2.957,pre,26.8,30.0,99
-2.936,pre,27.1,30.0,112
-2.915,pre,27.4,30.0,117
-2.895,pre,26.9,30.0,96
-2.875,pre,27.8,30.0,129
-2.854,pre,27.5,30.0,112
-2.833,pre,26.9,30.0,74
-2.813,pre,27.4,30.0,119
-2.793,pre,27.1,30.0,102
-2.772,pre,27.0,30.0,100
-2.752,pre,27.2,30.0,115
-2.732,pre,27.4,30.0,116
-2.711,pre,27.6,30.0,103
-2.691,pre,26.7,30.0,92
-2.671,pre,27.0,30.0,98
-2.650,pre,27.9,30.0,131
-2.630,pre,26.5,30.0,80
-2.609,pre,26.9,30.0,101
-2.589,pre,27.8,30.0,132
-2.568,pre,26.7,30.0,88
-2.548,pre,27.6,30.0,123
-2.527,pre,27.6,30.0,117
-2.506,pre,26.8,30.0,72
-2.485,pre,27.7,30.0,132
-2.465,pre,27.3,30.0,104
-2.445,pre,28.4,30.0,133
-2.424,pre,26.3,30.0,76
-2.404,pre,26.7,30.0,96
-2.383,pre,27.1,30.0,113
-2.363,pre,26.3,30.0,80
-2.343,pre,26.8,30.0,113
-2.322,pre,27.4,30.0,117
-2.301,pre,26.7,30.0,96
-2.280,pre,26.8,30.0,100
-2.261,pre,27.4,30.0,108
-2.240,pre,27.2,30.0,104
-2.219,pre,27.0,30.0,99
-2.199,pre,27.2,30.0,109
-2.178,pre,27.2,30.0,104
-2.158,pre,27.1,30.0,110
-2.137,pre,27.8,30.0,120
-2.117,pre,28.1,30.0,133
-2.097,pre,27.2,30.0,97
-2.076,pre,29.1,30.0,119
-2.056,pre,27.3,30.0,101
-2.035,pre,26.2,30.0,54
-2.015,pre,26.0,30.0,77
-1.994,pre,26.0,30.0,85
-1.974,pre,26.1,30.0,91
-1.953,pre,27.3,30.0,134
-1.933,pre,29.8,30.0,168
-1.912,pre,26.4,30.0,70
-1.892,pre,27.0,30.0,93
-1.871,pre,27.6,30.0,130
-1.851,pre,26.2,30.0,55
-1.830,pre,27.0,30.0,110
-1.810,pre,26.5,30.0,92
-1.790,pre,26.7,30.0,100
-1.769,pre,26.7,30.0,97
-1.749,pre,27.1,30.0,115
-1.728,pre,26.8,30.0,102
-1.707,pre,26.8,30.0,101
-1.687,pre,26.8,30.0,100
-1.666,pre,26.9,30.0,101
-1.646,pre,27.0,30.0,105
-1.626,pre,27.1,30.0,111
-1.605,pre,26.9,30.0,98
-1.585,pre,27.7,30.0,124
-1.564,pre,27.6,30.0,125
-1.544,pre,26.6,30.0,80
-1.523,pre,27.3,30.0,112
-1.503,pre,26.8,30.0,93
-1.482,pre,27.3,30.0,112
-1.462,pre,27.4,30.0,119
-1.441,pre,26.9,30.0,89
-1.421,pre,27.3,30.0,113
-1.400,pre,27.3,30.0,113
-1.380,pre,27.0,30.0,102
-1.360,pre,27.1,30.0,106
-1.339,pre,27.2,30.0,108
-1.319,pre,27.3,30.0,113
-1.298,pre,26.8,30.0,90
-1.277,pre,27.3,30.0,116
-1.257,pre,26.7,30.0,88
-1.236,pre,27.3,30.0,110
-1.216,pre,27.1,30.0,107
-1.196,pre,27.6,30.0,125
-1.175,pre,27.2,30.0,108
-1.155,pre,27.4,30.0,111
-1.134,pre,27.2,30.0,104
-1.114,pre,27.3,30.0,109
-1.093,pre,27.2,30.0,107
-1.073,pre,26.9,30.0,97
-1.052,pre,26.4,30.0,67
-1.032,pre,26.6,30.0,97
-1.011,pre,26.5,30.0,93
-0.991,pre,26.7,30.0,103
-0.970,pre,26.7,30.0,97
-0.950,pre,27.4,30.0,122
-0.929,pre,27.3,30.0,115
-0.909,pre,27.6,30.0,97
-0.888,pre,27.0,30.0,106
-0.868,pre,26.8,30.0,85
-0.847,pre,27.5,30.0,127
-0.827,pre,26.6,30.0,84
-0.806,pre,27.2,30.0,112
-0.786,pre,27.0,30.0,100
-0.766,pre,27.3,30.0,110
-0.745,pre,27.0,30.0,101
-0.725,pre,27.2,30.0,109
-0.704,pre,26.9,30.0,100
-0.684,pre,27.0,30.0,105
-0.663,pre,26.6,30.0,89
-0.643,pre,27.1,30.0,108
-0.622,pre,26.6,30.0,92
-0.602,pre,26.7,30.0,93
-0.581,pre,27.6,30.0,132
-0.561,pre,26.6,30.0,90
-0.540,pre,27.3,30.0,119
-0.520,pre,27.4,30.0,117
-0.500,pre,27.4,30.0,110
-0.479,pre,27.5,30.0,114
-0.459,pre,27.7,30.0,126
-0.438,pre,27.5,30.0,113
-0.418,pre,27.4,30.0,112
-0.397,pre,27.3,30.0,106
-0.376,pre,27.0,30.0,97
-0.356,pre,27.1,30.0,105
-0.336,pre,27.4,30.0,122
-0.315,pre,26.8,30.0,98
-0.294,pre,27.1,30.0,111
-0.274,pre,27.1,30.0,110
-0.253,pre,26.7,30.0,88
-0.233,pre,27.3,30.0,114
-0.213,pre,26.7,30.0,94
-0.192,pre,27.2,30.0,111
-0.172,pre,26.9,30.0,103
-0.151,pre,27.3,30.0,114
-0.131,pre,27.2,30.0,109
-0.111,pre,27.2,30.0,98
