t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,26.5,30.0,101
-4.067,pre,26.6,30.0,101
-4.047,pre,26.7,30.0,104
-4.026,pre,26.5,30.0,94
-4.006,pre,26.7,30.0,106
-3.985,pre,26.6,30.0,98
-3.965,pre,26.8,30.0,104
-3.944,pre,26.8,30.0,103
-3.924,pre,27.2,30.0,114
-3.903,pre,27.1,30.0,111
-3.882,pre,26.8,30.0,97
-3.862,pre,27.0,30.0,102
-3.841,pre,27.0,30.0,108
-3.817,pre,27.1,30.0,108
-3.797,pre,27.0,30.0,106
-3.776,pre,27.1,30.0,108
-3.756,pre,26.9,30.0,101
-3.736,pre,26.9,30.0,100
-3.715,pre,27.0,30.0,107
-3.695,pre,26.9,30.0,103
-3.674,pre,26.8,30.0,105
-3.654,pre,26.9,30.0,108
-3.633,pre,26.8,30.0,97
-3.613,pre,26.7,30.0,100
-3.592,pre,26.8,30.0,101
-3.571,pre,26.9,30.0,103
-3.551,pre,26.8,30.0,103
-3.530,pre,26.9,30.0,103
-3.510,pre,27.0,30.0,109
-3.490,pre,26.9,30.0,100
-3.469,pre,27.0,30.0,110
-3.449,pre,27.1,30.0,113
-3.428,pre,26.9,30.0,100
-3.407,pre,27.5,30.0,122
-3.387,pre,26.6,30.0,88
-3.367,pre,27.3,30.0,111
-3.346,pre,27.0,30.0,110
-3.326,pre,26.7,30.0,92
-3.305,pre,27.3,30.0,119
-3.285,pre,26.5,30.0,86
-3.264,pre,26.8,30.0,104
-3.244,pre,26.5,30.0,93
-3.223,pre,26.6,30.0,99
-3.203,pre,27.0,30.0,113
-3.182,pre,26.9,30.0,105
-3.162,pre,27.0,30.0,106
-3.142,pre,26.8,30.0,99
-3.121,pre,26.8,30.0,103
-3.100,pre,27.2,30.0,113
-3.080,pre,26.9,30.0,100
-3.060,pre,27.0,30.0,106
-3.039,pre,26.8,30.0,98
-3.018,pre,27.0,30.0,106
-2.998,pre,27.0,30.0,110
-2.978,pre,27.0,30.0,104
-2.957,pre,27.2,30.0,113
-2.936,pre,26.9,30.0,101
-2.916,pre,27.5,30.0,124
-2.896,pre,26.5,30.0,87
-2.875,pre,27.1,30.0,110
-2.855,pre,26.9,30.0,104
-2.834,pre,26.6,30.0,96
-2.814,pre,26.9,30.0,110
-2.793,pre,26.7,30.0,99
-2.773,pre,26.6,30.0,94
-2.752,pre,26.8,30.0,109
-2.732,pre,26.7,30.0,102
-2.711,pre,26.8,30.0,102
-2.690,pre,26.7,30.0,99
-2.670,pre,26.9,30.0,103
-2.650,pre,27.1,30.0,111
-2.629,pre,26.6,30.0,91
-2.609,pre,26.6,30.0,97
-2.588,pre,27.0,30.0,113
-2.568,pre,27.0,30.0,109
-2.547,pre,26.9,30.0,106
-2.526,pre,26.8,30.0,99
-2.506,pre,27.2,30.0,113
-2.485,pre,26.7,30.0,93
-2.465,pre,26.9,30.0,105
-2.445,pre,26.8,30.0,101
-2.424,pre,26.9,30.0,106
-2.403,pre,26.8,30.0,103
-2.383,pre,27.2,30.0,113
-2.363,pre,26.5,30.0,90
-2.343,pre,26.9,30.0,105
-2.322,pre,26.5,30.0,91
-2.301,pre,26.8,30.0,101
-2.281,pre,26.4,30.0,90
-2.261,pre,26.4,30.0,96
-2.240,pre,26.6,30.0,103
-2.220,pre,26.6,30.0,99
-2.199,pre,26.7,30.0,103
-2.179,pre,26.5,30.0,96
-2.158,pre,26.5,30.0,98
-2.138,pre,26.5,30.0,98
-2.117,pre,27.0,30.0,114
-2.097,pre,26.7,30.0,94
-2.076,pre,27.2,30.0,119
-2.055,pre,26.5,30.0,88
-2.035,pre,26.8,30.0,100
-2.015,pre,26.8,30.0,107
-1.994,pre,26.6,30.0,96
-1.973,pre,26.9,30.0,109
-1.953,pre,26.5,30.0,94
-1.933,pre,26.9,30.0,108
-1.913,pre,26.7,30.0,100
-1.892,pre,27.1,30.0,116
-1.872,pre,26.9,30.0,104
-1.851,pre,27.2,30.0,116
-1.831,pre,26.8,30.0,103
-1.811,pre,26.8,30.0,99
-1.790,pre,26.9,30.0,101
-1.769,pre,26.8,30.0,104
-1.749,pre,26.8,30.0,98
-1.727,pre,26.9,30.0,106
-1.708,pre,26.8,30.0,104
-1.686,pre,26.5,30.0,91
-1.667,pre,26.9,30.0,111
-1.646,pre,26.8,30.0,101
-1.625,pre,26.7,30.0,98
-1.605,pre,27.0,30.0,110
-1.584,pre,26.7,30.0,99
-1.564,pre,26.8,30.0,103
-1.543,pre,26.7,30.0,99
-1.523,pre,26.8,30.0,104
-1.502,pre,26.6,30.0,93
