t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.4,30.0,109
-4.071,pre,27.3,30.0,106
-4.050,pre,27.3,30.0,106
-4.030,pre,27.4,30.0,110
-4.009,pre,27.3,30.0,107
-3.989,pre,27.3,30.0,108
-3.969,pre,27.4,30.0,109
-3.948,pre,27.4,30.0,109
-3.927,pre,27.5,30.0,110
-3.907,pre,27.5,30.0,113
-3.886,pre,27.4,30.0,108
-3.866,pre,26.9,30.0,95
-3.845,pre,27.4,30.0,111
-3.825,pre,27.2,30.0,105
-3.804,pre,27.2,30.0,105
-3.784,pre,27.4,30.0,111
-3.763,pre,27.1,30.0,102
-3.742,pre,27.9,30.0,124
-3.722,pre,27.5,30.0,111
-3.702,pre,27.5,30.0,113
-3.682,pre,27.4,30.0,109
-3.661,pre,27.1,30.0,99
-3.640,pre,27.3,30.0,110
-3.620,pre,27.2,30.0,105
-3.599,pre,27.4,30.0,113
-3.579,pre,27.3,30.0,104
-3.559,pre,27.5,30.0,114
-3.538,pre,27.3,30.0,102
-3.517,pre,27.7,30.0,116
-3.497,pre,27.5,30.0,111
-3.477,pre,27.1,30.0,98
-3.456,pre,27.2,30.0,103
-3.436,pre,27.4,30.0,112
-3.416,pre,27.4,30.0,110
-3.395,pre,27.4,30.0,108
-3.374,pre,27.7,30.0,118
-3.354,pre,27.3,30.0,106
-3.333,pre,27.2,30.0,101
-3.313,pre,27.8,30.0,122
-3.292,pre,27.0,30.0,97
-3.272,pre,27.4,30.0,107
-3.251,pre,27.2,30.0,107
-3.231,pre,27.3,30.0,106
-3.211,pre,27.5,30.0,112
-3.190,pre,27.1,30.0,102
-3.169,pre,27.4,30.0,110
-3.149,pre,27.6,30.0,115
-3.129,pre,27.4,30.0,105
-3.108,pre,27.5,30.0,108
-3.088,pre,27.6,30.0,116
-3.068,pre,27.4,30.0,109
-3.047,pre,27.4,30.0,107
-3.023,pre,27.2,30.0,105
-3.003,pre,27.2,30.0,106
-2.982,pre,27.4,30.0,113
-2.962,pre,27.3,30.0,105
-2.941,pre,27.5,30.0,114
-2.920,pre,27.5,30.0,113
-2.900,pre,27.6,30.0,115
-2.879,pre,27.5,30.0,113
-2.859,pre,27.5,30.0,110
-2.838,pre,27.3,30.0,104
-2.818,pre,27.3,30.0,103
-2.798,pre,27.4,30.0,112
-2.777,pre,27.4,30.0,109
-2.757,pre,27.4,30.0,111
-2.736,pre,27.4,30.0,110
-2.715,pre,27.2,30.0,102
-2.695,pre,27.4,30.0,106
-2.675,pre,27.5,30.0,112
-2.654,pre,27.5,30.0,110
-2.634,pre,27.8,30.0,119
-2.613,pre,27.6,30.0,114
-2.593,pre,27.4,30.0,109
-2.572,pre,27.2,30.0,100
-2.552,pre,27.3,30.0,106
-2.531,pre,27.3,30.0,109
-2.511,pre,27.0,30.0,99
-2.490,pre,27.2,30.0,105
-2.470,pre,27.3,30.0,109
-2.450,pre,27.3,30.0,107
-2.429,pre,27.3,30.0,106
-2.408,pre,27.5,30.0,113
-2.388,pre,27.2,30.0,100
-2.367,pre,27.2,30.0,101
-2.347,pre,27.3,30.0,106
-2.326,pre,27.1,30.0,99
-2.305,pre,27.4,30.0,110
-2.285,pre,27.2,30.0,103
-2.264,pre,27.2,30.0,103
-2.244,pre,27.5,30.0,112
-2.223,pre,27.8,30.0,123
-2.203,pre,27.4,30.0,106
-2.182,pre,27.8,30.0,115
-2.162,pre,27.5,30.0,110
-2.141,pre,27.1,30.0,97
-2.121,pre,27.3,30.0,106
-2.100,pre,27.2,30.0,106
-2.080,pre,27.3,30.0,112
-2.060,pre,27.1,30.0,103
-2.039,pre,27.2,30.0,106
-2.018,pre,27.2,30.0,106
-1.998,pre,27.5,30.0,114
-1.978,pre,27.3,30.0,107
-1.957,pre,27.1,30.0,98
-1.937,pre,27.6,30.0,116
-1.916,pre,27.4,30.0,109
-1.895,pre,27.3,30.0,104
-1.875,pre,27.4,30.0,108
-1.854,pre,27.5,30.0,111
-1.834,pre,27.5,30.0,113
-1.813,pre,27.4,30.0,109
-1.793,pre,27.7,30.0,116
-1.773,pre,27.2,30.0,103
-1.751,pre,27.5,30.0,113
-1.732,pre,27.4,30.0,110
-1.711,pre,27.2,30.0,102
-1.691,pre,27.3,30.0,109
-1.671,pre,27.2,30.0,103
-1.650,pre,27.4,30.0,107
-1.629,pre,27.2,30.0,103
-1.609,pre,27.4,30.0,110
-1.588,pre,27.2,30.0,103
-1.568,pre,27.9,30.0,124
-1.548,pre,27.2,30.0,102
-1.527,pre,27.0,30.0,95
-1.507,pre,27.2,30.0,104
-1.486,pre,27.2,30.0,106
-1.465,pre,27.1,30.0,102
-1.445,pre,27.4,30.0,111
-1.425,pre,27.6,30.0,115
-1.404,pre,27.6,30.0,110
-1.381,pre,27.7,30.0,114
-1.360,pre,27.4,30.0,105
-1.340,pre,27.2,30.0,99
-1.319,pre,27.2,30.0,103
-1.299,pre,26.9,30.0,98
-1.278,pre,27.4,30.0,114
-1.258,pre,27.1,30.0,104
-1.237,pre,27.3,30.0,107
-1.216,pre,27.4,30.0,109
-1.196,pre,27.5,30.0,113
-1.175,pre,27.5,30.0,111
-1.155,pre,27.6,30.0,112
-1.134,pre,27.2,30.0,100
-1.114,pre,27.1,30.0,98
-1.094,pre,27.4,30.0,110
-1.073,pre,27.2,30.0,107
-1.053,pre,27.5,30.0,115
-1.033,pre,27.4,30.0,111
