t_s,phase,gap_mm,ref_mm,pwm
-4.091,pre,27.5,30.0,112
-4.071,pre,27.5,30.0,112
-4.050,pre,27.3,30.0,108
-4.030,pre,27.2,30.0,103
-4.009,pre,27.3,30.0,106
-3.989,pre,27.3,30.0,107
-3.969,pre,27.4,30.0,114
-3.948,pre,27.4,30.0,111
-3.928,pre,27.6,30.0,116
-3.907,pre,27.8,30.0,121
-3.887,pre,27.8,30.0,119
-3.866,pre,27.4,30.0,107
-3.845,pre,27.7,30.0,120
-3.825,pre,27.3,30.0,104
-3.805,pre,27.4,30.0,107
-3.784,pre,27.3,30.0,108
-3.761,pre,27.1,30.0,104
-3.740,pre,27.1,30.0,101
-3.719,pre,27.4,30.0,113
-3.699,pre,27.4,30.0,113
-3.679,pre,27.2,30.0,105
-3.658,pre,27.1,30.0,97
-3.638,pre,27.3,30.0,107
-3.617,pre,27.2,30.0,106
-3.597,pre,27.0,30.0,99
-3.576,pre,27.3,30.0,109
-3.555,pre,27.5,30.0,114
-3.535,pre,27.3,30.0,105
-3.514,pre,27.7,30.0,116
-3.494,pre,27.6,30.0,113
-3.473,pre,27.5,30.0,107
-3.453,pre,27.5,30.0,111
-3.432,pre,27.4,30.0,106
-3.412,pre,27.3,30.0,106
-3.391,pre,27.2,30.0,107
-3.371,pre,27.3,30.0,108
-3.351,pre,27.2,30.0,106
-3.330,pre,27.4,30.0,111
-3.309,pre,27.3,30.0,110
-3.288,pre,27.1,30.0,104
-3.268,pre,27.2,30.0,107
-3.248,pre,27.4,30.0,111
-3.227,pre,27.5,30.0,115
-3.207,pre,27.2,30.0,105
-3.186,pre,27.2,30.0,100
-3.166,pre,27.5,30.0,112
-3.145,pre,27.1,30.0,99
-3.124,pre,27.4,30.0,112
-3.104,pre,27.5,30.0,112
-3.084,pre,27.3,30.0,105
-3.063,pre,27.4,30.0,106
-3.042,pre,27.5,30.0,110
-3.022,pre,27.1,30.0,100
-3.002,pre,27.1,30.0,102
