t_s,phase,gap_mm,ref_mm,pwm
-4.083,pre,27.4,30.0,109
-4.063,pre,27.1,30.0,104
-4.042,pre,27.2,30.0,100
-4.022,pre,27.4,30.0,106
-4.001,pre,27.1,30.0,104
-3.980,pre,27.2,30.0,103
-3.960,pre,28.1,30.0,130
-3.939,pre,26.8,30.0,89
-3.919,pre,27.3,30.0,110
-3.899,pre,27.2,30.0,103
-3.878,pre,27.0,30.0,94
-3.858,pre,27.3,30.0,109
-3.837,pre,27.3,30.0,109
-3.817,pre,26.9,30.0,87
-3.796,pre,27.2,30.0,109
-3.776,pre,27.4,30.0,116
-3.756,pre,27.1,30.0,94
-3.735,pre,27.1,30.0,102
-3.714,pre,27.5,30.0,115
-3.693,pre,28.0,30.0,131
-3.673,pre,26.9,30.0,89
-3.653,pre,27.5,30.0,113
-3.632,pre,27.2,30.0,98
-3.612,pre,26.8,30.0,87
-3.591,pre,27.3,30.0,113
-3.571,pre,27.4,30.0,114
-3.550,pre,27.4,30.0,114
-3.530,pre,26.9,30.0,94
-3.510,pre,28.2,30.0,141
-3.489,pre,26.9,30.0,91
-3.468,pre,27.2,30.0,104
-3.447,pre,27.3,30.0,110
-3.427,pre,27.0,30.0,94
-3.407,pre,27.6,30.0,126
-3.386,pre,27.9,30.0,132
-3.366,pre,27.4,30.0,96
-3.346,pre,27.5,30.0,116
-3.325,pre,27.0,30.0,94
-3.305,pre,28.0,30.0,126
-3.285,pre,26.5,30.0,80
-3.264,pre,27.3,30.0,114
-3.244,pre,27.5,30.0,121
-3.223,pre,26.7,30.0,89
-3.202,pre,27.0,30.0,104
-3.181,pre,28.1,30.0,141
-3.161,pre,26.6,30.0,83
-3.141,pre,27.1,30.0,103
-3.119,pre,29.0,30.0,173
-3.100,pre,26.3,30.0,49
-3.080,pre,26.9,30.0,106
-3.059,pre,26.8,30.0,100
-3.038,pre,27.6,30.0,119
-3.018,pre,26.4,30.0,82
-2.997,pre,26.8,30.0,103
-2.976,pre,26.9,30.0,103
-2.956,pre,26.7,30.0,96
-2.936,pre,28.6,30.0,156
-2.915,pre,28.0,30.0,127
-2.895,pre,28.9,30.0,108
-2.874,pre,26.0,30.0,53
-2.854,pre,25.7,30.0,69
-2.834,pre,25.5,30.0,72
-2.813,pre,25.6,30.0,82
-2.792,pre,26.0,30.0,95
-2.772,pre,26.8,30.0,115
-2.752,pre,28.9,30.0,171
-2.731,pre,27.6,30.0,101
-2.711,pre,32.0,30.0,249
-2.690,pre,25.8,30.0,32
-2.669,pre,26.0,30.0,71
-2.649,pre,25.5,30.0,70
-2.628,pre,25.5,30.0,77
-2.608,pre,25.7,30.0,85
-2.588,pre,25.7,30.0,84
-2.567,pre,25.9,30.0,89
-2.547,pre,26.6,30.0,109
-2.527,pre,27.4,30.0,124
-2.506,pre,27.8,30.0,127
-2.486,pre,28.1,30.0,123
-2.466,pre,28.7,30.0,145
-2.445,pre,26.8,30.0,75
-2.425,pre,28.2,30.0,134
-2.404,pre,26.4,30.0,77
-2.384,pre,26.3,30.0,84
-2.363,pre,26.2,30.0,87
-2.343,pre,26.2,30.0,86
-2.322,pre,26.1,30.0,84
-2.301,pre,26.5,30.0,102
-2.280,pre,26.8,30.0,107
-2.260,pre,26.7,30.0,97
-2.240,pre,27.6,30.0,126
-2.219,pre,28.1,30.0,134
-2.199,pre,28.4,30.0,132
-2.177,pre,28.5,30.0,136
-2.157,pre,27.4,30.0,92
-2.137,pre,29.9,30.0,191
-2.117,pre,26.1,30.0,44
-2.095,pre,27.3,30.0,110
-2.076,pre,26.5,30.0,90
-2.055,pre,26.7,30.0,98
-2.035,pre,26.7,30.0,97
-2.014,pre,27.2,30.0,117
-1.993,pre,27.3,30.0,113
-1.973,pre,27.7,30.0,121
-1.953,pre,27.5,30.0,113
-1.932,pre,28.4,30.0,126
-1.912,pre,27.0,30.0,94
-1.892,pre,28.2,30.0,127
-1.871,pre,26.8,30.0,90
-1.851,pre,28.0,30.0,119
-1.831,pre,26.8,30.0,91
-1.810,pre,27.1,30.0,101
-1.790,pre,27.2,30.0,112
-1.769,pre,27.2,30.0,106
-1.749,pre,27.2,30.0,111
-1.728,pre,26.9,30.0,92
-1.708,pre,27.1,30.0,105
-1.687,pre,27.0,30.0,102
-1.667,pre,27.0,30.0,105
-1.646,pre,26.8,30.0,100
-1.626,pre,27.1,30.0,109
-1.605,pre,27.3,30.0,111
-1.585,pre,27.9,30.0,131
-1.564,pre,27.7,30.0,121
-1.544,pre,27.5,30.0,107
-1.523,pre,28.1,30.0,133
-1.503,pre,27.1,30.0,98
-1.482,pre,27.8,30.0,114
-1.462,pre,27.1,30.0,102
-1.442,pre,28.0,30.0,125
-1.421,pre,27.3,30.0,108
-1.400,pre,27.6,30.0,111
-1.380,pre,27.2,30.0,101
-1.360,pre,27.6,30.0,116
-1.339,pre,27.4,30.0,113
-1.319,pre,27.0,30.0,98
-1.298,pre,27.1,30.0,103
-1.278,pre,26.9,30.0,95
-1.257,pre,27.0,30.0,100
-1.237,pre,26.9,30.0,96
-1.216,pre,27.6,30.0,121
-1.196,pre,26.8,30.0,95
-1.175,pre,27.2,30.0,105
-1.155,pre,27.6,30.0,123
-1.131,pre,27.2,30.0,102
-1.110,pre,27.7,30.0,118
