t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.3,30.0,106
-4.067,pre,27.3,30.0,108
-4.047,pre,27.3,30.0,109
-4.026,pre,27.4,30.0,109
-4.006,pre,27.3,30.0,106
-3.985,pre,27.6,30.0,115
-3.965,pre,27.9,30.0,118
-3.944,pre,27.9,30.0,118
-3.924,pre,27.2,30.0,100
-3.903,pre,27.3,30.0,106
-3.882,pre,27.5,30.0,113
-3.862,pre,27.0,30.0,100
-3.842,pre,27.2,30.0,105
-3.821,pre,27.4,30.0,111
-3.800,pre,27.3,30.0,107
-3.780,pre,27.7,30.0,118
-3.759,pre,27.8,30.0,117
-3.739,pre,27.5,30.0,109
-3.719,pre,27.6,30.0,111
-3.698,pre,27.4,30.0,106
-3.678,pre,27.1,30.0,100
-3.657,pre,27.0,30.0,99
-3.636,pre,27.5,30.0,115
-3.616,pre,27.3,30.0,109
-3.596,pre,27.3,30.0,104
-3.575,pre,28.1,30.0,127
-3.554,pre,27.6,30.0,110
-3.534,pre,27.4,30.0,105
-3.513,pre,27.6,30.0,112
-3.493,pre,27.3,30.0,106
-3.473,pre,27.4,30.0,112
-3.452,pre,27.2,30.0,106
-3.432,pre,27.4,30.0,110
-3.411,pre,27.0,30.0,97
-3.391,pre,27.5,30.0,113
-3.370,pre,27.4,30.0,109
-3.350,pre,27.5,30.0,111
-3.329,pre,27.0,30.0,97
-3.309,pre,27.2,30.0,101
-3.288,pre,27.4,30.0,110
-3.268,pre,27.1,30.0,100
-3.247,pre,27.5,30.0,113
-3.227,pre,27.2,30.0,103
-3.206,pre,27.4,30.0,108
-3.186,pre,27.7,30.0,118
-3.165,pre,27.6,30.0,113
-3.145,pre,27.5,30.0,109
-3.124,pre,27.8,30.0,120
-3.104,pre,26.9,30.0,93
-3.083,pre,27.3,30.0,108
-3.063,pre,27.4,30.0,112
-3.042,pre,27.1,30.0,103
-3.022,pre,27.3,30.0,105
-3.001,pre,27.4,30.0,109
-2.981,pre,27.5,30.0,112
-2.961,pre,27.5,30.0,109
-2.940,pre,27.6,30.0,113
-2.919,pre,27.4,30.0,109
-2.899,pre,27.3,30.0,105
-2.878,pre,27.6,30.0,114
-2.858,pre,27.4,30.0,108
-2.837,pre,27.4,30.0,109
-2.816,pre,27.5,30.0,111
-2.796,pre,27.7,30.0,117
-2.776,pre,27.7,30.0,115
-2.756,pre,27.3,30.0,105
-2.735,pre,27.6,30.0,113
-2.714,pre,27.7,30.0,118
-2.694,pre,27.4,30.0,106
-2.673,pre,27.2,30.0,101
-2.653,pre,27.4,30.0,106
-2.633,pre,27.1,30.0,99
-2.612,pre,27.3,30.0,107
-2.592,pre,27.2,30.0,106
-2.572,pre,27.0,30.0,100
-2.551,pre,27.2,30.0,108
-2.531,pre,27.3,30.0,106
-2.507,pre,27.4,30.0,110
-2.486,pre,27.5,30.0,110
-2.466,pre,28.0,30.0,124
-2.445,pre,27.5,30.0,107
-2.425,pre,27.6,30.0,110
-2.404,pre,27.4,30.0,107
-2.383,pre,27.1,30.0,100
-2.363,pre,27.4,30.0,108
-2.343,pre,27.2,30.0,105
-2.322,pre,27.3,30.0,107
-2.302,pre,27.3,30.0,107
-2.281,pre,27.5,30.0,113
-2.261,pre,27.2,30.0,102
-2.241,pre,27.4,30.0,107
-2.220,pre,27.5,30.0,112
-2.199,pre,27.3,30.0,109
-2.179,pre,27.4,30.0,110
-2.158,pre,27.5,30.0,115
-2.138,pre,27.5,30.0,111
-2.117,pre,27.5,30.0,111
-2.097,pre,27.4,30.0,109
-2.076,pre,27.4,30.0,108
-2.055,pre,27.4,30.0,107
-2.035,pre,27.2,30.0,104
-2.014,pre,27.2,30.0,105
-1.994,pre,27.2,30.0,104
-1.973,pre,27.3,30.0,109
-1.952,pre,27.5,30.0,111
-1.932,pre,27.7,30.0,116
-1.912,pre,27.5,30.0,107
-1.891,pre,27.6,30.0,112
-1.871,pre,27.3,30.0,105
-1.851,pre,27.4,30.0,109
-1.830,pre,27.1,30.0,103
-1.810,pre,27.2,30.0,106
-1.788,pre,27.5,30.0,114
-1.768,pre,27.4,30.0,109
-1.748,pre,27.9,30.0,119
-1.727,pre,27.5,30.0,112
-1.707,pre,27.5,30.0,108
-1.687,pre,27.1,30.0,96
-1.666,pre,27.3,30.0,107
-1.646,pre,27.3,30.0,109
-1.625,pre,27.1,30.0,102
