t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.2,30.0,105
-4.071,pre,27.3,30.0,106
-4.050,pre,27.3,30.0,106
-4.030,pre,27.4,30.0,110
-4.009,pre,27.2,30.0,107
-3.989,pre,27.0,30.0,101
-3.968,pre,27.3,30.0,109
-3.948,pre,27.3,30.0,108
-3.927,pre,27.2,30.0,103
-3.907,pre,27.7,30.0,117
-3.887,pre,27.5,30.0,110
-3.866,pre,27.3,30.0,106
-3.846,pre,27.4,30.0,107
-3.825,pre,28.0,30.0,123
-3.805,pre,27.5,30.0,109
-3.781,pre,27.4,30.0,109
-3.760,pre,27.5,30.0,112
-3.739,pre,27.3,30.0,106
-3.719,pre,27.5,30.0,112
-3.699,pre,27.4,30.0,110
-3.678,pre,27.3,30.0,107
-3.658,pre,27.3,30.0,107
-3.637,pre,27.3,30.0,107
-3.617,pre,27.3,30.0,108
-3.596,pre,27.4,30.0,110
-3.576,pre,27.1,30.0,101
-3.555,pre,27.4,30.0,109
-3.535,pre,27.4,30.0,110
-3.514,pre,27.5,30.0,111
-3.494,pre,27.3,30.0,107
-3.473,pre,27.3,30.0,106
-3.453,pre,27.6,30.0,115
-3.432,pre,27.6,30.0,114
-3.412,pre,27.5,30.0,109
-3.391,pre,27.6,30.0,111
-3.371,pre,27.4,30.0,108
-3.351,pre,27.2,30.0,103
-3.330,pre,27.1,30.0,102
-3.310,pre,26.9,30.0,99
-3.289,pre,26.9,30.0,101
-3.268,pre,27.2,30.0,109
-3.248,pre,27.0,30.0,103
-3.228,pre,27.4,30.0,112
-3.207,pre,27.6,30.0,115
-3.186,pre,27.9,30.0,121
-3.165,pre,28.1,30.0,123
-3.145,pre,27.7,30.0,111
-3.124,pre,27.9,30.0,117
-3.104,pre,27.3,30.0,106
-3.084,pre,27.4,30.0,108
-3.064,pre,26.9,30.0,99
-3.043,pre,26.9,30.0,99
-3.022,pre,27.0,30.0,103
-3.002,pre,26.8,30.0,100
-2.981,pre,27.0,30.0,105
-2.961,pre,27.5,30.0,116
-2.940,pre,27.6,30.0,114
-2.919,pre,27.8,30.0,118
-2.899,pre,27.7,30.0,115
-2.879,pre,27.8,30.0,115
-2.858,pre,27.6,30.0,111
-2.838,pre,27.3,30.0,105
-2.818,pre,27.0,30.0,98
-2.797,pre,26.7,30.0,96
-2.777,pre,26.6,30.0,96
-2.756,pre,26.8,30.0,100
-2.736,pre,27.0,30.0,106
-2.715,pre,27.2,30.0,107
-2.695,pre,27.5,30.0,113
-2.674,pre,28.0,30.0,123
-2.653,pre,27.9,30.0,118
-2.633,pre,28.0,30.0,120
-2.612,pre,27.7,30.0,113
-2.592,pre,27.2,30.0,101
-2.571,pre,27.0,30.0,100
-2.551,pre,27.1,30.0,103
-2.531,pre,26.9,30.0,101
-2.510,pre,27.0,30.0,104
-2.490,pre,26.9,30.0,101
-2.469,pre,27.0,30.0,103
-2.448,pre,27.2,30.0,109
-2.428,pre,26.9,30.0,99
-2.408,pre,27.2,30.0,107
-2.386,pre,27.4,30.0,110
-2.366,pre,27.4,30.0,109
-2.346,pre,27.8,30.0,118
-2.325,pre,27.5,30.0,110
-2.305,pre,27.6,30.0,114
-2.284,pre,27.3,30.0,106
-2.265,pre,27.1,30.0,104
-2.244,pre,27.1,30.0,104
-2.223,pre,27.1,30.0,105
-2.200,pre,27.1,30.0,102
-2.179,pre,27.2,30.0,107
-2.159,pre,27.2,30.0,107
-2.138,pre,27.1,30.0,102
-2.117,pre,27.1,30.0,103
-2.097,pre,27.5,30.0,113
-2.077,pre,27.3,30.0,109
-2.056,pre,27.3,30.0,107
-2.036,pre,27.3,30.0,107
-2.015,pre,27.5,30.0,112
-1.995,pre,27.2,30.0,104
-1.974,pre,27.0,30.0,101
-1.954,pre,27.1,30.0,104
-1.933,pre,27.2,30.0,107
-1.912,pre,27.3,30.0,108
-1.892,pre,27.4,30.0,111
-1.872,pre,27.5,30.0,112
-1.851,pre,27.4,30.0,108
-1.831,pre,27.6,30.0,115
-1.810,pre,27.2,30.0,104
-1.790,pre,27.2,30.0,105
-1.769,pre,27.0,30.0,100
-1.748,pre,27.0,30.0,102
-1.728,pre,27.3,30.0,109
-1.707,pre,27.2,30.0,108
-1.687,pre,27.1,30.0,103
-1.667,pre,27.4,30.0,110
-1.646,pre,27.3,30.0,106
-1.626,pre,27.4,30.0,108
-1.605,pre,27.3,30.0,107
-1.584,pre,27.2,30.0,105
-1.564,pre,27.3,30.0,110
-1.544,pre,27.3,30.0,109
-1.522,pre,27.2,30.0,105
-1.503,pre,27.4,30.0,111
-1.482,pre,27.6,30.0,114
-1.462,pre,27.4,30.0,112
-1.441,pre,27.1,30.0,102
-1.420,pre,27.2,30.0,104
-1.400,pre,27.1,30.0,105
-1.380,pre,27.0,30.0,101
-1.359,pre,27.3,30.0,110
-1.339,pre,27.4,30.0,113
-1.318,pre,27.1,30.0,102
-1.298,pre,27.2,30.0,105
-1.278,pre,27.4,30.0,110
-1.257,pre,27.5,30.0,112
-1.237,pre,27.5,30.0,111
-1.216,pre,27.4,30.0,107
-1.196,pre,27.6,30.0,112
-1.175,pre,27.6,30.0,113
-1.155,pre,27.4,30.0,106
-1.134,pre,27.7,30.0,116
-1.114,pre,27.2,30.0,105
-1.094,pre,27.1,30.0,103
-1.073,pre,26.9,30.0,100
-1.053,pre,27.1,30.0,104
-1.032,pre,27.1,30.0,105
-1.012,pre,27.2,30.0,107
-0.991,pre,27.3,30.0,109
-0.970,pre,27.2,30.0,106
-0.950,pre,27.4,30.0,110
-0.929,pre,27.4,30.0,110
-0.908,pre,27.4,30.0,108
-0.887,pre,27.1,30.0,101
-0.868,pre,27.4,30.0,111
-0.847,pre,27.1,30.0,104
-0.827,pre,26.9,30.0,100
-0.806,pre,27.3,30.0,109
-0.786,pre,27.3,30.0,108
-0.765,pre,27.5,30.0,112
-0.742,pre,27.5,30.0,112
-0.721,pre,27.4,30.0,111
-0.701,pre,27.5,30.0,113
-0.680,pre,27.4,30.0,110
-0.659,pre,27.4,30.0,110
-0.639,pre,27.3,30.0,109
-0.618,pre,27.3,30.0,106
-0.598,pre,27.4,30.0,111
