t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,26.8,30.0,101
-4.067,pre,26.6,30.0,98
-4.047,pre,26.6,30.0,100
-4.026,pre,26.4,30.0,96
-4.006,pre,26.1,30.0,91
-3.985,pre,26.1,30.0,93
-3.965,pre,26.1,30.0,95
-3.944,pre,26.1,30.0,94
-3.924,pre,26.3,30.0,98
-3.903,pre,26.5,30.0,103
-3.883,pre,26.7,30.0,105
-3.862,pre,26.8,30.0,105
-3.841,pre,26.9,30.0,106
-3.821,pre,26.9,30.0,107
-3.800,pre,27.1,30.0,111
-3.779,pre,27.1,30.0,109
-3.759,pre,27.2,30.0,112
-3.739,pre,27.3,30.0,116
-3.718,pre,26.9,30.0,102
-3.698,pre,27.0,30.0,104
-3.678,pre,26.9,30.0,106
-3.657,pre,26.6,30.0,97
-3.636,pre,26.6,30.0,100
-3.616,pre,26.5,30.0,99
-3.595,pre,26.7,30.0,102
-3.575,pre,26.7,30.0,103
-3.554,pre,26.7,30.0,103
-3.534,pre,26.5,30.0,98
-3.513,pre,26.8,30.0,104
-3.493,pre,27.0,30.0,111
-3.473,pre,26.9,30.0,106
-3.452,pre,27.2,30.0,112
-3.431,pre,26.9,30.0,103
-3.411,pre,27.0,30.0,108
-3.391,pre,27.1,30.0,109
-3.370,pre,27.1,30.0,109
-3.349,pre,26.8,30.0,100
-3.329,pre,26.8,30.0,102
-3.309,pre,26.6,30.0,99
-3.288,pre,26.7,30.0,104
-3.268,pre,26.6,30.0,100
-3.247,pre,26.7,30.0,103
-3.227,pre,26.7,30.0,103
-3.207,pre,26.7,30.0,105
-3.186,pre,26.6,30.0,101
-3.165,pre,26.6,30.0,100
-3.145,pre,26.9,30.0,110
-3.124,pre,27.1,30.0,112
-3.104,pre,27.1,30.0,107
-3.080,pre,27.4,30.0,115
-3.060,pre,27.4,30.0,114
-3.039,pre,27.2,30.0,110
-3.019,pre,27.2,30.0,110
-2.998,pre,27.1,30.0,109
-2.978,pre,26.8,30.0,99
-2.957,pre,26.5,30.0,94
-2.937,pre,26.4,30.0,97
-2.916,pre,26.3,30.0,92
-2.896,pre,26.1,30.0,91
-2.875,pre,26.0,30.0,91
-2.855,pre,25.9,30.0,91
-2.834,pre,25.9,30.0,89
-2.814,pre,26.0,30.0,93
-2.793,pre,25.9,30.0,91
-2.772,pre,26.0,30.0,93
-2.752,pre,26.0,30.0,93
-2.732,pre,26.1,30.0,97
-2.711,pre,26.1,30.0,95
-2.691,pre,26.2,30.0,96
-2.671,pre,26.2,30.0,97
-2.650,pre,26.4,30.0,100
-2.629,pre,26.5,30.0,103
-2.609,pre,26.4,30.0,99
-2.588,pre,26.6,30.0,103
-2.568,pre,26.4,30.0,98
-2.547,pre,26.3,30.0,96
-2.527,pre,26.4,30.0,99
-2.507,pre,26.2,30.0,92
-2.486,pre,26.4,30.0,99
-2.466,pre,26.4,30.0,101
-2.445,pre,26.4,30.0,99
-2.424,pre,26.4,30.0,98
-2.404,pre,26.5,30.0,101
-2.383,pre,26.6,30.0,103
-2.363,pre,26.5,30.0,100
-2.342,pre,26.5,30.0,101
-2.322,pre,26.4,30.0,96
-2.302,pre,26.4,30.0,99
-2.281,pre,26.6,30.0,102
-2.261,pre,26.6,30.0,101
-2.240,pre,26.4,30.0,98
-2.220,pre,26.3,30.0,97
-2.199,pre,26.4,30.0,99
-2.179,pre,26.4,30.0,97
-2.158,pre,26.4,30.0,97
-2.137,pre,26.3,30.0,97
-2.117,pre,26.3,30.0,97
-2.097,pre,26.3,30.0,97
-2.076,pre,26.2,30.0,93
-2.056,pre,26.3,30.0,98
-2.035,pre,26.2,30.0,97
-2.014,pre,26.3,30.0,100
-1.994,pre,26.3,30.0,97
-1.974,pre,26.4,30.0,101
-1.953,pre,26.7,30.0,107
-1.932,pre,26.9,30.0,110
-1.912,pre,26.7,30.0,101
-1.892,pre,26.9,30.0,107
-1.871,pre,27.0,30.0,111
-1.851,pre,26.8,30.0,101
-1.831,pre,26.9,30.0,106
-1.810,pre,27.0,30.0,107
-1.790,pre,27.0,30.0,109
-1.769,pre,26.7,30.0,97
-1.749,pre,26.7,30.0,102
-1.728,pre,26.6,30.0,97
-1.708,pre,26.5,30.0,97
-1.687,pre,26.5,30.0,99
-1.667,pre,26.4,30.0,98
-1.646,pre,26.3,30.0,95
-1.625,pre,26.4,30.0,101
-1.605,pre,26.4,30.0,99
-1.583,pre,26.4,30.0,101
-1.564,pre,26.5,30.0,102
-1.543,pre,26.5,30.0,101
-1.523,pre,26.6,30.0,102
-1.502,pre,26.8,30.0,108
-1.481,pre,26.8,30.0,103
-1.462,pre,26.7,30.0,101
-1.441,pre,26.5,30.0,96
-1.421,pre,26.6,30.0,100
-1.400,pre,26.6,30.0,100
-1.379,pre,26.3,30.0,94
-1.359,pre,26.3,30.0,95
-1.339,pre,26.3,30.0,97
-1.318,pre,26.2,30.0,95
-1.297,pre,26.1,30.0,94
-1.277,pre,26.1,30.0,95
-1.257,pre,26.2,30.0,96
-1.236,pre,26.2,30.0,97
-1.216,pre,26.3,30.0,98
-1.196,pre,26.4,30.0,98
-1.175,pre,26.5,30.0,102
-1.155,pre,26.5,30.0,102
-1.133,pre,26.6,30.0,101
-1.113,pre,26.6,30.0,104
-1.093,pre,26.7,30.0,103
-1.072,pre,26.7,30.0,105
-1.052,pre,26.8,30.0,105
-1.031,pre,26.7,30.0,103
-1.010,pre,26.8,30.0,105
-0.990,pre,26.6,30.0,100
-0.970,pre,26.6,30.0,99
-0.949,pre,26.6,30.0,100
-0.929,pre,26.3,30.0,95
-0.909,pre,26.3,30.0,96
-0.885,pre,26.4,30.0,100
-0.865,pre,26.2,30.0,92
-0.844,pre,26.4,30.0,101
-0.823,pre,26.3,30.0,96
-0.803,pre,26.1,30.0,94
-0.782,pre,26.2,30.0,97
-0.762,pre,26.1,30.0,95
-0.741,pre,26.2,30.0,96
-0.721,pre,26.2,30.0,95
-0.700,pre,26.3,30.0,100
-0.680,pre,26.5,30.0,103
-0.659,pre,26.6,30.0,102
-0.639,pre,26.9,30.0,111
-0.618,pre,26.7,30.0,103
-0.598,pre,26.8,30.0,105
-0.577,pre,27.0,30.0,108
-0.557,pre,26.7,30.0,100
-0.536,pre,26.6,30.0,100
-0.515,pre,26.5,30.0,96
-0.495,pre,26.5,30.0,100
-0.475,pre,26.4,30.0,97
-0.454,pre,26.2,30.0,92
-0.434,pre,26.1,30.0,93
-0.414,pre,26.2,30.0,96
-0.393,pre,26.2,30.0,96
-0.372,pre,26.1,30.0,93
-0.352,pre,26.2,30.0,96
-0.332,pre,26.1,30.0,93
-0.311,pre,26.1,30.0,95
-0.290,pre,26.1,30.0,94
-0.270,pre,26.0,30.0,93
-0.249,pre,25.9,30.0,90
-0.229,pre,26.0,30.0,93
-0.209,pre,25.9,30.0,92
-0.188,pre,26.0,30.0,93
-0.168,pre,26.1,30.0,96
-0.147,pre,26.2,30.0,97
-0.126,pre,26.2,30.0,97
-0.106,pre,26.2,30.0,97
-0.086,pre,26.3,30.0,98
-0.065,pre,26.6,30.0,104
-0.045,pre,26.5,30.0,100
-0.024,pre,26.4,30.0,97
-0.003,pre,26.6,30.0,104
0.017,post,26.4,30.3,93
0.038,post,26.4,30.3,95
0.058,post,26.6,30.3,98
0.079,post,26.9,30.3,104
0.099,post,27.2,30.3,109
0.120,post,27.3,30.3,105
0.140,post,28.2,30.3,129
0.160,post,28.0,30.3,120
0.181,post,27.5,30.3,99
0.202,post,28.1,30.3,122
0.222,post,27.5,30.3,102
0.242,post,28.1,30.3,124
0.263,post,27.5,30.3,108
0.283,post,27.6,30.3,110
0.304,post,27.8,30.3,116
0.324,post,27.7,30.3,113
0.344,post,27.6,30.3,112
0.365,post,27.7,30.3,116
0.385,post,27.8,30.3,118
0.406,post,27.6,30.3,110
0.426,post,27.5,30.3,109
0.447,post,27.6,30.3,109
0.467,post,27.6,30.3,113
0.488,post,27.5,30.3,107
0.508,post,27.6,30.3,111
0.528,post,27.3,30.3,103
0.549,post,27.4,30.3,104
0.570,post,27.8,30.3,121
0.590,post,27.2,30.3,99
0.611,post,27.4,30.3,102
0.631,post,27.9,30.3,121
0.652,post,27.4,30.3,104
0.672,post,27.6,30.3,109
0.693,post,27.3,30.3,104
0.713,post,27.7,30.3,114
0.737,post,27.7,30.3,117
0.758,post,27.6,30.3,111
0.778,post,27.2,30.3,97
0.798,post,28.2,30.3,128
0.819,post,27.1,30.3,95
0.839,post,27.6,30.3,114
0.860,post,27.4,30.3,106
0.880,post,27.7,30.3,114
0.901,post,27.5,30.3,106
0.921,post,28.0,30.3,122
0.942,post,27.3,30.3,101
0.963,post,27.9,30.3,120
0.983,post,27.5,30.3,108
1.003,post,27.6,30.3,110
1.024,post,28.2,30.3,125
1.044,post,27.5,30.3,108
1.065,post,27.6,30.3,106
1.085,post,27.6,30.3,108
1.106,post,27.4,30.3,105
1.126,post,27.5,30.3,110
1.147,post,27.3,30.3,106
1.167,post,27.4,30.3,106
1.188,post,27.4,30.3,106
1.208,post,27.2,30.3,102
1.229,post,27.5,30.3,112
1.249,post,27.4,30.3,110
1.270,post,27.4,30.3,108
1.290,post,27.7,30.3,116
1.311,post,27.7,30.3,114
1.331,post,27.9,30.3,118
1.352,post,27.5,30.3,105
1.372,post,27.6,30.3,110
1.393,post,28.1,30.3,126
1.413,post,27.9,30.3,119
1.434,post,27.5,30.3,106
1.454,post,27.5,30.3,108
1.475,post,27.5,30.3,107
1.495,post,27.3,30.3,107
1.516,post,27.5,30.3,108
1.536,post,27.8,30.3,122
1.557,post,27.2,30.3,101
1.577,post,27.4,30.3,102
1.598,post,27.5,30.3,108
1.618,post,27.5,30.3,110
1.639,post,27.2,30.3,101
1.659,post,27.4,30.3,108
1.680,post,27.5,30.3,109
1.700,post,27.5,30.3,108
1.721,post,27.7,30.3,113
1.741,post,27.4,30.3,106
1.762,post,27.9,30.3,122
1.782,post,27.3,30.3,102
1.803,post,27.4,30.3,104
1.823,post,27.4,30.3,108
1.843,post,27.5,30.3,111
1.864,post,27.4,30.3,107
1.885,post,27.8,30.3,116
1.905,post,27.5,30.3,108
1.925,post,27.4,30.3,108
1.946,post,28.1,30.3,129
1.967,post,27.7,30.3,115
1.988,post,27.7,30.3,111
2.007,post,28.1,30.3,124
2.028,post,27.7,30.3,111
2.048,post,27.6,30.3,107
2.069,post,27.7,30.3,113
2.089,post,27.9,30.3,118
2.110,post,27.6,30.3,111
2.130,post,27.4,30.3,104
2.151,post,27.6,30.3,114
2.171,post,27.4,30.3,109
2.192,post,27.5,30.3,110
2.212,post,27.5,30.3,109
2.236,post,27.5,30.3,109
2.257,post,27.7,30.3,113
2.277,post,27.4,30.3,105
2.298,post,27.8,30.3,118
2.318,post,28.0,30.3,120
2.339,post,27.5,30.3,105
2.359,post,27.9,30.3,121
2.380,post,27.5,30.3,104
2.400,post,27.9,30.3,121
2.421,post,27.7,30.3,113
2.441,post,27.7,30.3,115
2.462,post,27.1,30.3,96
2.482,post,27.9,30.3,119
2.503,post,27.6,30.3,113
2.523,post,27.5,30.3,106
2.544,post,27.9,30.3,119
2.564,post,27.6,30.3,111
2.585,post,27.5,30.3,105
2.605,post,27.7,30.3,113
2.625,post,27.5,30.3,107
2.646,post,27.7,30.3,113
2.666,post,27.5,30.3,110
2.687,post,27.5,30.3,107
2.707,post,27.6,30.3,111
2.728,post,27.6,30.3,113
2.749,post,27.3,30.3,102
2.769,post,27.6,30.3,112
2.789,post,27.7,30.3,114
2.810,post,27.7,30.3,113
2.831,post,27.9,30.3,120
2.851,post,27.6,30.3,111
2.872,post,27.8,30.3,118
2.892,post,27.4,30.3,105
2.913,post,27.6,30.3,107
2.933,post,27.8,30.3,117
2.954,post,27.4,30.3,107
2.974,post,27.3,30.3,102
2.995,post,27.6,30.3,113
3.016,post,27.6,30.3,112
3.036,post,27.7,30.3,113
3.056,post,27.7,30.3,115
3.077,post,27.4,30.3,106
3.098,post,27.7,30.3,112
3.118,post,27.4,30.3,107
3.138,post,27.6,30.3,111
3.159,post,27.1,30.3,96
3.180,post,28.0,30.3,121
3.200,post,27.2,30.3,102
3.220,post,27.6,30.3,113
3.241,post,27.5,30.3,111
3.261,post,27.6,30.3,113
3.282,post,27.8,30.3,118
3.303,post,27.5,30.3,108
3.323,post,28.2,30.3,129
3.343,post,27.8,30.3,113
3.364,post,28.1,30.3,119
3.385,post,27.6,30.3,111
3.405,post,27.5,30.3,106
3.425,post,27.4,30.3,102
3.446,post,27.4,30.3,108
3.466,post,27.3,30.3,105
3.487,post,27.4,30.3,109
3.507,post,27.2,30.3,106
3.527,post,27.5,30.3,115
3.548,post,27.4,30.3,111
3.569,post,27.6,30.3,114
3.589,post,27.7,30.3,116
3.609,post,27.6,30.3,115
3.630,post,27.4,30.3,104
3.651,post,27.4,30.3,108
3.672,post,27.7,30.3,116
3.691,post,27.5,30.3,109
3.712,post,27.4,30.3,107
3.735,post,27.5,30.3,112
3.756,post,27.6,30.3,113
3.776,post,27.3,30.3,105
