t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.2,30.0,106
-4.071,pre,27.8,30.0,125
-4.050,pre,27.4,30.0,110
-4.029,pre,27.4,30.0,110
-4.009,pre,27.1,30.0,103
-3.988,pre,27.1,30.0,106
-3.968,pre,26.9,30.0,102
-3.947,pre,26.9,30.0,103
-3.927,pre,26.7,30.0,101
-3.907,pre,27.0,30.0,106
-3.885,pre,27.1,30.0,110
-3.866,pre,27.3,30.0,116
-3.845,pre,27.3,30.0,115
-3.824,pre,27.6,30.0,124
-3.804,pre,27.5,30.0,116
-3.784,pre,27.6,30.0,116
-3.764,pre,27.7,30.0,120
-3.743,pre,27.4,30.0,111
-3.722,pre,27.7,30.0,117
-3.701,pre,27.5,30.0,114
-3.682,pre,27.6,30.0,117
-3.661,pre,27.6,30.0,117
-3.640,pre,27.4,30.0,113
-3.620,pre,27.1,30.0,102
-3.600,pre,27.1,30.0,106
-3.579,pre,27.0,30.0,103
-3.559,pre,27.2,30.0,109
-3.535,pre,27.2,30.0,109
-3.514,pre,27.2,30.0,111
-3.494,pre,27.3,30.0,113
-3.474,pre,27.1,30.0,108
-3.453,pre,27.3,30.0,114
-3.433,pre,27.2,30.0,108
-3.412,pre,27.2,30.0,105
-3.391,pre,27.3,30.0,112
-3.371,pre,27.4,30.0,114
-3.351,pre,27.2,30.0,106
-3.330,pre,27.5,30.0,117
-3.309,pre,27.4,30.0,113
-3.289,pre,27.3,30.0,108
-3.268,pre,27.5,30.0,114
-3.248,pre,27.6,30.0,117
-3.227,pre,27.6,30.0,120
-3.207,pre,27.2,30.0,106
-3.186,pre,27.2,30.0,107
-3.166,pre,27.6,30.0,120
-3.145,pre,27.2,30.0,108
-3.125,pre,27.3,30.0,111
-3.104,pre,27.5,30.0,117
-3.084,pre,27.2,30.0,109
-3.064,pre,27.4,30.0,114
-3.043,pre,27.2,30.0,108
-3.023,pre,27.1,30.0,106
-3.002,pre,27.1,30.0,108
-2.982,pre,27.0,30.0,105
-2.961,pre,27.1,30.0,108
-2.941,pre,27.0,30.0,105
-2.921,pre,27.2,30.0,112
-2.900,pre,27.1,30.0,107
-2.879,pre,27.4,30.0,113
-2.859,pre,27.7,30.0,123
-2.838,pre,27.2,30.0,106
-2.818,pre,27.3,30.0,108
-2.797,pre,27.6,30.0,121
-2.776,pre,27.4,30.0,112
-2.756,pre,27.4,30.0,114
-2.735,pre,27.6,30.0,122
-2.715,pre,27.2,30.0,107
-2.694,pre,27.4,30.0,112
-2.674,pre,27.3,30.0,113
-2.654,pre,27.3,30.0,113
-2.632,pre,27.3,30.0,111
-2.613,pre,27.4,30.0,115
-2.592,pre,27.7,30.0,124
-2.571,pre,27.3,30.0,111
-2.550,pre,27.3,30.0,110
-2.531,pre,27.2,30.0,107
-2.510,pre,27.1,30.0,105
-2.490,pre,27.6,30.0,122
-2.469,pre,27.3,30.0,110
-2.449,pre,27.1,30.0,104
-2.428,pre,27.5,30.0,119
-2.408,pre,27.5,30.0,120
-2.387,pre,27.2,30.0,106
-2.367,pre,27.3,30.0,110
-2.346,pre,27.3,30.0,111
-2.326,pre,27.1,30.0,106
-2.305,pre,27.4,30.0,113
-2.285,pre,27.5,30.0,120
-2.264,pre,27.1,30.0,103
-2.244,pre,27.3,30.0,112
-2.223,pre,27.4,30.0,114
-2.203,pre,27.1,30.0,108
-2.182,pre,27.2,30.0,107
-2.162,pre,27.3,30.0,113
-2.142,pre,27.4,30.0,116
-2.118,pre,27.4,30.0,118
-2.097,pre,27.2,30.0,107
-2.077,pre,27.2,30.0,107
-2.056,pre,27.1,30.0,104
-2.036,pre,27.5,30.0,119
-2.015,pre,27.5,30.0,118
-1.995,pre,27.5,30.0,117
-1.974,pre,26.8,30.0,90
-1.954,pre,27.3,30.0,113
-1.933,pre,27.1,30.0,109
