t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.7,30.0,113
-4.071,pre,27.9,30.0,116
-4.051,pre,27.4,30.0,106
-4.030,pre,27.5,30.0,108
-4.010,pre,27.7,30.0,112
-3.989,pre,27.7,30.0,114
-3.969,pre,28.2,30.0,125
-3.948,pre,28.4,30.0,125
-3.928,pre,28.5,30.0,126
-3.907,pre,27.8,30.0,112
-3.887,pre,27.8,30.0,113
-3.866,pre,27.6,30.0,109
-3.846,pre,27.9,30.0,117
-3.825,pre,27.7,30.0,112
-3.805,pre,27.9,30.0,116
-3.784,pre,27.9,30.0,117
-3.764,pre,27.5,30.0,108
-3.743,pre,27.8,30.0,116
-3.723,pre,27.9,30.0,117
-3.699,pre,28.1,30.0,121
-3.678,pre,28.1,30.0,120
-3.658,pre,27.7,30.0,111
-3.637,pre,27.6,30.0,110
-3.617,pre,27.4,30.0,107
-3.596,pre,27.5,30.0,109
-3.575,pre,27.7,30.0,115
-3.555,pre,27.6,30.0,112
-3.535,pre,28.1,30.0,121
-3.514,pre,28.2,30.0,123
-3.494,pre,28.3,30.0,124
-3.473,pre,27.9,30.0,113
-3.452,pre,28.1,30.0,119
-3.432,pre,27.5,30.0,105
-3.412,pre,27.5,30.0,107
-3.391,pre,27.4,30.0,106
-3.370,pre,27.5,30.0,109
-3.350,pre,27.4,30.0,108
-3.329,pre,28.0,30.0,121
-3.309,pre,28.0,30.0,116
-3.289,pre,28.6,30.0,132
-3.268,pre,28.0,30.0,116
-3.247,pre,28.3,30.0,124
-3.227,pre,27.8,30.0,112
-3.206,pre,28.0,30.0,119
-3.186,pre,27.2,30.0,100
-3.165,pre,27.3,30.0,105
-3.145,pre,27.2,30.0,105
-3.125,pre,27.4,30.0,110
-3.104,pre,28.1,30.0,122
-3.084,pre,27.8,30.0,113
-3.063,pre,28.6,30.0,130
-3.042,pre,28.5,30.0,125
-3.022,pre,28.3,30.0,119
-3.001,pre,28.3,30.0,123
-2.981,pre,27.6,30.0,107
-2.960,pre,27.6,30.0,109
-2.940,pre,27.8,30.0,117
-2.919,pre,27.6,30.0,111
-2.899,pre,27.6,30.0,111
-2.878,pre,28.0,30.0,121
-2.858,pre,28.0,30.0,119
-2.837,pre,28.0,30.0,117
-2.817,pre,28.1,30.0,119
-2.797,pre,28.0,30.0,116
-2.776,pre,27.7,30.0,110
-2.756,pre,27.7,30.0,113
-2.735,pre,27.5,30.0,107
-2.714,pre,27.5,30.0,111
-2.694,pre,27.5,30.0,109
-2.673,pre,27.6,30.0,111
-2.653,pre,27.9,30.0,118
-2.632,pre,28.1,30.0,120
-2.613,pre,27.7,30.0,113
-2.592,pre,27.8,30.0,114
-2.571,pre,28.1,30.0,120
-2.551,pre,27.9,30.0,117
-2.531,pre,28.2,30.0,123
-2.510,pre,27.9,30.0,115
-2.490,pre,27.9,30.0,116
-2.469,pre,27.9,30.0,116
-2.448,pre,28.2,30.0,122
-2.428,pre,27.5,30.0,107
-2.407,pre,28.2,30.0,122
-2.387,pre,27.8,30.0,114
-2.363,pre,27.6,30.0,111
-2.343,pre,27.6,30.0,112
-2.322,pre,27.6,30.0,110
-2.302,pre,27.5,30.0,108
-2.281,pre,27.9,30.0,119
-2.261,pre,27.9,30.0,117
-2.240,pre,27.9,30.0,116
-2.220,pre,28.1,30.0,119
-2.199,pre,28.0,30.0,115
-2.179,pre,28.1,30.0,119
-2.158,pre,28.0,30.0,118
-2.138,pre,28.0,30.0,117
-2.117,pre,27.9,30.0,116
-2.097,pre,27.5,30.0,107
-2.076,pre,27.5,30.0,108
-2.056,pre,28.1,30.0,123
-2.035,pre,27.7,30.0,114
-2.015,pre,27.4,30.0,106
-1.994,pre,27.7,30.0,113
-1.974,pre,27.9,30.0,117
-1.953,pre,27.9,30.0,115
-1.932,pre,27.7,30.0,112
-1.912,pre,28.1,30.0,121
-1.892,pre,27.7,30.0,112
-1.872,pre,27.9,30.0,116
-1.851,pre,27.8,30.0,112
-1.830,pre,27.7,30.0,112
-1.810,pre,27.9,30.0,116
-1.789,pre,27.8,30.0,114
-1.769,pre,27.8,30.0,115
-1.748,pre,27.7,30.0,112
-1.728,pre,27.7,30.0,111
-1.707,pre,27.9,30.0,119
-1.686,pre,27.5,30.0,108
-1.666,pre,27.5,30.0,109
-1.646,pre,27.8,30.0,115
-1.626,pre,27.7,30.0,113
-1.605,pre,28.0,30.0,118
-1.585,pre,28.0,30.0,118
-1.564,pre,27.8,30.0,113
-1.544,pre,27.8,30.0,115
-1.523,pre,27.6,30.0,110
-1.503,pre,28.1,30.0,121
-1.482,pre,28.0,30.0,118
-1.462,pre,27.8,30.0,114
-1.441,pre,27.9,30.0,115
-1.421,pre,27.6,30.0,107
-1.400,pre,27.7,30.0,113
-1.379,pre,27.7,30.0,112
-1.359,pre,27.4,30.0,106
-1.338,pre,27.7,30.0,112
-1.318,pre,27.7,30.0,112
-1.297,pre,27.6,30.0,111
-1.277,pre,27.8,30.0,114
-1.257,pre,27.6,30.0,110
-1.236,pre,27.9,30.0,118
-1.215,pre,27.8,30.0,114
-1.195,pre,28.0,30.0,118
-1.174,pre,28.2,30.0,123
-1.154,pre,27.9,30.0,114
-1.134,pre,27.7,30.0,109
-1.113,pre,27.8,30.0,113
-1.090,pre,27.5,30.0,107
-1.069,pre,27.4,30.0,106
-1.049,pre,27.4,30.0,108
-1.028,pre,27.9,30.0,119
-1.008,pre,27.8,30.0,115
-0.987,pre,28.3,30.0,124
-0.966,pre,28.5,30.0,127
-0.946,pre,28.2,30.0,119
-0.925,pre,28.0,30.0,117
-0.905,pre,27.7,30.0,110
-0.885,pre,27.7,30.0,112
-0.864,pre,27.6,30.0,110
-0.843,pre,27.5,30.0,108
-0.823,pre,27.5,30.0,109
-0.802,pre,27.5,30.0,110
-0.782,pre,28.0,30.0,121
-0.761,pre,27.9,30.0,115
-0.741,pre,28.3,30.0,124
-0.720,pre,28.0,30.0,118
-0.700,pre,27.9,30.0,115
-0.679,pre,27.9,30.0,115
-0.659,pre,27.7,30.0,112
-0.638,pre,27.5,30.0,109
-0.618,pre,27.4,30.0,107
-0.597,pre,27.7,30.0,115
-0.577,pre,27.6,30.0,111
-0.557,pre,28.0,30.0,120
-0.536,pre,28.2,30.0,123
-0.515,pre,28.3,30.0,124
-0.495,pre,28.2,30.0,118
-0.475,pre,28.2,30.0,121
-0.454,pre,27.7,30.0,110
-0.434,pre,27.5,30.0,108
-0.413,pre,27.7,30.0,114
-0.393,pre,27.4,30.0,105
-0.372,pre,27.6,30.0,111
-0.351,pre,27.6,30.0,111
-0.330,pre,27.8,30.0,115
-0.311,pre,28.0,30.0,118
-0.290,pre,28.0,30.0,118
-0.269,pre,28.4,30.0,127
-0.248,pre,28.4,30.0,126
-0.229,pre,28.0,30.0,115
-0.208,pre,27.7,30.0,111
-0.188,pre,27.7,30.0,112
-0.166,pre,27.5,30.0,109
-0.146,pre,27.3,30.0,104
-0.126,pre,27.5,30.0,110
-0.106,pre,27.7,30.0,115
-0.085,pre,28.0,30.0,120
-0.065,pre,28.3,30.0,126
-0.044,pre,27.8,30.0,111
-0.024,pre,28.5,30.0,128
-0.004,pre,27.6,30.0,108
0.017,post,27.9,30.3,110
0.038,post,27.8,30.3,110
0.058,post,28.1,30.3,118
0.082,post,28.3,30.3,119
0.103,post,28.6,30.3,126
0.123,post,28.8,30.3,126
0.143,post,29.6,30.3,143
0.164,post,28.1,30.3,108
0.184,post,28.2,30.3,115
0.205,post,28.3,30.3,116
0.226,post,28.1,30.3,113
0.246,post,28.5,30.3,122
0.267,post,28.2,30.3,115
0.287,post,28.4,30.3,118
0.307,post,28.9,30.3,130
0.328,post,29.1,30.3,133
0.348,post,28.8,30.3,124
0.369,post,29.1,30.3,131
0.390,post,28.5,30.3,118
0.410,post,28.6,30.3,122
0.431,post,28.2,30.3,114
0.451,post,28.0,30.3,111
0.471,post,28.1,30.3,113
0.492,post,28.0,30.3,112
0.512,post,28.9,30.3,132
0.533,post,28.3,30.3,113
0.553,post,29.0,30.3,132
0.574,post,28.3,30.3,118
0.594,post,28.2,30.3,115
0.615,post,28.0,30.3,110
0.635,post,28.3,30.3,116
0.655,post,27.9,30.3,107
0.676,post,28.5,30.3,124
0.696,post,28.3,30.3,116
0.717,post,29.1,30.3,135
