t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.5,30.0,113
-4.067,pre,27.2,30.0,98
-4.046,pre,27.8,30.0,122
-4.026,pre,27.5,30.0,114
-4.005,pre,27.4,30.0,105
-3.985,pre,27.5,30.0,112
-3.964,pre,27.7,30.0,120
-3.943,pre,27.2,30.0,101
-3.923,pre,27.6,30.0,116
-3.903,pre,27.2,30.0,106
-3.883,pre,27.2,30.0,102
-3.862,pre,27.3,30.0,104
-3.841,pre,27.4,30.0,113
-3.821,pre,27.3,30.0,107
-3.800,pre,27.4,30.0,109
-3.780,pre,27.6,30.0,114
-3.760,pre,27.6,30.0,117
-3.739,pre,27.5,30.0,110
-3.718,pre,27.3,30.0,107
-3.697,pre,27.0,30.0,99
-3.677,pre,27.5,30.0,115
-3.656,pre,27.0,30.0,96
-3.636,pre,27.1,30.0,102
-3.616,pre,27.3,30.0,108
-3.595,pre,27.2,30.0,110
-3.575,pre,27.3,30.0,110
-3.554,pre,27.4,30.0,106
-3.534,pre,27.5,30.0,112
-3.513,pre,27.5,30.0,111
-3.492,pre,27.6,30.0,110
-3.472,pre,27.3,30.0,103
-3.452,pre,27.2,30.0,103
-3.431,pre,27.2,30.0,105
-3.411,pre,27.1,30.0,100
-3.390,pre,27.7,30.0,123
-3.370,pre,27.2,30.0,103
-3.350,pre,27.8,30.0,119
-3.329,pre,27.4,30.0,109
-3.308,pre,27.3,30.0,105
-3.287,pre,27.6,30.0,117
-3.268,pre,27.8,30.0,122
-3.247,pre,27.8,30.0,119
-3.227,pre,27.7,30.0,114
-3.207,pre,27.6,30.0,110
-3.186,pre,27.3,30.0,107
-3.166,pre,27.3,30.0,104
-3.145,pre,27.5,30.0,113
-3.125,pre,27.3,30.0,111
-3.104,pre,27.6,30.0,118
-3.084,pre,27.3,30.0,104
-3.063,pre,27.5,30.0,114
-3.043,pre,27.3,30.0,108
-3.022,pre,27.5,30.0,113
-3.001,pre,27.6,30.0,120
-2.981,pre,27.3,30.0,108
-2.960,pre,27.4,30.0,112
-2.939,pre,27.0,30.0,96
-2.919,pre,27.6,30.0,117
-2.899,pre,27.4,30.0,112
-2.878,pre,26.9,30.0,88
-2.858,pre,27.4,30.0,108
-2.837,pre,27.3,30.0,109
-2.817,pre,27.1,30.0,103
-2.797,pre,27.4,30.0,111
-2.776,pre,27.7,30.0,120
-2.755,pre,27.3,30.0,104
-2.735,pre,27.7,30.0,116
-2.715,pre,27.4,30.0,108
-2.694,pre,27.6,30.0,117
-2.674,pre,27.0,30.0,96
-2.653,pre,27.2,30.0,103
-2.633,pre,27.1,30.0,99
-2.612,pre,27.5,30.0,118
-2.592,pre,27.2,30.0,104
-2.571,pre,27.4,30.0,111
-2.548,pre,27.4,30.0,113
-2.527,pre,27.1,30.0,102
-2.507,pre,27.1,30.0,102
