t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,27.9,30.0,127
-4.068,pre,27.0,30.0,88
-4.047,pre,27.3,30.0,105
-4.027,pre,27.5,30.0,113
-4.006,pre,27.3,30.0,105
-3.986,pre,27.3,30.0,105
-3.965,pre,28.4,30.0,141
-3.945,pre,27.5,30.0,108
-3.924,pre,27.2,30.0,94
-3.903,pre,27.5,30.0,111
-3.883,pre,27.2,30.0,98
-3.863,pre,28.2,30.0,134
-3.842,pre,26.9,30.0,90
-3.821,pre,28.2,30.0,133
-3.800,pre,27.2,30.0,101
-3.780,pre,27.5,30.0,109
-3.760,pre,27.4,30.0,111
-3.739,pre,27.0,30.0,97
-3.719,pre,27.2,30.0,103
-3.698,pre,27.4,30.0,110
-3.678,pre,27.9,30.0,125
-3.658,pre,27.7,30.0,117
-3.637,pre,27.7,30.0,112
-3.616,pre,27.9,30.0,117
-3.595,pre,27.7,30.0,114
-3.575,pre,27.7,30.0,112
-3.555,pre,28.1,30.0,126
-3.534,pre,27.4,30.0,102
-3.513,pre,27.5,30.0,108
-3.493,pre,27.8,30.0,116
-3.473,pre,27.4,30.0,106
-3.452,pre,27.3,30.0,103
-3.432,pre,27.7,30.0,119
-3.412,pre,26.9,30.0,88
-3.391,pre,27.3,30.0,109
-3.371,pre,27.4,30.0,110
-3.350,pre,27.4,30.0,111
-3.329,pre,27.5,30.0,110
-3.309,pre,27.5,30.0,109
-3.289,pre,28.1,30.0,129
-3.268,pre,27.4,30.0,102
-3.247,pre,28.1,30.0,121
-3.227,pre,27.1,30.0,97
-3.207,pre,27.3,30.0,97
-3.186,pre,28.0,30.0,128
-3.166,pre,27.4,30.0,105
-3.144,pre,27.9,30.0,123
-3.125,pre,27.4,30.0,105
-3.104,pre,27.6,30.0,109
-3.084,pre,27.5,30.0,111
-3.063,pre,27.2,30.0,100
-3.043,pre,27.4,30.0,103
-3.022,pre,27.4,30.0,107
-3.002,pre,27.4,30.0,110
-2.981,pre,27.3,30.0,107
-2.961,pre,27.0,30.0,93
-2.941,pre,27.7,30.0,122
-2.920,pre,27.4,30.0,110
-2.899,pre,27.3,30.0,102
-2.879,pre,27.8,30.0,120
-2.858,pre,27.8,30.0,122
-2.838,pre,27.4,30.0,101
-2.818,pre,27.9,30.0,121
-2.797,pre,27.6,30.0,111
-2.776,pre,27.6,30.0,108
-2.756,pre,27.6,30.0,112
-2.735,pre,27.8,30.0,118
-2.715,pre,27.3,30.0,100
-2.694,pre,27.7,30.0,116
-2.674,pre,27.5,30.0,113
-2.654,pre,27.4,30.0,104
-2.633,pre,27.4,30.0,107
-2.612,pre,27.8,30.0,121
-2.592,pre,27.3,30.0,100
-2.572,pre,27.4,30.0,104
-2.551,pre,27.6,30.0,118
-2.530,pre,27.2,30.0,100
-2.510,pre,27.4,30.0,107
-2.490,pre,27.7,30.0,121
-2.469,pre,27.4,30.0,106
-2.449,pre,27.8,30.0,115
-2.429,pre,27.7,30.0,116
-2.405,pre,27.6,30.0,105
-2.384,pre,28.4,30.0,136
-2.364,pre,26.8,30.0,83
-2.343,pre,28.0,30.0,127
-2.326,pre,27.2,30.0,95
-2.302,pre,27.3,30.0,101
-2.282,pre,27.4,30.0,108
-2.261,pre,27.6,30.0,113
-2.241,pre,27.1,30.0,95
-2.220,pre,27.5,30.0,108
-2.200,pre,27.5,30.0,108
-2.179,pre,27.7,30.0,117
-2.159,pre,27.4,30.0,106
-2.139,pre,27.5,30.0,109
-2.118,pre,27.7,30.0,116
-2.097,pre,27.6,30.0,113
-2.077,pre,27.5,30.0,105
-2.056,pre,27.8,30.0,115
-2.036,pre,27.5,30.0,108
-2.015,pre,27.4,30.0,105
-1.995,pre,27.8,30.0,115
-1.974,pre,27.5,30.0,110
-1.954,pre,27.4,30.0,103
-1.934,pre,27.4,30.0,105
-1.913,pre,27.4,30.0,106
-1.893,pre,27.7,30.0,117
-1.872,pre,27.3,30.0,103
-1.852,pre,27.9,30.0,123
-1.831,pre,27.4,30.0,105
-1.811,pre,27.4,30.0,102
-1.790,pre,27.6,30.0,115
-1.770,pre,27.2,30.0,104
-1.749,pre,27.8,30.0,119
-1.728,pre,28.0,30.0,129
-1.708,pre,27.2,30.0,96
-1.687,pre,27.6,30.0,111
-1.666,pre,27.1,30.0,94
-1.646,pre,27.6,30.0,113
-1.626,pre,27.5,30.0,114
-1.605,pre,27.2,30.0,101
-1.585,pre,27.4,30.0,104
-1.564,pre,27.7,30.0,116
-1.544,pre,27.6,30.0,113
-1.523,pre,27.6,30.0,111
-1.503,pre,27.2,30.0,98
-1.482,pre,27.7,30.0,116
-1.462,pre,27.3,30.0,101
-1.441,pre,27.5,30.0,110
-1.421,pre,28.0,30.0,128
-1.400,pre,27.3,30.0,103
-1.380,pre,27.5,30.0,110
-1.360,pre,27.8,30.0,118
-1.339,pre,27.6,30.0,114
-1.318,pre,27.5,30.0,109
-1.298,pre,27.7,30.0,117
-1.278,pre,27.5,30.0,111
-1.257,pre,27.3,30.0,102
-1.236,pre,27.8,30.0,123
-1.216,pre,27.1,30.0,96
-1.196,pre,28.1,30.0,124
-1.176,pre,27.1,30.0,95
-1.155,pre,28.4,30.0,139
-1.135,pre,27.5,30.0,111
-1.113,pre,27.3,30.0,101
-1.093,pre,28.0,30.0,129
-1.073,pre,27.1,30.0,97
-1.052,pre,27.2,30.0,97
-1.032,pre,27.6,30.0,117
-1.011,pre,27.3,30.0,104
-0.991,pre,27.5,30.0,106
-0.971,pre,28.1,30.0,134
-0.950,pre,27.3,30.0,103
-0.930,pre,27.7,30.0,104
-0.909,pre,27.3,30.0,108
-0.889,pre,27.3,30.0,102
-0.868,pre,27.5,30.0,114
-0.847,pre,27.4,30.0,106
-0.827,pre,27.4,30.0,107
-0.806,pre,27.6,30.0,115
-0.786,pre,27.1,30.0,90
-0.765,pre,28.2,30.0,137
-0.745,pre,27.3,30.0,98
-0.725,pre,28.5,30.0,144
-0.704,pre,26.9,30.0,84
-0.683,pre,28.1,30.0,126
-0.663,pre,27.1,30.0,98
-0.642,pre,27.6,30.0,114
-0.622,pre,27.2,30.0,103
-0.601,pre,27.7,30.0,115
-0.581,pre,27.4,30.0,108
-0.560,pre,27.3,30.0,104
-0.540,pre,27.1,30.0,93
-0.520,pre,27.9,30.0,129
-0.499,pre,26.8,30.0,82
-0.478,pre,28.3,30.0,138
-0.458,pre,26.9,30.0,88
-0.437,pre,27.7,30.0,119
-0.417,pre,27.3,30.0,107
-0.396,pre,27.2,30.0,94
-0.376,pre,27.4,30.0,112
-0.356,pre,27.2,30.0,103
-0.336,pre,27.5,30.0,109
-0.315,pre,27.6,30.0,113
-0.295,pre,27.4,30.0,105
-0.274,pre,27.5,30.0,107
-0.254,pre,27.8,30.0,119
-0.233,pre,27.6,30.0,110
-0.212,pre,27.5,30.0,106
-0.192,pre,27.5,30.0,109
-0.171,pre,27.3,30.0,102
-0.151,pre,27.2,30.0,96
-0.130,pre,27.6,30.0,112
-0.110,pre,27.5,30.0,114
-0.090,pre,27.3,30.0,99
-0.069,pre,27.8,30.0,120
-0.048,pre,27.5,30.0,109
-0.027,pre,27.5,30.0,111
-0.007,pre,27.4,30.0,98
0.016,post,27.1,30.3,90
0.037,post,28.0,30.3,121
0.057,post,27.5,30.3,104
0.077,post,28.6,30.3,129
0.098,post,27.9,30.3,116
0.119,post,28.3,30.3,80
0.139,post,27.0,30.3,84
0.159,post,26.8,30.3,79
0.180,post,27.7,30.3,121
0.201,post,28.3,30.3,128
0.221,post,29.0,30.3,143
0.241,post,28.4,30.3,110
0.262,post,30.0,30.3,172
