t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.1,30.0,106
-4.071,pre,27.0,30.0,103
-4.050,pre,27.1,30.0,106
-4.029,pre,27.0,30.0,105
-4.009,pre,27.2,30.0,109
-3.985,pre,27.1,30.0,104
-3.965,pre,27.2,30.0,107
-3.945,pre,27.4,30.0,112
-3.924,pre,27.1,30.0,103
-3.904,pre,27.3,30.0,110
-3.883,pre,27.3,30.0,109
-3.862,pre,27.1,30.0,103
-3.842,pre,27.4,30.0,112
-3.822,pre,27.1,30.0,103
-3.801,pre,27.2,30.0,108
-3.781,pre,27.3,30.0,110
-3.760,pre,27.2,30.0,104
-3.739,pre,27.2,30.0,106
-3.719,pre,27.2,30.0,109
-3.698,pre,27.1,30.0,105
-3.678,pre,27.3,30.0,109
-3.657,pre,27.0,30.0,102
-3.637,pre,27.1,30.0,106
-3.616,pre,26.8,30.0,98
-3.596,pre,27.1,30.0,108
-3.575,pre,26.8,30.0,99
-3.555,pre,27.0,30.0,107
-3.535,pre,27.0,30.0,104
-3.514,pre,27.4,30.0,113
-3.494,pre,27.1,30.0,103
-3.473,pre,27.3,30.0,109
-3.453,pre,27.4,30.0,111
-3.432,pre,27.5,30.0,112
-3.412,pre,27.6,30.0,114
-3.391,pre,27.1,30.0,101
-3.371,pre,27.4,30.0,111
-3.350,pre,26.8,30.0,98
-3.330,pre,27.0,30.0,104
-3.309,pre,26.9,30.0,102
-3.289,pre,27.0,30.0,103
-3.268,pre,26.9,30.0,102
-3.248,pre,27.0,30.0,106
-3.227,pre,27.0,30.0,106
-3.207,pre,26.8,30.0,99
-3.186,pre,27.1,30.0,107
-3.166,pre,26.9,30.0,99
-3.145,pre,27.0,30.0,103
-3.125,pre,27.1,30.0,105
-3.104,pre,27.2,30.0,110
-3.084,pre,27.2,30.0,107
-3.063,pre,27.1,30.0,105
-3.042,pre,27.3,30.0,110
-3.021,pre,27.1,30.0,105
-3.001,pre,27.2,30.0,106
-2.981,pre,27.4,30.0,112
-2.961,pre,27.2,30.0,106
-2.940,pre,27.2,30.0,105
-2.920,pre,27.2,30.0,107
-2.900,pre,26.8,30.0,99
-2.879,pre,27.0,30.0,106
-2.858,pre,26.8,30.0,98
-2.837,pre,27.0,30.0,106
-2.817,pre,27.1,30.0,107
-2.797,pre,27.3,30.0,112
-2.776,pre,27.1,30.0,106
-2.756,pre,27.3,30.0,111
-2.735,pre,27.5,30.0,116
-2.715,pre,27.3,30.0,108
-2.694,pre,27.4,30.0,111
-2.674,pre,27.2,30.0,104
-2.654,pre,27.1,30.0,104
-2.633,pre,27.1,30.0,107
-2.613,pre,27.1,30.0,104
-2.593,pre,27.2,30.0,107
-2.572,pre,27.0,30.0,103
-2.552,pre,27.0,30.0,104
-2.531,pre,26.8,30.0,100
-2.511,pre,27.1,30.0,108
-2.487,pre,27.0,30.0,104
-2.466,pre,27.2,30.0,111
-2.446,pre,27.0,30.0,102
-2.425,pre,27.3,30.0,111
-2.404,pre,27.2,30.0,105
-2.384,pre,27.8,30.0,123
-2.364,pre,27.0,30.0,97
-2.343,pre,27.4,30.0,109
-2.322,pre,27.2,30.0,105
-2.302,pre,26.9,30.0,99
-2.281,pre,27.1,30.0,106
-2.261,pre,26.9,30.0,99
-2.241,pre,26.8,30.0,100
