t_s,phase,gap_mm,ref_mm,pwm
-4.091,pre,27.5,30.0,108
-4.071,pre,27.2,30.0,104
-4.051,pre,27.1,30.0,99
-4.030,pre,27.5,30.0,112
-4.009,pre,27.5,30.0,113
-3.989,pre,27.3,30.0,106
-3.968,pre,27.7,30.0,117
-3.947,pre,27.8,30.0,118
-3.927,pre,28.0,30.0,121
-3.906,pre,27.7,30.0,106
-3.886,pre,27.3,30.0,99
-3.866,pre,27.8,30.0,118
-3.845,pre,27.1,30.0,97
-3.824,pre,27.4,30.0,106
-3.804,pre,27.6,30.0,113
-3.784,pre,27.4,30.0,108
-3.763,pre,27.3,30.0,106
-3.743,pre,27.4,30.0,109
-3.722,pre,27.6,30.0,111
-3.701,pre,27.5,30.0,110
-3.681,pre,27.3,30.0,103
-3.661,pre,27.8,30.0,117
-3.640,pre,27.5,30.0,109
-3.620,pre,27.5,30.0,109
-3.599,pre,27.7,30.0,116
-3.579,pre,27.8,30.0,118
-3.558,pre,27.6,30.0,111
-3.538,pre,27.8,30.0,115
-3.517,pre,27.4,30.0,106
-3.497,pre,27.7,30.0,116
-3.477,pre,27.5,30.0,111
-3.456,pre,27.7,30.0,115
-3.436,pre,27.5,30.0,108
-3.416,pre,27.5,30.0,108
-3.395,pre,27.6,30.0,111
-3.375,pre,27.4,30.0,108
-3.351,pre,27.3,30.0,106
-3.330,pre,27.4,30.0,107
-3.310,pre,27.3,30.0,105
-3.289,pre,27.8,30.0,119
-3.269,pre,27.5,30.0,111
-3.248,pre,27.4,30.0,104
-3.227,pre,27.6,30.0,113
-3.207,pre,27.7,30.0,115
-3.187,pre,27.2,30.0,101
-3.166,pre,27.6,30.0,113
-3.146,pre,27.3,30.0,104
-3.125,pre,27.5,30.0,108
-3.105,pre,27.5,30.0,111
-3.084,pre,27.3,30.0,101
-3.064,pre,27.6,30.0,110
-3.043,pre,27.4,30.0,107
-3.023,pre,27.8,30.0,120
-3.002,pre,27.6,30.0,112
-2.981,pre,27.4,30.0,105
-2.960,pre,27.3,30.0,104
