t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,28.4,30.0,138
-4.068,pre,26.9,30.0,81
-4.047,pre,27.8,30.0,123
-4.026,pre,27.9,30.0,127
-4.005,pre,27.4,30.0,86
-3.985,pre,27.5,30.0,113
-3.965,pre,27.2,30.0,100
-3.944,pre,28.0,30.0,123
-3.923,pre,27.9,30.0,121
-3.903,pre,28.0,30.0,118
-3.883,pre,28.5,30.0,135
-3.862,pre,27.5,30.0,102
-3.842,pre,27.6,30.0,107
-3.821,pre,28.5,30.0,142
-3.801,pre,27.0,30.0,83
-3.780,pre,28.4,30.0,142
-3.760,pre,26.8,30.0,81
-3.739,pre,28.7,30.0,146
-3.718,pre,26.7,30.0,81
-3.697,pre,28.5,30.0,143
-3.678,pre,26.9,30.0,83
-3.657,pre,27.6,30.0,110
-3.636,pre,27.6,30.0,112
-3.616,pre,28.0,30.0,124
-3.596,pre,27.2,30.0,99
-3.575,pre,27.2,30.0,97
-3.555,pre,29.1,30.0,158
-3.535,pre,26.7,30.0,79
-3.514,pre,29.4,30.0,173
-3.494,pre,26.7,30.0,76
-3.473,pre,28.7,30.0,144
-3.453,pre,26.4,30.0,74
-3.433,pre,28.3,30.0,143
-3.412,pre,26.9,30.0,90
-3.391,pre,28.8,30.0,147
-3.371,pre,27.3,30.0,104
-3.351,pre,29.2,30.0,149
-3.330,pre,26.6,30.0,76
-3.310,pre,27.2,30.0,102
-3.289,pre,27.1,30.0,103
-3.269,pre,27.2,30.0,106
-3.248,pre,27.5,30.0,116
-3.227,pre,28.4,30.0,131
-3.206,pre,27.5,30.0,105
-3.186,pre,27.8,30.0,112
-3.165,pre,28.2,30.0,130
-3.145,pre,27.6,30.0,108
-3.125,pre,27.5,30.0,107
-3.104,pre,28.2,30.0,127
-3.084,pre,27.6,30.0,108
-3.064,pre,27.7,30.0,115
-3.043,pre,28.2,30.0,129
-3.022,pre,27.5,30.0,103
-3.001,pre,27.6,30.0,111
-2.981,pre,28.0,30.0,124
-2.961,pre,27.8,30.0,112
-2.941,pre,27.4,30.0,102
-2.920,pre,27.8,30.0,117
-2.899,pre,27.6,30.0,111
-2.879,pre,27.6,30.0,110
-2.858,pre,27.4,30.0,105
-2.838,pre,27.6,30.0,106
-2.817,pre,27.7,30.0,115
-2.797,pre,27.4,30.0,104
-2.777,pre,27.4,30.0,93
-2.756,pre,27.8,30.0,123
-2.736,pre,26.8,30.0,80
-2.716,pre,28.1,30.0,136
-2.695,pre,26.9,30.0,87
-2.674,pre,28.6,30.0,150
-2.654,pre,27.5,30.0,102
-2.633,pre,28.1,30.0,121
-2.613,pre,27.0,30.0,94
-2.592,pre,28.4,30.0,132
-2.572,pre,26.7,30.0,83
-2.552,pre,27.2,30.0,103
-2.531,pre,27.6,30.0,119
-2.511,pre,27.6,30.0,113
-2.490,pre,27.6,30.0,114
-2.466,pre,27.7,30.0,109
-2.446,pre,29.1,30.0,158
-2.429,pre,26.7,30.0,73
-2.405,pre,28.2,30.0,130
-2.384,pre,27.7,30.0,114
-2.364,pre,28.0,30.0,112
-2.343,pre,27.6,30.0,113
-2.323,pre,27.6,30.0,101
-2.302,pre,27.5,30.0,111
-2.282,pre,27.4,30.0,106
-2.261,pre,27.4,30.0,111
-2.241,pre,27.4,30.0,104
-2.220,pre,27.1,30.0,96
-2.200,pre,27.3,30.0,104
-2.179,pre,27.8,30.0,119
-2.159,pre,28.0,30.0,126
-2.138,pre,27.5,30.0,107
-2.118,pre,27.9,30.0,117
-2.097,pre,27.7,30.0,114
-2.077,pre,27.7,30.0,114
-2.056,pre,27.2,30.0,94
-2.035,pre,27.9,30.0,122
-2.015,pre,27.1,30.0,96
-1.995,pre,27.9,30.0,121
-1.974,pre,27.4,30.0,110
-1.953,pre,27.2,30.0,98
-1.933,pre,27.8,30.0,121
-1.913,pre,27.1,30.0,98
-1.892,pre,27.4,30.0,98
-1.872,pre,28.0,30.0,124
-1.852,pre,27.5,30.0,105
-1.831,pre,27.5,30.0,105
-1.811,pre,27.7,30.0,112
-1.790,pre,27.7,30.0,112
-1.769,pre,27.8,30.0,119
-1.749,pre,27.4,30.0,101
-1.728,pre,28.6,30.0,143
-1.708,pre,26.7,30.0,75
-1.688,pre,28.2,30.0,138
-1.667,pre,26.8,30.0,90
-1.647,pre,27.2,30.0,100
-1.626,pre,28.1,30.0,136
-1.605,pre,26.9,30.0,86
-1.585,pre,27.8,30.0,118
-1.565,pre,27.0,30.0,93
-1.544,pre,28.9,30.0,154
-1.524,pre,26.8,30.0,82
-1.503,pre,27.5,30.0,111
-1.483,pre,27.4,30.0,111
-1.462,pre,27.6,30.0,109
-1.442,pre,27.7,30.0,112
-1.421,pre,28.3,30.0,130
-1.401,pre,27.6,30.0,109
-1.380,pre,27.7,30.0,107
-1.360,pre,27.7,30.0,116
-1.339,pre,28.0,30.0,120
-1.318,pre,27.4,30.0,105
-1.298,pre,27.5,30.0,107
-1.278,pre,28.1,30.0,130
-1.257,pre,26.8,30.0,81
-1.237,pre,27.8,30.0,119
-1.217,pre,27.0,30.0,94
-1.196,pre,27.5,30.0,110
-1.176,pre,27.7,30.0,119
-1.155,pre,28.1,30.0,130
-1.135,pre,27.9,30.0,120
-1.114,pre,27.9,30.0,118
-1.094,pre,27.2,30.0,93
-1.074,pre,27.5,30.0,103
-1.053,pre,27.3,30.0,98
-1.032,pre,27.7,30.0,117
-1.012,pre,27.4,30.0,106
-0.991,pre,28.1,30.0,128
-0.970,pre,27.5,30.0,111
-0.949,pre,27.7,30.0,108
-0.930,pre,27.5,30.0,109
-0.909,pre,27.2,30.0,93
-0.889,pre,27.7,30.0,119
-0.868,pre,26.7,30.0,77
-0.848,pre,27.8,30.0,123
-0.827,pre,27.4,30.0,106
-0.806,pre,27.6,30.0,112
-0.785,pre,27.4,30.0,105
-0.765,pre,27.7,30.0,111
-0.745,pre,27.9,30.0,122
-0.724,pre,27.6,30.0,110
-0.704,pre,28.0,30.0,122
-0.684,pre,28.0,30.0,127
-0.663,pre,27.3,30.0,98
-0.643,pre,27.8,30.0,117
-0.622,pre,27.6,30.0,108
-0.602,pre,27.5,30.0,101
-0.581,pre,28.0,30.0,122
-0.561,pre,27.7,30.0,115
-0.540,pre,27.4,30.0,101
-0.520,pre,27.7,30.0,116
-0.499,pre,27.2,30.0,98
-0.479,pre,27.7,30.0,113
-0.458,pre,27.6,30.0,114
-0.438,pre,27.6,30.0,110
-0.417,pre,27.5,30.0,106
-0.397,pre,27.5,30.0,106
-0.376,pre,27.9,30.0,126
-0.356,pre,27.5,30.0,111
-0.335,pre,28.3,30.0,122
-0.315,pre,26.9,30.0,89
-0.294,pre,28.2,30.0,124
-0.274,pre,26.8,30.0,91
-0.254,pre,27.5,30.0,112
-0.232,pre,27.5,30.0,114
-0.212,pre,27.6,30.0,112
-0.192,pre,27.4,30.0,103
-0.171,pre,27.6,30.0,106
-0.150,pre,27.8,30.0,118
-0.130,pre,27.5,30.0,106
-0.110,pre,27.7,30.0,114
-0.089,pre,27.4,30.0,105
-0.069,pre,27.4,30.0,101
-0.049,pre,27.8,30.0,119
-0.028,pre,27.1,30.0,94
-0.004,pre,27.6,30.0,114
0.016,post,27.0,30.3,86
0.037,post,29.3,30.3,165
0.057,post,26.9,30.3,78
0.078,post,32.2,30.3,247
0.098,post,26.1,30.3,43
0.119,post,27.0,30.3,88
0.139,post,27.0,30.3,99
0.159,post,27.6,30.3,111
0.180,post,29.9,30.3,177
0.200,post,27.2,30.3,80
0.221,post,32.0,30.3,222
0.241,post,26.5,30.3,52
0.262,post,27.5,30.3,97
0.283,post,26.8,30.3,90
0.303,post,27.8,30.3,115
0.323,post,28.4,30.3,133
0.344,post,30.6,30.3,173
0.364,post,27.0,30.3,74
0.385,post,28.3,30.3,113
0.405,post,26.8,30.3,84
0.426,post,27.8,30.3,117
0.446,post,28.2,30.3,129
0.467,post,28.1,30.3,106
0.487,post,29.1,30.3,146
0.508,post,30.0,30.3,140
0.528,post,26.5,30.3,60
0.549,post,27.0,30.3,88
0.569,post,27.6,30.3,117
0.590,post,27.6,30.3,101
0.610,post,28.7,30.3,144
0.631,post,27.6,30.3,85
0.651,post,31.9,30.3,249
0.672,post,26.2,30.3,22
0.692,post,27.8,30.3,114
0.713,post,26.9,30.3,90
0.733,post,27.9,30.3,117
0.754,post,28.6,30.3,143
0.774,post,29.4,30.3,139
0.795,post,28.3,30.3,127
0.815,post,29.3,30.3,116
0.836,post,26.3,30.3,58
0.856,post,26.7,30.3,84
0.876,post,26.9,30.3,98
0.897,post,28.8,30.3,153
0.917,post,28.3,30.3,118
0.938,post,30.8,30.3,180
0.958,post,26.8,30.3,67
0.979,post,31.1,30.3,195
0.999,post,25.7,30.3,35
1.020,post,25.9,30.3,67
1.040,post,26.1,30.3,83
1.061,post,27.4,30.3,125
1.081,post,28.4,30.3,134
1.101,post,33.0,30.3,255
1.122,post,26.6,30.3,35
1.142,post,33.1,30.3,255
1.163,post,26.1,30.3,30
1.183,post,28.2,30.3,123
1.204,post,26.3,30.3,73
1.224,post,28.2,30.3,137
1.245,post,28.5,30.3,133
1.266,post,29.0,30.3,126
1.286,post,28.7,30.3,137
1.307,post,28.0,30.3,62
1.327,post,27.3,30.3,94
1.348,post,26.7,30.3,73
1.368,post,28.1,30.3,132
1.388,post,27.5,30.3,94
1.409,post,31.3,30.3,231
1.429,post,26.5,30.3,32
1.450,post,31.5,30.3,235
1.470,post,25.8,30.3,27
1.491,post,26.4,30.3,80
1.511,post,26.6,30.3,93
1.532,post,27.8,30.3,123
1.552,post,29.1,30.3,152
1.572,post,29.1,30.3,124
1.593,post,29.7,30.3,165
1.614,post,27.6,30.3,39
1.634,post,28.1,30.3,118
1.655,post,26.4,30.3,59
1.675,post,27.2,30.3,104
1.695,post,28.0,30.3,122
1.716,post,29.3,30.3,151
1.736,post,27.7,30.3,96
1.757,post,31.1,30.3,176
1.777,post,26.7,30.3,61
1.798,post,27.5,30.3,97
1.818,post,27.5,30.3,110
1.839,post,29.1,30.3,143
1.859,post,27.5,30.3,101
1.880,post,29.2,30.3,138
1.900,post,28.0,30.3,114
1.921,post,29.4,30.3,132
1.941,post,26.6,30.3,71
1.962,post,28.0,30.3,119
1.982,post,27.4,30.3,106
2.003,post,29.8,30.3,175
2.023,post,26.7,30.3,61
2.044,post,32.2,30.3,237
2.064,post,26.1,30.3,43
2.085,post,27.0,30.3,92
2.105,post,26.7,30.3,86
2.126,post,28.9,30.3,156
2.146,post,27.7,30.3,108
2.167,post,31.2,30.3,189
2.187,post,26.6,30.3,60
2.208,post,27.9,30.3,102
2.228,post,26.7,30.3,81
2.249,post,27.6,30.3,111
2.269,post,28.3,30.3,133
2.290,post,28.8,30.3,135
2.310,post,29.9,30.3,172
2.330,post,28.1,30.3,63
2.351,post,27.6,30.3,100
2.371,post,26.9,30.3,65
2.392,post,27.5,30.3,111
2.412,post,27.1,30.3,87
2.433,post,29.3,30.3,165
2.453,post,26.8,30.3,53
2.474,post,29.5,30.3,171
2.494,post,26.3,30.3,49
2.515,post,28.5,30.3,140
2.535,post,26.9,30.3,84
2.556,post,29.2,30.3,161
2.576,post,27.4,30.3,91
2.597,post,29.9,30.3,134
2.617,post,26.7,30.3,67
2.638,post,27.2,30.3,93
2.658,post,27.8,30.3,120
2.679,post,27.4,30.3,91
2.699,post,30.1,30.3,193
2.720,post,27.1,30.3,43
2.740,post,28.5,30.3,135
2.760,post,26.7,30.3,68
2.781,post,28.3,30.3,138
2.802,post,27.5,30.3,97
2.822,post,30.1,30.3,169
2.842,post,27.0,30.3,80
2.863,post,30.6,30.3,169
2.883,post,26.0,30.3,46
2.904,post,26.2,30.3,74
2.924,post,26.6,30.3,92
2.945,post,28.4,30.3,139
2.965,post,27.7,30.3,105
2.986,post,32.5,30.3,242
3.006,post,26.9,30.3,60
3.027,post,31.2,30.3,179
3.047,post,26.1,30.3,44
3.068,post,26.9,30.3,92
3.088,post,27.1,30.3,103
3.109,post,28.3,30.3,128
3.129,post,29.7,30.3,175
3.150,post,28.3,30.3,76
3.170,post,28.7,30.3,137
3.191,post,27.3,30.3,62
3.211,post,27.0,30.3,90
3.232,post,27.0,30.3,92
3.252,post,27.8,30.3,120
3.273,post,27.8,30.3,110
3.293,post,28.5,30.3,124
3.313,post,29.0,30.3,147
3.334,post,27.7,30.3,82
3.354,post,28.8,30.3,145
3.375,post,26.9,30.3,64
3.395,post,29.9,30.3,187
3.416,post,26.5,30.3,49
3.436,post,31.4,30.3,234
3.457,post,26.1,30.3,27
3.477,post,27.5,30.3,108
3.498,post,26.6,30.3,81
3.518,post,28.9,30.3,160
3.539,post,27.1,30.3,74
3.559,post,32.5,30.3,255
3.580,post,26.2,30.3,35
3.600,post,27.7,30.3,113
3.621,post,26.6,30.3,82
3.641,post,27.5,30.3,113
3.662,post,28.5,30.3,133
3.682,post,28.2,30.3,120
3.703,post,32.7,30.3,255
3.723,post,26.4,30.3,28
3.744,post,32.4,30.3,255
3.764,post,25.8,30.3,30
3.784,post,26.3,30.3,78
3.805,post,26.1,30.3,76
3.825,post,27.6,30.3,127
3.846,post,30.5,30.3,200
3.866,post,27.1,30.3,47
3.887,post,31.3,30.3,231
3.907,post,26.3,30.3,22
3.928,post,28.3,30.3,127
3.948,post,26.4,30.3,67
3.969,post,27.5,30.3,116
3.989,post,28.4,30.3,133
4.010,post,28.3,30.3,120
4.030,post,28.0,30.3,107
4.051,post,29.8,30.3,170
4.071,post,26.5,30.3,42
4.092,post,27.5,30.3,108
4.112,post,28.1,30.3,122
4.133,post,27.6,30.3,85
4.153,post,28.9,30.3,148
4.175,post,29.8,30.3,138
4.194,post,27.6,30.3,97
4.215,post,27.9,30.3,95
4.235,post,27.2,30.3,98
4.256,post,26.9,30.3,79
4.277,post,27.1,30.3,101
4.297,post,29.6,30.3,172
4.317,post,28.0,30.3,109
4.338,post,31.4,30.3,186
4.359,post,26.8,30.3,63
4.379,post,30.8,30.3,172
4.400,post,26.0,30.3,42
4.420,post,26.9,30.3,93
4.440,post,28.8,30.3,156
4.461,post,27.3,30.3,62
4.481,post,26.8,30.3,83
