t_s,phase,gap_mm,ref_mm,pwm
-4.088,pre,26.7,30.0,101
-4.067,pre,26.9,30.0,102
-4.046,pre,27.2,30.0,109
-4.026,pre,27.5,30.0,119
-4.006,pre,27.8,30.0,123
-3.985,pre,27.4,30.0,101
-3.965,pre,28.0,30.0,122
-3.944,pre,27.5,30.0,109
-3.924,pre,27.3,30.0,103
-3.903,pre,27.1,30.0,102
-3.883,pre,27.1,30.0,102
-3.862,pre,27.0,30.0,102
-3.842,pre,26.8,30.0,99
-3.821,pre,26.6,30.0,96
-3.800,pre,26.6,30.0,97
-3.780,pre,26.7,30.0,102
-3.760,pre,26.5,30.0,98
-3.739,pre,27.0,30.0,110
-3.719,pre,26.8,30.0,100
-3.698,pre,27.4,30.0,115
-3.678,pre,27.6,30.0,117
-3.657,pre,27.8,30.0,120
-3.636,pre,27.5,30.0,112
-3.616,pre,27.7,30.0,113
-3.595,pre,27.9,30.0,123
-3.575,pre,26.8,30.0,88
-3.555,pre,27.1,30.0,104
-3.534,pre,26.6,30.0,93
-3.513,pre,27.0,30.0,105
-3.493,pre,26.9,30.0,105
-3.473,pre,27.0,30.0,106
-3.452,pre,26.9,30.0,101
-3.432,pre,26.9,30.0,104
-3.411,pre,26.9,30.0,101
-3.391,pre,26.8,30.0,94
-3.370,pre,26.8,30.0,99
-3.350,pre,26.9,30.0,101
-3.329,pre,27.0,30.0,106
-3.309,pre,27.0,30.0,102
-3.288,pre,27.3,30.0,110
-3.268,pre,27.4,30.0,110
-3.247,pre,28.3,30.0,134
-3.227,pre,27.4,30.0,107
-3.206,pre,27.7,30.0,113
-3.186,pre,27.6,30.0,113
-3.165,pre,27.2,30.0,101
-3.145,pre,27.2,30.0,104
-3.125,pre,27.0,30.0,100
-3.104,pre,27.0,30.0,103
-3.084,pre,27.0,30.0,105
-3.060,pre,26.9,30.0,102
-3.039,pre,26.9,30.0,102
-3.019,pre,26.9,30.0,103
-2.998,pre,26.8,30.0,100
-2.978,pre,26.7,30.0,98
-2.957,pre,26.8,30.0,103
-2.937,pre,26.9,30.0,102
-2.917,pre,26.9,30.0,104
-2.896,pre,27.1,30.0,109
