t_s,phase,gap_mm,ref_mm,pwm
-4.092,pre,27.5,30.0,108
-4.071,pre,27.8,30.0,117
-4.051,pre,27.2,30.0,98
-4.030,pre,27.5,30.0,109
-4.009,pre,27.5,30.0,107
-3.989,pre,27.6,30.0,114
-3.967,pre,27.3,30.0,105
-3.947,pre,27.7,30.0,115
-3.927,pre,28.0,30.0,121
-3.907,pre,27.9,30.0,118
-3.886,pre,27.7,30.0,111
-3.866,pre,27.5,30.0,105
-3.845,pre,28.0,30.0,122
-3.824,pre,27.0,30.0,92
-3.805,pre,27.3,30.0,105
-3.784,pre,27.1,30.0,99
-3.764,pre,27.0,30.0,98
-3.743,pre,27.8,30.0,121
-3.722,pre,27.4,30.0,106
-3.702,pre,28.3,30.0,130
-3.682,pre,27.6,30.0,108
-3.661,pre,27.8,30.0,112
-3.640,pre,27.5,30.0,109
-3.620,pre,27.6,30.0,112
-3.600,pre,27.1,30.0,97
-3.579,pre,27.6,30.0,114
-3.559,pre,27.3,30.0,105
-3.538,pre,27.5,30.0,108
-3.518,pre,27.5,30.0,108
-3.497,pre,27.6,30.0,112
-3.477,pre,27.7,30.0,111
-3.456,pre,27.5,30.0,107
-3.435,pre,28.0,30.0,120
-3.415,pre,27.7,30.0,113
-3.395,pre,27.6,30.0,113
-3.374,pre,27.4,30.0,107
-3.351,pre,27.6,30.0,111
-3.330,pre,27.6,30.0,110
-3.310,pre,27.5,30.0,108
-3.289,pre,27.1,30.0,99
-3.269,pre,27.5,30.0,110
-3.248,pre,27.5,30.0,110
-3.228,pre,27.6,30.0,111
-3.207,pre,27.4,30.0,103
-3.187,pre,27.6,30.0,109
-3.166,pre,27.5,30.0,108
-3.146,pre,27.6,30.0,112
-3.125,pre,27.4,30.0,103
-3.104,pre,27.6,30.0,111
-3.084,pre,27.8,30.0,116
-3.064,pre,27.3,30.0,105
-3.043,pre,27.6,30.0,110
-3.022,pre,27.7,30.0,113
-3.002,pre,27.8,30.0,114
-2.982,pre,27.5,30.0,106
-2.961,pre,27.6,30.0,108
-2.941,pre,27.2,30.0,100
-2.920,pre,27.4,30.0,108
-2.900,pre,27.5,30.0,111
-2.879,pre,27.4,30.0,105
-2.859,pre,27.6,30.0,110
-2.838,pre,27.6,30.0,112
-2.818,pre,27.6,30.0,110
-2.798,pre,27.8,30.0,118
-2.777,pre,27.4,30.0,106
-2.756,pre,27.4,30.0,106
-2.736,pre,27.4,30.0,105
-2.715,pre,27.6,30.0,113
-2.695,pre,27.4,30.0,108
-2.674,pre,27.7,30.0,113
-2.653,pre,27.7,30.0,113
-2.633,pre,27.3,30.0,98
-2.612,pre,27.7,30.0,115
-2.592,pre,27.2,30.0,103
-2.571,pre,27.4,30.0,107
-2.551,pre,27.4,30.0,106
-2.531,pre,27.8,30.0,119
-2.510,pre,27.9,30.0,118
-2.489,pre,27.4,30.0,103
-2.469,pre,27.6,30.0,112
-2.448,pre,27.4,30.0,107
-2.428,pre,27.6,30.0,113
-2.408,pre,27.6,30.0,111
-2.386,pre,27.7,30.0,114
-2.367,pre,27.5,30.0,107
-2.346,pre,27.6,30.0,111
-2.325,pre,27.7,30.0,116
-2.305,pre,27.7,30.0,113
-2.284,pre,27.6,30.0,111
-2.265,pre,27.9,30.0,120
-2.243,pre,27.8,30.0,115
-2.223,pre,27.9,30.0,116
-2.202,pre,27.9,30.0,115
-2.182,pre,27.5,30.0,107
-2.162,pre,27.4,30.0,106
-2.141,pre,27.0,30.0,96
-2.121,pre,27.4,30.0,108
-2.100,pre,27.5,30.0,110
-2.080,pre,27.9,30.0,122
-2.059,pre,27.4,30.0,104
-2.039,pre,27.8,30.0,116
-2.019,pre,27.4,30.0,106
-1.998,pre,27.8,30.0,115
-1.978,pre,27.8,30.0,118
-1.954,pre,27.5,30.0,107
